file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\Alluxioalluxio\table\server\master\src\main\java\alluxio\master\table\transform\TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,class,7,15,8,7,12,1,0,19,36,0.77777773,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,4,0,1,55,9,0,0,0,0,7,0,8,0,6,0,0,0,0,54,17,0
D:\trabCKMetrics\repos\Alluxioalluxio\core\server\master\src\main\java\alluxio\master\file\meta\MountTable.java,alluxio.master.file.meta.MountTable$Resolution,innerclass,4,4,0,4,6,1,0,2,3,0.625,0.0,0.0,6,0,5,1,0,0,5,0,0,0,4,0,0,4,0,0,4,0,0,27,5,0,0,0,0,0,0,4,0,4,0,0,0,0,41,17,0
D:\trabCKMetrics\repos\Alluxioalluxio\job\server\src\test\java\alluxio\job\plan\NoopPlanDefinition.java,alluxio.job.plan.NoopPlanDefinition,class,7,7,0,7,4,2,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\Alluxioalluxio\core\common\src\test\java\alluxio\worker\block\io\MockBlockReader.java,alluxio.worker.block.io.MockBlockReader,class,3,3,0,3,8,3,0,4,2,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,1,0,2,30,6,0,0,0,0,1,0,4,1,3,0,0,0,0,43,17,0
D:\trabCKMetrics\repos\Alluxioalluxio\integration\jnifuse\fs\src\main\java\alluxio\jnifuse\struct\FuseFileInfo.java,alluxio.jnifuse.struct.FuseFileInfo,class,2,9,7,2,2,2,0,4,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,14,1,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\Alluxioalluxio\core\common\src\main\java\alluxio\conf\PropertyKey.java,alluxio.conf.PropertyKey,class,20,145,125,20,60,1,0,78,340,0.99713165,0.0,0.0,32,12,29,3,0,0,29,0,0,0,621,610,604,17,0,0,621,0,83,1556,40,4,10,1,1,1669,147,638,346,635,3,0,5,12,1503,17,1
D:\trabCKMetrics\repos\Alluxioalluxio\core\common\src\test\java\alluxio\retry\ExponentialTimeBoundedRetryTest.java,alluxio.retry.ExponentialTimeBoundedRetryTest,class,8,9,1,8,7,1,0,27,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,43,0,3,0,0,0,1,15,14,4,11,3,0,0,1,42,17,0
D:\trabCKMetrics\repos\Alluxioalluxio\core\common\src\main\java\alluxio\exception\JobDoesNotExistException.java,alluxio.exception.JobDoesNotExistException,class,3,8,5,3,5,4,0,1,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,0,18,0,0,0,0,0,0,1,1,0,1,0,0,0,0,42,1,0
D:\trabCKMetrics\repos\Alluxioalluxio\underfs\oss\src\main\java\alluxio\underfs\oss\OSSUnderFileSystem.java,alluxio.underfs.oss.OSSUnderFileSystem$OSSObjectListingChunk,innerclass,6,6,0,6,8,1,0,14,0,0.25,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,0,0,2,2,0,0,34,4,1,2,0,0,1,1,8,0,7,2,0,0,0,32,18,0
D:\trabCKMetrics\repos\Alluxioalluxio\core\server\common\src\main\java\alluxio\master\journal\JournalMasterClientServiceHandler.java,alluxio.master.journal.JournalMasterClientServiceHandler,class,10,13,3,10,5,2,0,8,0,0.1,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,4,31,3,0,0,0,0,8,0,2,0,2,1,0,0,4,45,1,0
