file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\Head302Test.java,org.asynchttpclient.Head302Test,class,13,13,0,13,3,3,0,15,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,46,1,0,0,1,0,4,2,5,1,5,2,1,1,0,43,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\handler\intercept\ProxyUnauthorized407Interceptor.java,org.asynchttpclient.netty.handler.intercept.ProxyUnauthorized407Interceptor,class,21,23,2,21,24,1,0,61,4,0.5833333,0.0,0.0,4,0,1,2,0,1,2,0,0,0,3,1,0,3,0,0,3,0,10,117,10,0,6,1,0,20,0,19,4,19,3,0,0,0,89,1,10
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\testserver\HttpServer.java,org.asynchttpclient.testserver.HttpServer$ConsumerHandler,innerclass,5,5,0,5,3,3,0,1,0,0.0,0.0,0.0,3,0,0,0,1,2,3,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,10,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\proxy\ProxyServerSelector.java,org.asynchttpclient.proxy.ProxyServerSelector,interface,3,9,6,3,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,1,37,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\channel\MaxConnectionsInThreads.java,org.asynchttpclient.channel.MaxConnectionsInThreads$MockTimeoutHttpServlet,innerclass,6,6,0,6,3,2,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,0,2,0,1,2,0,2,33,0,0,0,2,0,13,2,8,1,6,1,0,0,0,38,9,6
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\NettyResponseStatus.java,org.asynchttpclient.netty.NettyResponseStatus,class,4,7,3,4,10,2,0,10,0,0.5925926,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,3,0,0,41,8,0,1,0,0,0,0,5,0,3,1,0,0,0,36,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\netty\RetryNonBlockingIssue.java,org.asynchttpclient.netty.RetryNonBlockingIssue$MockExceptionServlet,innerclass,5,5,0,5,17,2,0,15,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,52,2,0,6,1,0,20,15,12,3,10,2,0,0,0,31,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\request\body\generator\FeedableBodyGeneratorTest.java,org.asynchttpclient.request.body.generator.FeedableBodyGeneratorTest$TestFeedListener,innerclass,1,1,0,1,3,1,0,0,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,10,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\ByteBufferCapacityTest.java,org.asynchttpclient.ByteBufferCapacityTest$Anonymous1,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\channel\EpollTransportFactory.java,org.asynchttpclient.netty.channel.EpollTransportFactory,class,3,4,1,3,5,1,0,2,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,1,0,3,0,0,0,0,1,0,0,0,22,0,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\ErrorResponseTest.java,org.asynchttpclient.ErrorResponseTest$ErrorHandler,innerclass,4,4,0,4,2,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,1,0,1,2,1,0,1,1,0,0,0,21,10,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\proxy\NTLMProxyTest.java,org.asynchttpclient.proxy.NTLMProxyTest$NTLMProxyHandler,innerclass,4,4,0,4,8,2,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,36,0,0,1,0,0,7,4,6,0,3,2,0,0,0,91,9,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\filter\RequestFilter.java,org.asynchttpclient.filter.RequestFilter,interface,2,9,7,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\NettyResponseFuture.java,org.asynchttpclient.netty.NettyResponseFuture,class,17,50,33,17,106,1,0,45,1611,0.9579895,0.0,0.0,62,0,59,3,0,0,59,0,9,0,43,11,1,42,0,0,17,0,17,344,43,0,24,7,1,42,38,58,2,50,5,0,0,1,187,17,3
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\future\StackTraceInspector.java,org.asynchttpclient.netty.future.StackTraceInspector,class,1,5,4,1,18,1,0,10,6,0.0,0.0,0.0,4,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,31,7,2,3,2,3,8,0,2,0,2,3,0,0,0,33,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\handler\intercept\Interceptors.java,org.asynchttpclient.netty.handler.intercept.Interceptors,class,23,26,3,23,15,1,0,24,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,9,0,0,9,0,0,9,0,0,57,7,1,8,0,0,0,0,16,0,16,3,0,0,0,73,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\PostWithQueryStringTest.java,org.asynchttpclient.PostWithQueryStringTest$Anonymous1,anonymous,3,3,0,3,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,0,0,1,0,1,0,0,0,18,-1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\PostWithQueryStringTest.java,org.asynchttpclient.PostWithQueryStringTest$Anonymous2,anonymous,3,3,0,3,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,0,0,1,0,1,0,0,0,18,-1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\channel\ChannelPoolPartitioning.java,org.asynchttpclient.channel.ChannelPoolPartitioning$PerHostChannelPoolPartitioning,enum,3,3,0,3,5,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,3,0,0,0,1,1,0,1,2,0,0,0,26,0,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\SignatureCalculator.java,org.asynchttpclient.SignatureCalculator,interface,2,9,7,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\DiscardEvent.java,org.asynchttpclient.netty.DiscardEvent,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\testserver\HttpTest.java,org.asynchttpclient.testserver.HttpTest$ClientFunction,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\BasicHttpsTest.java,org.asynchttpclient.BasicHttpsTest,class,19,20,1,19,12,2,0,40,0,0.0,0.0,0.0,10,3,9,1,0,0,9,0,0,0,1,1,0,1,0,0,0,0,25,115,1,0,0,2,0,29,6,16,2,32,2,0,0,15,89,1,14
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\request\body\Body.java,org.asynchttpclient.request.body.Body$BodyState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\PerRequestTimeoutTest.java,org.asynchttpclient.PerRequestTimeoutTest$SlowHandler,innerclass,5,5,0,5,3,2,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,2,0,0,2,1,0,1,2,0,0,2,22,2,2
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\AsyncStreamLifecycleTest.java,org.asynchttpclient.AsyncStreamLifecycleTest$Anonymous2,anonymous,4,4,0,4,7,1,0,8,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,2,0,0,3,2,1,0,1,1,0,0,0,19,-1,1
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\netty\request\WriteProgressListener.java,org.asynchttpclient.netty.request.WriteProgressListener,class,5,9,4,5,7,2,0,5,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,24,0,0,2,0,0,0,2,5,1,3,2,0,0,0,23,1,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\test\java\org\asynchttpclient\netty\NettyRequestThrottleTimeoutTest.java,org.asynchttpclient.netty.NettyRequestThrottleTimeoutTest$Anonymous1,anonymous,1,1,0,1,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,1,0,1,1,0,0,0,1,0,0,0,11,-1,1
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\extras\rxjava2\src\main\java\org\asynchttpclient\extras\rxjava2\maybe\MaybeAsyncHandlerBridge.java,org.asynchttpclient.extras.rxjava2.maybe.MaybeAsyncHandlerBridge,class,4,5,1,4,2,2,0,1,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,17,0
D:\trabCKMetrics\repos\AsyncHttpClientasync-http-client\client\src\main\java\org\asynchttpclient\request\body\generator\BodyGenerator.java,org.asynchttpclient.request.body.generator.BodyGenerator,interface,1,12,11,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
