file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\base\com\wonderkiln\camerakit\SurfaceViewPreview.java,com.wonderkiln.camerakit.SurfaceViewPreview$Anonymous2,anonymous,3,3,0,3,4,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\events\com\wonderkiln\camerakit\CameraKitError.java,com.wonderkiln.camerakit.CameraKitError,class,2,6,4,2,3,2,0,0,1,0.77777785,0.0,0.0,3,0,1,0,0,2,3,0,0,0,3,0,0,3,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,3,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\base\com\wonderkiln\camerakit\SurfaceViewPreview.java,com.wonderkiln.camerakit.SurfaceViewPreview$Anonymous3,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\java\com\camerakit\CameraKitView.java,com.camerakit.CameraKitView$Anonymous1$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\java\com\camerakit\CameraKitView.java,com.camerakit.CameraKitView$Anonymous1$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\vision\com\wonderkiln\camerakit\TextProcessor.java,com.wonderkiln.camerakit.TextProcessor,class,7,8,1,7,6,1,0,6,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,21,0,1,2,0,0,0,1,6,0,6,2,0,0,0,20,1,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\events\com\wonderkiln\camerakit\EventDispatcher.java,com.wonderkiln.camerakit.EventDispatcher$BindingHandler,innerclass,5,5,0,5,10,1,0,13,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,47,0,3,2,0,0,0,0,5,0,5,2,0,1,0,26,2,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\java\com\camerakit\CameraKitView.java,com.camerakit.CameraKitView$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\base\com\wonderkiln\camerakit\CameraImpl.java,com.wonderkiln.camerakit.CameraImpl$VideoCapturedCallback,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\api16\com\wonderkiln\camerakit\ConstantMapper.java,com.wonderkiln.camerakit.ConstantMapper$Flash2,innerclass,2,2,0,2,2,2,0,0,1,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,8,0
