file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\base\com\wonderkiln\camerakit\SurfaceViewPreview.java,com.wonderkiln.camerakit.SurfaceViewPreview$Anonymous2,"surfaceChanged/4[com.wonderkiln.camerakit.SurfaceHolder,int,int,int]",false,46,3,2,0,2,2,2,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\base\com\wonderkiln\camerakit\SurfaceViewPreview.java,com.wonderkiln.camerakit.SurfaceViewPreview$Anonymous2,surfaceCreated/1[com.wonderkiln.camerakit.SurfaceHolder],false,42,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\base\com\wonderkiln\camerakit\SurfaceViewPreview.java,com.wonderkiln.camerakit.SurfaceViewPreview$Anonymous2,surfaceDestroyed/1[com.wonderkiln.camerakit.SurfaceHolder],false,51,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\events\com\wonderkiln\camerakit\CameraKitError.java,com.wonderkiln.camerakit.CameraKitError,CameraKitError/1[java.lang.Exception],true,15,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\events\com\wonderkiln\camerakit\CameraKitError.java,com.wonderkiln.camerakit.CameraKitError,CameraKitError/0,true,11,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\events\com\wonderkiln\camerakit\CameraKitError.java,com.wonderkiln.camerakit.CameraKitError,getException/0,false,21,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\base\com\wonderkiln\camerakit\SurfaceViewPreview.java,com.wonderkiln.camerakit.SurfaceViewPreview$Anonymous3,run/0,false,104,2,18,0,18,1,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\java\com\camerakit\CameraKitView.java,com.camerakit.CameraKitView$Anonymous1$Anonymous3,run/0,false,290,1,18,0,18,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\java\com\camerakit\CameraKitView.java,com.camerakit.CameraKitView$Anonymous1$Anonymous4,run/0,false,302,1,18,0,18,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\vision\com\wonderkiln\camerakit\TextProcessor.java,com.wonderkiln.camerakit.TextProcessor,"TextProcessor/2[com.wonderkiln.camerakit.EventDispatcher,com.wonderkiln.camerakit.CameraKitEventCallback<com.wonderkiln.camerakit.CameraKitTextDetect>]",true,13,3,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\vision\com\wonderkiln\camerakit\TextProcessor.java,com.wonderkiln.camerakit.TextProcessor,receiveDetections/1[Detector.Detections<TextBlock>],false,23,7,4,0,4,4,6,11,0,4,1,6,0,0,1,2,0,0,0,1,4,0,2,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\vision\com\wonderkiln\camerakit\TextProcessor.java,com.wonderkiln.camerakit.TextProcessor,release/0,false,19,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\events\com\wonderkiln\camerakit\EventDispatcher.java,com.wonderkiln.camerakit.EventDispatcher$BindingHandler,dispatchEvent/1[com.wonderkiln.camerakit.CameraKitEvent],false,81,3,3,1,2,5,5,14,0,2,1,5,0,0,2,2,0,0,0,0,2,0,2,0,0,0,15,1,0,false
D:\trabCKMetrics\repos\CameraKitcamerakit-android\camerakit\src\main\events\com\wonderkiln\camerakit\EventDispatcher.java,com.wonderkiln.camerakit.EventDispatcher$BindingHandler,BindingHandler/1[java.lang.Object],true,61,3,3,1,2,3,6,10,0,2,1,6,1,1,1,0,0,0,0,0,3,0,2,0,0,0,14,1,0,false
