file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\ChadCSongShineButton\app\src\main\java\com\sackcentury\shinebutton\ListDemoActivity.java,com.sackcentury.shinebutton.ListDemoActivity$Data,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\PorterShapeImageView.java,com.sackcentury.shinebuttonlib.PorterShapeImageView,class,10,12,2,10,16,3,1,19,9,0.5714286,0.0,0.0,7,0,4,2,1,0,5,0,0,0,3,0,0,3,0,0,0,0,1,62,1,0,5,0,4,0,13,14,10,13,3,0,0,0,45,1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\app\src\main\java\com\sackcentury\shinebutton\ListDemoActivity.java,com.sackcentury.shinebutton.ListDemoActivity$ListAdapter,innerclass,7,7,0,7,7,2,0,9,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,32,4,1,1,0,0,1,3,4,1,3,1,1,0,0,20,0,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineButton.java,com.sackcentury.shinebuttonlib.ShineButton,class,22,30,8,22,55,4,0,50,464,0.9273647,0.0,0.0,37,0,29,5,3,0,32,0,0,0,16,1,0,6,0,10,1,0,0,272,4,0,9,0,0,3,11,50,2,22,2,2,2,0,131,1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineButton.java,com.sackcentury.shinebuttonlib.ShineButton$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineView.java,com.sackcentury.shinebuttonlib.ShineView$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineButton.java,com.sackcentury.shinebuttonlib.ShineButton$Anonymous2,anonymous,2,2,0,2,4,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineView.java,com.sackcentury.shinebuttonlib.ShineView$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineView.java,com.sackcentury.shinebuttonlib.ShineView$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineView.java,com.sackcentury.shinebuttonlib.ShineView$Anonymous4,anonymous,1,1,0,1,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,28,0,14,1,48,0,1,0,0,0,19,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\app\src\test\java\com\sackcentury\shinebutton\ExampleUnitTest.java,com.sackcentury.shinebutton.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineView.java,com.sackcentury.shinebuttonlib.ShineView,class,14,16,2,14,23,2,0,30,14,0.794613,0.0,0.0,9,0,5,3,1,0,6,0,0,0,33,3,0,6,0,27,1,0,5,204,2,2,6,0,8,1,41,47,38,38,2,4,1,0,87,1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\test\java\com\sackcentury\shinebuttonlib\ExampleUnitTest.java,com.sackcentury.shinebuttonlib.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\app\src\main\java\com\sackcentury\shinebutton\MainActivity.java,com.sackcentury.shinebutton.MainActivity$Anonymous7$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\ShineAnimator.java,com.sackcentury.shinebuttonlib.ShineAnimator,class,3,4,1,3,4,2,0,5,6,0.75,0.0,0.0,4,0,1,0,0,3,4,0,0,0,3,0,0,0,0,3,0,0,0,23,0,0,0,0,0,0,5,3,0,3,0,0,0,0,32,1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\shinebuttonlib\src\main\java\com\sackcentury\shinebuttonlib\PorterImageView.java,com.sackcentury.shinebuttonlib.PorterImageView,class,11,15,4,11,28,2,1,32,39,0.809091,0.0,0.0,11,0,5,2,4,0,9,1,0,0,10,2,0,9,0,1,2,0,0,116,0,0,9,1,1,1,14,23,1,17,5,0,0,0,77,1025,0
D:\trabCKMetrics\repos\ChadCSongShineButton\app\src\main\java\com\sackcentury\shinebutton\MainActivity.java,com.sackcentury.shinebutton.MainActivity$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\ChadCSongShineButton\app\src\main\java\com\sackcentury\shinebutton\MainActivity.java,com.sackcentury.shinebutton.MainActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
