file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\app\src\main\java\com\flyco\tablayoutsamples\ui\SlidingTabActivity.java,com.flyco.tablayoutsamples.ui.SlidingTabActivity,onTabReselect/1[int],false,116,0,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\app\src\main\java\com\flyco\tablayoutsamples\ui\SlidingTabActivity.java,com.flyco.tablayoutsamples.ui.SlidingTabActivity,onTabSelect/1[int],false,111,0,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\app\src\main\java\com\flyco\tablayoutsamples\ui\SlidingTabActivity.java,com.flyco.tablayoutsamples.ui.SlidingTabActivity,onCreate/1[com.flyco.tablayoutsamples.ui.Bundle],false,32,8,12,0,12,3,20,44,0,13,1,20,0,0,1,1,0,0,1,15,14,0,1,0,0,0,39,4,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\app\src\main\java\com\flyco\tablayoutsamples\ui\SimpleHomeActivity.java,com.flyco.tablayoutsamples.ui.SimpleHomeActivity,onCreate/1[com.flyco.tablayoutsamples.ui.Bundle],false,21,4,1,0,1,1,6,15,0,1,1,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,23,4,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\FlycoTabLayout_Lib\src\main\java\com\flyco\tablayout\widget\MsgView.java,com.flyco.tablayout.widget.MsgView,setStrokeColor/1[int],false,89,1,1,0,1,1,1,4,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\FlycoTabLayout_Lib\src\main\java\com\flyco\tablayout\widget\MsgView.java,com.flyco.tablayout.widget.MsgView,isRadiusHalfHeight/0,false,120,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\FlycoTabLayout_Lib\src\main\java\com\flyco\tablayout\widget\MsgView.java,com.flyco.tablayout.widget.MsgView,getStrokeWidth/0,false,112,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\FlycoTabLayout_Lib\src\main\java\com\flyco\tablayout\widget\MsgView.java,com.flyco.tablayout.widget.MsgView,isWidthHeightEqual/0,false,124,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\FlycoTabLayout_Lib\src\main\java\com\flyco\tablayout\widget\MsgView.java,com.flyco.tablayout.widget.MsgView,sp2px/1[float],false,133,0,0,0,0,1,2,4,1,1,1,2,0,0,0,0,0,1,0,1,1,2,0,0,0,0,3,4,0,false
D:\trabCKMetrics\repos\H07000223FlycoTabLayout\FlycoTabLayout_Lib\src\main\java\com\flyco\tablayout\widget\MsgView.java,com.flyco.tablayout.widget.MsgView,dp2px/1[float],false,128,0,2,2,0,1,2,4,1,1,1,2,0,0,0,0,0,1,0,1,1,2,0,0,0,0,3,4,0,false
