file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\graphdb\query\condition\PredicateCondition.java,org.janusgraph.graphdb.query.condition.PredicateCondition,class,13,30,17,13,19,2,0,22,0,0.33333334,0.0,0.0,10,1,9,1,0,0,9,0,0,0,3,0,0,3,0,0,3,0,3,63,15,1,3,0,2,2,0,7,1,6,4,0,0,0,39,1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\graphdb\database\serialize\attribute\BooleanSerializer.java,org.janusgraph.graphdb.database.serialize.attribute.BooleanSerializer,class,4,8,4,4,12,1,0,8,21,0.0,0.0,0.0,7,2,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,36,8,0,0,0,2,1,4,0,1,0,1,0,0,0,24,1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\graphdb\GraphDatabaseConfigurationInstanceExecutorServiceTest.java,org.janusgraph.graphdb.GraphDatabaseConfigurationInstanceExecutorServiceTest$CustomParameterlessExecutorServiceImplementation,innerclass,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,9,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\graphdb\database\cache\MetricInstrumentedSchemaCache.java,org.janusgraph.graphdb.database.cache.MetricInstrumentedSchemaCache$Anonymous1,anonymous,5,5,0,5,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,-1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-test\src\test\java\org\janusgraph\diskstorage\locking\ConsistentKeyLockerTest.java,org.janusgraph.diskstorage.locking.ConsistentKeyLockerTest$TestTrxImpl,innerclass,3,3,0,3,10,1,0,0,16,0.6944445,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,1,0,0,34,6,0,0,0,1,0,3,4,1,4,0,0,0,0,20,10,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\graphdb\configuration\JanusGraphConstants.java,org.janusgraph.graphdb.configuration.JanusGraphConstants,class,2,3,1,2,4,1,0,22,1,1.0,0.0,0.0,2,2,0,0,0,2,3,0,0,0,7,7,7,0,0,0,7,0,8,36,2,0,0,1,0,17,0,14,5,16,1,0,0,2,100,1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\graphdb\database\StandardJanusGraph.java,org.janusgraph.graphdb.database.StandardJanusGraph$Anonymous2,anonymous,1,1,0,1,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12,-1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\core\schema\DefaultSchemaMaker.java,org.janusgraph.core.schema.DefaultSchemaMaker,interface,10,25,15,10,10,1,0,12,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,142,1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\graphdb\database\StandardJanusGraph.java,org.janusgraph.graphdb.database.StandardJanusGraph$Anonymous1,anonymous,16,16,0,16,3,1,0,13,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,28,2,0,1,2,0,0,0,8,0,6,1,0,0,0,32,-1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-cql\src\main\java\org\janusgraph\diskstorage\cql\CQLColValGetter.java,org.janusgraph.diskstorage.cql.CQLColValGetter,class,4,10,6,4,7,1,0,2,8,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,1,0,0,1,0,0,1,0,0,25,5,0,0,0,0,1,0,1,1,1,1,0,0,0,22,1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-core\src\main\java\org\janusgraph\core\Cardinality.java,org.janusgraph.core.Cardinality,enum,2,35,33,2,8,1,0,0,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,2,0,0,2,0,1,0,0,0,35,1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-test\src\test\java\org\janusgraph\graphdb\serializer\SerializerSpeedTest.java,org.janusgraph.graphdb.serializer.SerializerSpeedTest,class,13,13,0,13,4,2,0,6,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,18,0,2,0,0,0,0,7,5,0,5,1,0,0,0,20,1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\olap\OLAPTest.java,org.janusgraph.olap.OLAPTest$Anonymous3,anonymous,7,7,0,7,3,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,5,1,1,0,1,0,0,0,0,27,-1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\olap\OLAPTest.java,org.janusgraph.olap.OLAPTest$Anonymous2,anonymous,7,7,0,7,4,1,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,6,4,1,0,1,0,0,0,0,30,-1,0
D:\trabCKMetrics\repos\JanusGraphjanusgraph\janusgraph-backend-testutils\src\main\java\org\janusgraph\olap\OLAPTest.java,org.janusgraph.olap.OLAPTest$Anonymous1,anonymous,6,6,0,6,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
