file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",false,53,7,5,0,5,5,19,33,2,8,2,19,2,1,0,0,2,0,6,0,10,3,1,0,0,0,41,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,fuckery/1[java.lang.String],false,100,0,1,1,0,3,3,8,2,2,1,3,0,0,1,0,0,0,0,2,2,1,2,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,findFile/1[java.io.File[]],false,112,3,5,2,3,4,7,20,4,3,1,7,1,0,1,0,1,0,3,0,3,3,4,0,0,0,20,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileToZip/2[java.lang.String,java.lang.String]",false,139,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\util\BootCheck.java,the.bytecode.club.bytecodeviewer.util.BootCheck,failSafeLoadLibraries/0,false,66,6,13,1,12,11,23,44,1,7,0,23,0,0,2,2,1,0,14,1,8,5,5,0,0,0,66,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\util\BootCheck.java,the.bytecode.club.bytecodeviewer.util.BootCheck,run/0,false,49,1,1,0,1,3,3,11,0,1,0,3,1,1,1,0,1,0,0,2,1,1,2,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\translation\components\TranslatedJLabel.java,the.bytecode.club.bytecodeviewer.translation.components.TranslatedJLabel,"TranslatedJLabel/2[java.lang.String,the.bytecode.club.bytecodeviewer.translation.TranslatedComponents]",true,32,2,6,4,2,4,5,11,0,1,2,5,0,0,0,2,0,0,0,0,1,0,3,0,0,1,12,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\ImageJLabel.java,the.bytecode.club.bytecodeviewer.gui.components.ImageJLabel,ImageJLabel/1[java.awt.Image],true,34,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\malwarescanner\impl\JavaRuntimeScanner.java,the.bytecode.club.bytecodeviewer.malwarescanner.impl.JavaRuntimeScanner,"scanMethodString/4[the.bytecode.club.bytecodeviewer.malwarescanner.MalwareScan,the.bytecode.club.bytecodeviewer.malwarescanner.impl.ClassNode,the.bytecode.club.bytecodeviewer.malwarescanner.impl.MethodNode,the.bytecode.club.bytecodeviewer.malwarescanner.util.SearchableString]",false,50,5,2,0,2,3,3,3,0,0,4,3,0,0,0,0,0,0,3,0,0,1,1,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\malwarescanner\impl\JavaRuntimeScanner.java,the.bytecode.club.bytecodeviewer.malwarescanner.impl.JavaRuntimeScanner,"scanMethodInstruction/4[the.bytecode.club.bytecodeviewer.malwarescanner.MalwareScan,the.bytecode.club.bytecodeviewer.malwarescanner.impl.ClassNode,the.bytecode.club.bytecodeviewer.malwarescanner.impl.MethodNode,the.bytecode.club.bytecodeviewer.malwarescanner.impl.AbstractInsnNode]",false,58,6,3,0,3,3,4,6,0,1,4,4,0,0,0,0,0,0,2,0,1,1,2,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\malwarescanner\impl\JavaRuntimeScanner.java,the.bytecode.club.bytecodeviewer.malwarescanner.impl.JavaRuntimeScanner,"scanFieldString/4[the.bytecode.club.bytecodeviewer.malwarescanner.MalwareScan,the.bytecode.club.bytecodeviewer.malwarescanner.impl.ClassNode,the.bytecode.club.bytecodeviewer.malwarescanner.impl.FieldNode,the.bytecode.club.bytecodeviewer.malwarescanner.util.SearchableString]",false,42,5,2,0,2,3,3,3,0,0,4,3,0,0,0,0,0,0,3,0,0,1,1,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,"FieldMappingData/3[java.lang.String,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.MappingData,java.lang.String]",true,31,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,getName/0,false,46,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,getFieldOwner/0,false,37,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,getDesc/0,false,55,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\Konlochbytecode-viewer\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,equals/1[java.lang.Object],false,75,2,1,0,1,11,3,18,9,1,1,3,0,0,0,9,0,0,0,0,1,0,2,0,0,0,16,1,0,false
