file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,class,0,5,5,0,8,1,0,0,10,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,30,3,0,0,0,0,0,0,6,0,3,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\repository\IRemoteSource.java,com.kunminx.puremusic.data.repository.IRemoteSource,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\base\binding_adapter\IconBindingAdapter.java,com.kunminx.puremusic.ui.base.binding_adapter.IconBindingAdapter,class,4,4,0,4,5,1,0,5,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,1,0,0,0,24,1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\utils\SPUtils.java,com.kunminx.architecture.utils.SPUtils,class,5,6,1,5,51,1,0,43,360,0.7432432,0.0,0.0,37,5,34,3,0,0,34,0,0,0,2,1,0,2,0,0,2,0,8,176,21,1,3,0,0,5,4,9,0,5,3,0,0,0,78,17,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\page\LoginFragment.java,com.kunminx.puremusic.ui.page.LoginFragment$ClickProxy,innerclass,4,4,0,4,4,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,1,0,1,1,0,0,0,11,1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\view\PlayPauseDrawable.java,com.kunminx.puremusic.ui.view.PlayPauseDrawable$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\architecture\src\main\java\com\kunminx\architecture\data\response\ResponseStatus.java,com.kunminx.architecture.data.response.ResponseStatus,class,0,4,4,0,6,1,0,0,3,0.5555556,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,24,3,0,0,0,0,1,0,6,0,3,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\player\helper\PlayerCallHelper.java,com.kunminx.puremusic.player.helper.PlayerCallHelper$Anonymous1,anonymous,1,1,0,1,9,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,2,0,0,3,0,0,0,19,-1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\page\MainFragment.java,com.kunminx.puremusic.ui.page.MainFragment,class,13,13,0,13,9,3,0,25,0,0.33333334,0.0,0.0,3,0,1,0,2,0,3,0,0,0,3,0,0,3,0,0,0,0,3,52,2,0,4,0,0,0,0,4,0,9,3,0,1,3,39,1,0
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\repository\ILocalSource.java,com.kunminx.puremusic.data.repository.ILocalSource,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
