file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,DownloadFile/0,true,14,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,getProgress/0,false,23,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,"DownloadFile/3[int,java.io.File,boolean]",true,17,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,setProgress/1[int],false,27,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,setFile/1[java.io.File],false,35,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,getFile/0,false,31,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,isForgive/0,false,39,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\data\bean\DownloadFile.java,com.kunminx.puremusic.data.bean.DownloadFile,setForgive/1[boolean],false,43,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\base\binding_adapter\IconBindingAdapter.java,com.kunminx.puremusic.ui.base.binding_adapter.IconBindingAdapter,"setIcon/2[com.kunminx.puremusic.ui.base.binding_adapter.MaterialIconView,MaterialDrawableBuilder.IconValue]",false,25,3,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,9,0,false
D:\trabCKMetrics\repos\KunMinXJetpack-MVVM-Best-Practice\app\src\main\java\com\kunminx\puremusic\ui\base\binding_adapter\IconBindingAdapter.java,com.kunminx.puremusic.ui.base.binding_adapter.IconBindingAdapter,"circleAlpha/2[com.kunminx.puremusic.ui.view.PlayPauseView,int]",false,30,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,9,0,false
