file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java,com.android.launcher3.allapps.search.DefaultAppSearchAlgorithm$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,class,38,47,9,38,68,1,0,59,81,0.8133972,0.0,0.0,19,1,11,8,0,0,11,0,0,0,11,2,2,9,0,0,5,0,14,200,19,3,32,0,1,1,6,40,1,30,3,0,2,4,198,1,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\LauncherState.java,com.android.launcher3.LauncherState$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\model\AddWorkspaceItemsTask.java,com.android.launcher3.model.AddWorkspaceItemsTask$Anonymous1,anonymous,2,2,0,2,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,0,0,0,1,4,1,4,3,0,0,0,16,-1,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\robolectric_tests\src\com\android\quickstep\util\TaskViewSimulatorTest.java,com.android.quickstep.util.TaskViewSimulatorTest$TaskMatrixVerifier,innerclass,18,18,0,18,9,2,0,24,1,0.6388889,0.0,0.0,6,0,2,0,0,4,6,0,0,0,6,0,0,6,0,0,1,0,1,56,4,0,1,0,0,3,6,16,1,11,1,0,0,0,56,10,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\LauncherState.java,com.android.launcher3.LauncherState$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\folder\Folder.java,com.android.launcher3.folder.Folder$Anonymous3,anonymous,6,6,0,6,3,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,-1,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\folder\Folder.java,com.android.launcher3.folder.Folder$Anonymous2,anonymous,2,2,0,2,4,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,1,0,0,0,25,-1,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\quickstep\inputconsumers\AssistantInputConsumer.java,com.android.quickstep.inputconsumers.AssistantInputConsumer$AssistantGestureListener,innerclass,7,7,0,7,6,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,1,0,0,0,1,3,3,1,1,0,0,0,45,2,0
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\folder\Folder.java,com.android.launcher3.folder.Folder$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,-1,0
