file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java,com.android.launcher3.allapps.search.DefaultAppSearchAlgorithm$Anonymous1,run/0,false,54,1,79,0,79,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,dispatchOnChange/1[boolean],false,218,2,7,3,4,7,4,9,0,1,1,4,4,2,0,2,0,0,0,0,1,0,1,0,0,0,21,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,appPredictorCallback/1[com.android.launcher3.appprediction.PredictionUiStateManager.Client],false,211,3,3,2,1,1,2,7,1,1,1,2,1,4,0,0,0,0,0,0,1,0,1,0,0,1,10,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,reapplyItemInfo/1[com.android.launcher3.model.data.ItemInfoWithIcon],false,163,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,getCurrentState/0,false,305,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,updateDependencies/1[com.android.launcher3.appprediction.PredictionUiStateManager.PredictionState],false,258,3,4,2,2,3,2,6,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,getClient/0,false,133,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,switchClient/1[com.android.launcher3.appprediction.PredictionUiStateManager.Client],false,137,2,4,3,1,2,1,7,1,0,1,1,1,3,0,1,0,0,0,0,1,0,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,scheduleApplyPredictedApps/1[com.android.launcher3.appprediction.PredictionUiStateManager.PredictionState],false,180,2,2,1,1,3,4,7,0,1,1,4,0,0,0,1,0,0,0,0,2,0,1,0,0,0,12,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,getAllAppsRank/1[com.android.launcher3.model.data.ItemInfo],false,316,5,4,1,3,7,10,11,3,3,1,10,1,1,0,6,0,0,0,1,2,0,1,0,0,1,47,1,0,true
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,parseLastState/0,false,231,7,11,2,9,5,9,24,2,3,0,9,1,1,1,1,0,0,0,0,7,0,3,0,0,0,21,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,onStateTransitionComplete/1[com.android.launcher3.LauncherState],false,166,3,3,0,3,5,6,12,1,0,1,6,2,1,0,3,0,0,0,0,1,0,1,0,0,0,15,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,onAppsUpdated/0,false,267,1,1,0,1,1,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,PredictionUiStateManager/1[android.content.Context],true,106,8,7,0,7,2,7,14,0,2,1,7,1,2,1,0,0,0,0,1,10,0,1,0,0,0,29,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,updatePredictionStateAfterCallback/0,false,197,4,6,1,5,3,6,11,0,1,0,6,1,3,1,2,0,0,0,0,3,0,1,0,0,0,21,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,"fillInPredictedRank/2[com.android.launcher3.model.data.ItemInfo,LauncherLogProto.Target]",false,343,8,6,1,5,8,12,13,2,5,2,12,1,1,0,7,0,1,0,2,4,1,1,0,0,2,33,9,0,true
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,setTargetAppsView/1[com.android.launcher3.allapps.AllAppsContainerView],false,145,3,7,2,5,4,5,17,0,0,1,5,2,1,0,3,0,0,0,0,2,0,1,0,0,0,15,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,applyState/1[com.android.launcher3.appprediction.PredictionUiStateManager.PredictionState],false,189,4,6,3,3,2,3,6,0,0,1,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,canApplyPredictions/1[com.android.launcher3.appprediction.PredictionUiStateManager.PredictionState],false,271,10,13,2,11,11,13,20,6,2,1,13,0,0,0,4,0,0,0,2,2,0,1,0,0,0,32,2,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\recents_ui_overrides\src\com\android\launcher3\appprediction\PredictionUiStateManager.java,com.android.launcher3.appprediction.PredictionUiStateManager,"onIdpChanged/2[int,com.android.launcher3.InvariantDeviceProfile]",false,129,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\LauncherState.java,com.android.launcher3.LauncherState$Anonymous2,getTransitionDuration/1[android.content.Context],false,105,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\model\AddWorkspaceItemsTask.java,com.android.launcher3.model.AddWorkspaceItemsTask$Anonymous1,execute/1[com.android.launcher3.model.BgDataModel.Callbacks],false,173,2,1,0,1,4,5,17,0,4,1,5,0,0,1,1,0,0,0,1,4,1,3,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\robolectric_tests\src\com\android\quickstep\util\TaskViewSimulatorTest.java,com.android.quickstep.util.TaskViewSimulatorTest$TaskMatrixVerifier,"withLauncherSize/2[int,int]",false,114,2,8,6,2,2,4,7,1,0,2,4,0,0,0,0,0,0,1,2,0,0,1,0,0,0,7,0,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\robolectric_tests\src\com\android\quickstep\util\TaskViewSimulatorTest.java,com.android.quickstep.util.TaskViewSimulatorTest$TaskMatrixVerifier,withInsets/1[android.graphics.Rect],false,123,5,10,6,4,1,5,6,1,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\robolectric_tests\src\com\android\quickstep\util\TaskViewSimulatorTest.java,com.android.quickstep.util.TaskViewSimulatorTest$TaskMatrixVerifier,verifyNoTransforms/0,false,138,6,18,6,12,3,10,18,0,2,0,10,0,0,0,1,0,0,0,2,7,0,1,0,0,0,18,0,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\robolectric_tests\src\com\android\quickstep\util\TaskViewSimulatorTest.java,com.android.quickstep.util.TaskViewSimulatorTest$TaskMatrixVerifier,createSurfaceParams/1[com.android.quickstep.util.TransformParams.BuilderProxy],false,163,4,3,0,3,1,2,5,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\robolectric_tests\src\com\android\quickstep\util\TaskViewSimulatorTest.java,com.android.quickstep.util.TaskViewSimulatorTest$TaskMatrixVerifier,applySurfaceParams/1[com.android.systemui.shared.system.SyncRtSurfaceTransactionApplierCompat.SurfaceParams[]],false,170,4,3,0,3,1,3,6,0,1,1,3,0,0,0,0,0,0,2,1,1,1,0,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\quickstep\robolectric_tests\src\com\android\quickstep\util\TaskViewSimulatorTest.java,com.android.quickstep.util.TaskViewSimulatorTest$TaskMatrixVerifier,"withAppBounds/3[android.graphics.Rect,android.graphics.Rect,int]",false,131,2,2,1,1,1,1,6,1,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\LauncherState.java,com.android.launcher3.LauncherState$Anonymous1,getPageAlpha/1[int],false,90,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\folder\Folder.java,com.android.launcher3.folder.Folder$Anonymous3,onAnimationEnd/1[android.animation.Animator],false,633,5,60,0,60,2,4,8,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,1,0,false
D:\trabCKMetrics\repos\LawnchairLauncherlawnchair\src\com\android\launcher3\folder\Folder.java,com.android.launcher3.folder.Folder$Anonymous3,onAnimationStart/1[android.animation.Animator],false,628,2,30,0,30,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
