file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\widget\MScroller.java,com.luck.picture.lib.widget.MScroller,class,3,5,2,3,5,2,0,1,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,1,1,0,0,1,0,0,25,1,0,0,0,0,0,3,3,2,3,1,0,0,1,15,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\tools\PictureFileUtils.java,com.luck.picture.lib.tools.PictureFileUtils,class,12,32,20,12,100,1,0,75,296,0.94,0.0,0.0,25,24,21,4,0,0,21,0,0,0,8,8,6,1,0,1,8,0,37,358,46,5,15,5,1,56,15,77,32,65,4,0,0,0,204,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\tools\ValueOf.java,com.luck.picture.lib.tools.ValueOf,class,2,18,16,2,27,1,0,15,66,0.0,0.0,0.0,12,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,117,18,0,6,6,0,6,8,22,0,11,2,0,0,0,20,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\yalantis\ucrop\view\CropImageView.java,com.yalantis.ucrop.view.CropImageView$ZoomImageToPosition,innerclass,2,2,0,2,4,1,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,6,0,0,6,0,0,6,0,4,33,1,0,1,0,0,0,1,11,2,11,1,0,0,0,53,10,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\widget\longimage\SubsamplingScaleImageView.java,com.luck.picture.lib.widget.longimage.SubsamplingScaleImageView,class,47,66,19,47,509,5,0,193,5442,0.967904,0.0,0.0,120,2,69,46,5,0,74,0,48,5,101,30,22,79,0,0,35,0,72,2061,87,17,179,5,120,60,315,474,290,241,6,3,13,0,960,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\app\src\main\java\com\luck\pictureselector\MainActivity.java,com.luck.pictureselector.MainActivity$MyCustomCameraInterfaceListener,innerclass,4,4,0,4,4,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,3,0,0,0,0,1,0,0,0,13,10,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\PictureSelectorCameraEmptyActivity.java,com.luck.picture.lib.PictureSelectorCameraEmptyActivity,class,28,33,5,28,80,3,1,106,66,0.0,0.0,0.0,12,0,4,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,65,336,7,0,19,2,0,2,22,46,2,37,5,0,0,0,112,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\photoview\OnGestureListener.java,com.luck.picture.lib.photoview.OnGestureListener,interface,0,4,4,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\listener\OnCallbackListener.java,com.luck.picture.lib.listener.OnCallbackListener,interface,1,7,6,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\tools\ScreenUtils.java,com.luck.picture.lib.tools.ScreenUtils,class,4,19,15,4,6,1,0,10,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,24,4,0,1,0,3,3,5,6,3,5,1,0,0,0,21,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\style\PictureWindowAnimationStyle.java,com.luck.picture.lib.style.PictureWindowAnimationStyle,class,4,10,6,4,9,1,0,2,6,0.5079365,0.0,0.0,9,2,8,0,1,0,9,0,0,0,7,1,7,0,0,0,1,0,0,69,3,0,0,0,0,0,1,23,0,7,0,1,0,0,29,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\yalantis\ucrop\model\ExifInfo.java,com.yalantis.ucrop.model.ExifInfo,class,1,8,7,1,15,1,0,1,0,0.44444445,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,42,9,0,6,0,0,0,2,10,4,5,1,0,0,0,24,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\adapter\PictureImageGridAdapter.java,com.luck.picture.lib.adapter.PictureImageGridAdapter$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\yalantis\ucrop\util\RectUtils.java,com.yalantis.ucrop.util.RectUtils,class,2,5,3,2,9,1,0,6,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,24,4,1,0,0,4,0,19,9,11,4,1,0,0,0,44,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\io\ByteArrayAdapter.java,com.luck.picture.lib.io.ByteArrayAdapter,class,2,3,1,2,4,1,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,4,0,0,0,0,1,1,1,0,1,0,0,0,0,16,17,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\listener\OnPermissionDialogOptionCallback.java,com.luck.picture.lib.listener.OnPermissionDialogOptionCallback,interface,0,4,4,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\config\PictureSelectionConfig.java,com.luck.picture.lib.config.PictureSelectionConfig$InstanceHolder,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,26,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\listener\OnRecyclerViewPreloadMoreListener.java,com.luck.picture.lib.listener.OnRecyclerViewPreloadMoreListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\adapter\PictureAlbumDirectoryAdapter.java,com.luck.picture.lib.adapter.PictureAlbumDirectoryAdapter$ViewHolder,innerclass,6,6,0,6,11,2,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,3,44,0,0,7,0,0,0,8,6,0,6,2,0,0,0,18,8,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\immersive\NavBarUtils.java,com.luck.picture.lib.immersive.NavBarUtils,class,5,7,2,5,3,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\app\src\main\java\com\luck\pictureselector\MainActivity.java,com.luck.pictureselector.MainActivity$MyResultCallback,innerclass,7,7,0,7,9,1,0,29,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,5,43,0,1,3,0,0,15,2,3,13,3,3,0,0,0,22,10,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\yalantis\ucrop\task\BitmapLoadTask.java,com.yalantis.ucrop.task.BitmapLoadTask$BitmapWorkerResult,innerclass,3,3,0,3,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,9,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\widget\longimage\ImageDecoder.java,com.luck.picture.lib.widget.longimage.ImageDecoder,interface,4,7,3,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\thread\PictureThreadUtils.java,com.luck.picture.lib.thread.PictureThreadUtils$SyncValue,innerclass,1,1,0,1,8,1,0,6,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,34,3,0,0,2,0,0,1,3,0,3,2,0,0,0,18,9,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\animators\ViewHelper.java,com.luck.picture.lib.animators.ViewHelper,class,1,2,1,1,1,1,0,15,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,11,0,2,0,0,0,0,0,5,17,0
D:\trabCKMetrics\repos\LuckSiegePictureSelector\picture_library\src\main\java\com\luck\picture\lib\photoview\Util.java,com.luck.picture.lib.photoview.Util,class,2,4,2,2,9,1,0,1,6,0.0,0.0,0.0,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,2,0,1,3,0,0,1,0,1,0,0,0,44,0,0
