file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,getType/0,false,291,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,"OpenContainer/4[int,int,net.minecraftforge.fmllegacy.network.Component,net.minecraftforge.fmllegacy.network.FriendlyByteBuf]",true,256,2,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,2,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,getName/0,false,299,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,"encode/2[net.minecraftforge.fmllegacy.network.FMLPlayMessages.OpenContainer,net.minecraftforge.fmllegacy.network.FriendlyByteBuf]",false,264,2,0,0,0,1,4,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,decode/1[net.minecraftforge.fmllegacy.network.FriendlyByteBuf],false,272,2,1,0,1,1,4,3,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,"OpenContainer/4[net.minecraftforge.fmllegacy.network.MenuType<?>,int,net.minecraftforge.fmllegacy.network.Component,net.minecraftforge.fmllegacy.network.FriendlyByteBuf]",true,251,3,2,2,0,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,"handle/2[net.minecraftforge.fmllegacy.network.FMLPlayMessages.OpenContainer,java.util.function.Supplier<net.minecraftforge.fmllegacy.network.NetworkEvent.Context>]",false,277,7,5,0,5,1,17,13,0,3,2,17,3,1,0,0,0,2,1,0,3,0,2,0,0,2,11,9,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,getWindowId/0,false,295,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\fmllegacy\network\FMLPlayMessages.java,net.minecraftforge.fmllegacy.network.FMLPlayMessages$OpenContainer,getAdditionalData/0,false,303,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\client\model\animation\AnimationItemOverrideList.java,net.minecraftforge.client.model.animation.AnimationItemOverrideList,"AnimationItemOverrideList/6[net.minecraftforge.client.model.animation.ModelBakery,net.minecraftforge.client.model.animation.UnbakedModel,net.minecraftforge.client.model.animation.ResourceLocation,net.minecraftforge.client.model.animation.ModelState,java.util.function.Function<net.minecraftforge.client.model.animation.Material,net.minecraftforge.client.model.animation.TextureAtlasSprite>,java.util.List<net.minecraftforge.client.model.animation.ItemOverride>]",true,65,8,1,0,1,1,1,8,0,0,6,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\client\model\animation\AnimationItemOverrideList.java,net.minecraftforge.client.model.animation.AnimationItemOverrideList,"resolve/5[net.minecraftforge.client.model.animation.BakedModel,net.minecraftforge.client.model.animation.ItemStack,net.minecraftforge.client.model.animation.ClientLevel,net.minecraftforge.client.model.animation.LivingEntity,int]",false,77,7,0,0,0,4,10,13,2,3,5,10,0,0,0,3,0,0,1,0,3,0,2,0,0,3,16,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\client\model\animation\ModelBlockAnimation.java,net.minecraftforge.client.model.animation.ModelBlockAnimation$MBJointWeight,getName/0,false,460,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\client\model\animation\ModelBlockAnimation.java,net.minecraftforge.client.model.animation.ModelBlockAnimation$MBJointWeight,getWeights/0,false,465,2,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\client\model\animation\ModelBlockAnimation.java,net.minecraftforge.client.model.animation.ModelBlockAnimation$MBJointWeight,"MBJointWeight/2[java.lang.String,net.minecraftforge.client.model.animation.ImmutableMap<java.lang.Integer,float[]>]",true,454,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,readRegistryId/0,false,112,6,4,1,3,1,5,5,1,2,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,41,65536,0,true
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,writeFluidStack/1[net.minecraftforge.fluids.FluidStack],false,139,2,3,0,3,2,4,9,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,25,65536,0,true
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,"writeRegistryIdUnsafe/2[net.minecraftforge.registries.IForgeRegistry<?>,net.minecraftforge.common.extensions.ResourceLocation]",false,65,5,2,0,2,1,3,5,0,2,2,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,53,65536,0,true
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,writeRegistryId/1[T],false,94,8,7,0,7,3,12,10,0,4,1,12,1,1,0,2,0,0,3,0,4,0,0,0,0,0,70,65536,0,true
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,readRegistryIdUnsafe/1[net.minecraftforge.registries.IForgeRegistry<T>],false,77,6,2,0,2,1,3,5,1,2,1,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,31,65536,0,true
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,readFluidStack/0,false,152,2,2,0,2,2,3,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,true
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,"writeRegistryIdUnsafe/2[net.minecraftforge.registries.IForgeRegistry<T>,T]",false,52,6,2,0,2,1,3,5,0,2,2,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,47,65536,0,true
D:\trabCKMetrics\repos\MinecraftForgeMinecraftForge\src\main\java\net\minecraftforge\common\extensions\IForgeFriendlyByteBuf.java,net.minecraftforge.common.extensions.IForgeFriendlyByteBuf,self/0,false,40,1,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
