file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"getComparisonFields/3[java.lang.String,java.lang.String,java.util.List<org.nlpcn.es4sql.domain.Condition>]",false,51,4,8,1,7,4,10,21,1,5,3,10,1,1,1,1,0,0,1,0,7,0,2,0,0,0,25,2,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,fillSpecificRequestBuilder/1[org.nlpcn.es4sql.query.join.JoinRequestBuilder],false,27,6,6,0,6,1,6,6,0,3,1,6,1,4,0,0,0,1,0,0,3,0,0,0,0,0,18,4,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,createSpecificBuilder/0,false,37,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"getComparisonFieldsFromWhere/3[java.lang.String,java.lang.String,org.nlpcn.es4sql.domain.Where]",false,100,5,4,1,3,4,3,11,1,1,3,3,1,2,1,0,0,1,1,0,1,0,4,0,0,0,23,2,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"getComparisonFields/3[java.lang.String,java.lang.String,org.nlpcn.es4sql.domain.Where]",false,75,3,4,1,3,6,4,21,2,3,3,4,1,3,2,2,0,0,0,0,4,0,2,0,0,0,16,2,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,updateRequestWithHints/1[org.nlpcn.es4sql.query.join.JoinRequestBuilder],false,42,4,3,0,3,3,4,8,0,0,1,4,0,0,1,1,0,1,0,0,0,0,2,0,0,0,12,4,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"removeAlias/2[java.lang.String,java.lang.String]",false,114,0,1,1,0,1,1,3,1,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,2,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\query\join\ESHashJoinQueryAction.java,org.nlpcn.es4sql.query.join.ESHashJoinQueryAction,"ESHashJoinQueryAction/2[org.nlpcn.es4sql.query.join.Client,org.nlpcn.es4sql.domain.JoinSelect]",true,22,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\SearchDao.java,org.nlpcn.es4sql.SearchDao,(initializer 1),false,19,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,false
D:\trabCKMetrics\repos\NLPchinaelasticsearch-sql\src\main\java\org\nlpcn\es4sql\SearchDao.java,org.nlpcn.es4sql.SearchDao,explain/1[java.lang.String],false,45,2,31,30,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,true
