file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\EscapeType.java,com.nepxion.discovery.common.entity.EscapeType,"escape/2[java.lang.String,boolean]",false,40,1,6,3,3,5,4,11,2,3,2,4,2,1,1,1,0,0,0,1,4,0,1,0,0,0,8,9,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\EscapeType.java,com.nepxion.discovery.common.entity.EscapeType,getTarget/0,false,31,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\EscapeType.java,com.nepxion.discovery.common.entity.EscapeType,toString/0,false,36,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\EscapeType.java,com.nepxion.discovery.common.entity.EscapeType,getSource/0,false,27,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\EscapeType.java,com.nepxion.discovery.common.entity.EscapeType,"EscapeType/2[java.lang.String,java.lang.String]",true,22,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-framework\discovery-plugin-framework-starter\src\main\java\com\nepxion\discovery\plugin\framework\cache\PluginCache.java,com.nepxion.discovery.plugin.framework.cache.PluginCache,get/1[java.lang.String],false,43,0,1,1,0,2,1,8,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-framework\discovery-plugin-framework-starter\src\main\java\com\nepxion\discovery\plugin\framework\cache\PluginCache.java,com.nepxion.discovery.plugin.framework.cache.PluginCache,clear/1[java.lang.String],false,51,0,1,1,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-framework\discovery-plugin-framework-starter\src\main\java\com\nepxion\discovery\plugin\framework\cache\PluginCache.java,com.nepxion.discovery.plugin.framework.cache.PluginCache,PluginCache/0,true,23,1,1,1,0,1,6,8,0,0,0,6,0,0,0,0,0,0,0,4,1,1,0,1,0,0,6,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-framework\discovery-plugin-framework-starter\src\main\java\com\nepxion\discovery\plugin\framework\cache\PluginCache.java,com.nepxion.discovery.plugin.framework.cache.PluginCache,"put/2[java.lang.String,java.lang.String]",false,37,0,1,1,0,1,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-framework\discovery-plugin-framework-starter\src\main\java\com\nepxion\discovery\plugin\framework\adapter\PluginConfigAdapter.java,com.nepxion.discovery.plugin.framework.adapter.PluginConfigAdapter,getConfigType/0,false,15,1,12,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-commons\discovery-common-redis\src\main\java\com\nepxion\discovery\common\redis\proccessor\RedisProcessor.java,com.nepxion.discovery.common.redis.proccessor.RedisProcessor$Anonymous1,callback/1[java.lang.String],false,62,1,3,0,3,2,2,8,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-zuul\src\main\java\com\nepxion\discovery\plugin\strategy\zuul\configuration\ZuulStrategyAutoConfiguration.java,com.nepxion.discovery.plugin.strategy.zuul.configuration.ZuulStrategyAutoConfiguration,zuulStrategyClearFilter/0,false,61,5,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-zuul\src\main\java\com\nepxion\discovery\plugin\strategy\zuul\configuration\ZuulStrategyAutoConfiguration.java,com.nepxion.discovery.plugin.strategy.zuul.configuration.ZuulStrategyAutoConfiguration,zuulStrategyRouteFilter/0,false,53,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-zuul\src\main\java\com\nepxion\discovery\plugin\strategy\zuul\configuration\ZuulStrategyAutoConfiguration.java,com.nepxion.discovery.plugin.strategy.zuul.configuration.ZuulStrategyAutoConfiguration,"zuulStrategyRoute/2[com.nepxion.discovery.plugin.strategy.zuul.configuration.ServerProperties,com.nepxion.discovery.plugin.strategy.zuul.configuration.ZuulProperties]",false,74,6,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-zuul\src\main\java\com\nepxion\discovery\plugin\strategy\zuul\configuration\ZuulStrategyAutoConfiguration.java,com.nepxion.discovery.plugin.strategy.zuul.configuration.ZuulStrategyAutoConfiguration,zuulStrategyCallableWrapper/0,false,81,5,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-zuul\src\main\java\com\nepxion\discovery\plugin\strategy\zuul\configuration\ZuulStrategyAutoConfiguration.java,com.nepxion.discovery.plugin.strategy.zuul.configuration.ZuulStrategyAutoConfiguration,zuulStrategyMonitor/0,false,68,5,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,getRequestVariable/1[com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixRequestVariableLifecycle<T>],false,66,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,HystrixContextConcurrencyStrategy/0,true,40,4,1,1,0,1,12,13,0,4,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\NepxionDiscovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,"getThreadPool/6[com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixThreadPoolKey,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixProperty<java.lang.Integer>,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixProperty<java.lang.Integer>,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixProperty<java.lang.Integer>,java.util.concurrent.TimeUnit,java.util.concurrent.BlockingQueue<java.lang.Runnable>]",false,71,2,0,0,0,1,1,3,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
