file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\DefaultContractTest.java,feign.DefaultContractTest$DefaultMethodOnInterface,interface,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\LoggerTest.java,feign.LoggerTest$SendsStuff,interface,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\annotation-error-decoder\src\test\java\feign\error\AnnotationErrorDecoderInheritanceClassLevelAnnotationTest.java,feign.error.AnnotationErrorDecoderInheritanceClassLevelAnnotationTest$TopLevelInterface,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\annotation-error-decoder\src\test\java\feign\error\AnnotationErrorDecoderInheritanceClassLevelAnnotationTest.java,feign.error.AnnotationErrorDecoderInheritanceClassLevelAnnotationTest$SecondLevelInterface,interface,6,6,0,6,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\jaxrs\src\test\java\feign\jaxrs\JAXRSContractTest.java,feign.jaxrs.JAXRSContractTest$HeaderParams,interface,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\BaseApiTest.java,feign.BaseApiTest$BaseApi,interface,7,7,0,7,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\dropwizard-metrics5\src\main\java\feign\metrics5\FeignMetricName.java,feign.metrics5.FeignMetricName,class,4,9,5,4,7,1,0,14,8,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,23,5,0,0,1,0,3,3,1,0,1,1,0,0,0,20,17,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\main\java\feign\stream\StreamDecoder.java,feign.stream.StreamDecoder,class,5,8,3,5,6,1,0,7,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,4,43,2,0,0,0,1,2,1,3,2,3,2,0,1,1,39,17,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\TypesResolveReturnTypeTest.java,feign.TypesResolveReturnTypeTest$OverridingConcreteCollectionGenericFourthLevel,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\mock\src\test\java\feign\mock\MockClientTest.java,feign.mock.MockClientTest$AssertionDecoder,innerclass,2,2,0,2,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\LoggerTest.java,feign.LoggerTest$LogLevelEmitsTest,innerclass,11,11,0,11,3,2,0,12,1,0.33333334,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,6,15,1,0,0,0,0,25,0,2,1,2,0,0,0,0,28,9,0
D:\trabCKMetrics\repos\OpenFeignfeign\json\src\test\java\feign\json\JsonEncoderTest.java,feign.json.JsonEncoderTest,class,8,8,0,8,5,1,0,8,0,0.4666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,30,0,0,0,0,0,7,2,4,0,4,0,0,0,1,31,1,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\DefaultContractTest.java,feign.DefaultContractTest$ParameterizedHeaderNotStartingWithCurlyBraceExpandApi,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\DefaultContractTest.java,feign.DefaultContractTest$HeadersContainsWhitespaces,interface,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\micrometer\src\main\java\feign\micrometer\MeteredDecoder.java,feign.micrometer.MeteredDecoder,class,18,20,2,18,10,1,0,36,0,0.39285716,0.0,0.0,7,0,3,0,4,0,7,0,0,0,4,0,0,4,0,0,4,0,1,67,5,0,1,1,0,5,0,23,0,21,2,0,0,2,45,1,0
D:\trabCKMetrics\repos\OpenFeignfeign\reactive\src\test\java\feign\reactive\ReactiveDelegatingContractTest.java,feign.reactive.ReactiveDelegatingContractTest$TestReactorService,interface,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\template\QueryTemplateTest.java,feign.template.QueryTemplateTest,class,2,2,0,2,22,1,0,15,231,0.0,0.0,0.0,22,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,70,111,0,0,0,0,0,108,0,43,0,43,0,0,0,0,55,1,0
D:\trabCKMetrics\repos\OpenFeignfeign\example-github\src\main\java\example\github\GitHubExample.java,example.github.GitHubExample$GitHub$Repository,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
D:\trabCKMetrics\repos\OpenFeignfeign\annotation-error-decoder\src\test\java\feign\error\AnnotationErrorDecoderInheritanceMethodLevelAnnotationTest.java,feign.error.AnnotationErrorDecoderInheritanceMethodLevelAnnotationTest$MethodTopLevelDefaultException,innerclass,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
D:\trabCKMetrics\repos\OpenFeignfeign\micrometer\src\main\java\feign\micrometer\MeteredInvocationHandleFactory.java,feign.micrometer.MeteredInvocationHandleFactory,class,16,18,2,16,11,1,0,23,0,0.5,0.0,0.0,6,0,3,0,3,0,6,0,0,0,5,1,0,5,0,0,5,0,3,60,6,0,1,1,0,7,1,17,2,16,3,0,0,1,64,1,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\DefaultContractTest.java,feign.DefaultContractTest$SlashNeedToBeEncoded,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\main\java\feign\Retryer.java,feign.Retryer$Anonymous1,anonymous,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\OpenFeignfeign\annotation-error-decoder\src\test\java\feign\error\AnnotationErrorDecoderClassInheritanceTest.java,feign.error.AnnotationErrorDecoderClassInheritanceTest$ParentInterfaceWithErrorHandling$ClassLevelDefaultException,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\hystrix\src\test\java\feign\hystrix\FallbackFactoryTest.java,feign.hystrix.FallbackFactoryTest$TestInterface,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\DefaultContractTest.java,feign.DefaultContractTest$WithPathAndQueryParams,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0
D:\trabCKMetrics\repos\OpenFeignfeign\json\src\test\java\feign\json\JsonDecoderTest.java,feign.json.JsonDecoderTest$ExtendedJSONArray,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
D:\trabCKMetrics\repos\OpenFeignfeign\core\src\test\java\feign\AlwaysEncodeBodyContractTest.java,feign.AlwaysEncodeBodyContractTest$AllParametersSampleEncoder,innerclass,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15,10,0
