file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,class,5,8,3,5,15,1,0,21,6,0.75,0.0,0.0,4,4,2,0,2,0,4,0,0,1,1,1,0,0,0,1,1,0,5,101,5,0,1,9,1,13,0,14,0,14,3,0,0,0,31,1,2
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\wikidata\src\org\openrefine\wikidata\qa\scrutinizers\DifferenceWithinRangeScrutinizer.java,org.openrefine.wikidata.qa.scrutinizers.DifferenceWithinRangeScrutinizer,class,10,12,2,10,24,2,0,20,0,0.4,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,1,5,0,0,0,1,0,0,91,1,2,12,0,1,17,8,22,3,22,6,0,1,0,60,1,0
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,class,25,28,3,25,50,1,0,79,61,0.83928573,0.0,0.0,14,5,3,11,0,0,3,0,0,0,4,3,2,1,1,0,1,0,43,251,8,1,13,6,1,69,14,44,5,37,3,1,0,0,114,1,11
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\tests\server\src\com\google\refine\importing\EncodingGuesserTests.java,com.google.refine.importing.EncodingGuesserTests$ImportingJobStub,innerclass,2,2,0,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\tests\server\src\com\google\refine\expr\functions\html\ParseHtmlTests.java,com.google.refine.expr.functions.html.ParseHtmlTests,class,5,5,0,5,2,3,0,8,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,10,19,0,0,0,0,0,43,0,2,1,2,0,0,0,0,44,1,0
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\tests\server\src\com\google\refine\grel\controls\ForEachIndexTests.java,com.google.refine.grel.controls.ForEachIndexTests,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,26,1,0
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\expr\functions\xml\OwnText.java,com.google.refine.expr.functions.xml.OwnText,class,4,5,1,4,7,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,24,6,0,2,0,0,5,2,2,2,2,2,0,0,0,62,1,0
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\model\changes\CellAtRowCellIndex.java,com.google.refine.model.changes.CellAtRowCellIndex,class,3,5,2,3,5,1,0,13,0,0.16666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,4,1,3,1,0,0,4,0,6,31,1,0,1,0,0,1,4,10,3,10,1,0,0,0,24,1,0
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\browsing\filters\ExpressionEqualRowFilter.java,com.google.refine.browsing.filters.ExpressionEqualRowFilter,class,9,11,2,9,35,1,0,18,5,0.59523815,0.0,0.0,6,0,4,0,2,0,6,0,0,0,7,0,0,0,7,0,7,0,10,112,20,7,3,0,3,0,4,21,0,21,4,0,0,0,67,1,0
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\commands\expr\GetStarredExpressionsCommand.java,com.google.refine.commands.expr.GetStarredExpressionsCommand,class,9,12,3,9,4,2,0,11,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,27,1,0,1,1,0,1,0,2,0,3,1,0,2,1,25,1,0
