file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"saveToFile/2[com.google.refine.model.Project,java.io.File]",false,91,2,4,1,3,1,5,23,0,2,2,5,0,0,0,0,3,0,2,0,2,0,2,0,0,0,15,12,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],false,54,3,4,1,3,5,9,31,0,5,1,9,1,1,0,0,2,1,5,0,5,0,3,0,0,0,17,41,2,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"load/2[java.io.File,long]",false,114,2,3,2,1,7,3,30,4,3,2,3,1,1,0,0,3,0,3,0,3,0,2,0,0,0,9,9,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"loadFromFile/2[java.io.File,long]",false,148,2,4,1,3,2,5,14,1,3,2,5,0,0,0,1,1,0,2,0,3,0,2,0,0,0,13,12,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\wikidata\src\org\openrefine\wikidata\qa\scrutinizers\DifferenceWithinRangeScrutinizer.java,org.openrefine.wikidata.qa.scrutinizers.DifferenceWithinRangeScrutinizer,prepareDependencies/0,false,43,1,1,0,1,6,1,7,1,0,0,1,0,0,0,5,0,0,4,0,4,0,0,0,0,0,17,1,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\wikidata\src\org\openrefine\wikidata\qa\scrutinizers\DifferenceWithinRangeScrutinizer.java,org.openrefine.wikidata.qa.scrutinizers.DifferenceWithinRangeScrutinizer,scrutinize/1[org.openrefine.wikidata.updates.ItemUpdate],false,53,10,7,0,7,18,19,56,0,17,1,19,0,0,2,7,0,1,12,8,17,3,6,0,0,0,40,1,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,getExceptionString/1[java.util.List<java.lang.Exception>],false,240,0,1,1,0,2,1,7,1,1,1,1,0,0,1,0,0,0,2,0,2,1,1,0,0,0,6,2,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doGet/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",false,76,3,2,1,1,1,1,3,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",false,170,12,10,1,9,7,25,52,1,7,3,25,3,2,0,3,2,0,13,1,9,0,3,0,0,0,40,2,1,true
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doPost/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",false,82,5,10,4,6,7,14,29,0,2,2,14,4,4,0,0,1,0,11,0,2,0,2,0,0,0,27,1,3,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"parsePreview/7[com.google.refine.extension.database.model.DatabaseQueryInfo,com.google.refine.model.Project,com.google.refine.ProjectMetadata,com.google.refine.importing.ImportingJob,int,com.google.refine.extension.database.ObjectNode,java.util.List<java.lang.Exception>]",false,267,12,11,1,10,1,9,10,0,3,7,9,2,1,0,0,0,0,2,5,3,0,0,0,0,0,27,10,0,true
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,getQuerySource/1[com.google.refine.extension.database.model.DatabaseQueryInfo],false,481,3,6,2,4,1,4,4,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,10,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"setProgress/3[com.google.refine.importing.ImportingJob,java.lang.String,int]",false,487,1,3,2,1,1,1,3,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,10,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,init/1[com.google.refine.RefineServlet],false,70,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\OpenRefineOpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,getDbServiceException/1[java.lang.Exception],false,114,1,4,1,3,3,4,11,1,2,1,4,0,0,0,0,0,0,2,0,4,2,2,0,0,0,9,2,0,false
