file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,"AsyncPlayerSendSuggestionsEvent/3[com.destroystokyo.paper.event.brigadier.Player,com.destroystokyo.paper.event.brigadier.Suggestions,java.lang.String]",true,24,2,0,0,0,1,1,5,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,getHandlers/0,false,69,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,setCancelled/1[boolean],false,64,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,setSuggestions/1[com.destroystokyo.paper.event.brigadier.Suggestions],false,47,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,getBuffer/0,false,33,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,getSuggestions/0,false,40,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,getHandlerList/0,false,74,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\com\destroystokyo\paper\event\brigadier\AsyncPlayerSendSuggestionsEvent.java,com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent,isCancelled/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadierProvider.java,io.papermc.paper.brigadier.PaperBrigadierProvider,message/1[io.papermc.paper.brigadier.ComponentLike],false,27,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\PaperMCPaper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadierProvider.java,io.papermc.paper.brigadier.PaperBrigadierProvider,componentFromMessage/1[io.papermc.paper.brigadier.Message],false,29,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
