file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\SonarSourcesonarqube\server\sonar-webserver-webapi\src\test\java\org\sonar\server\qualityprofile\QProfileExportersTest.java,org.sonar.server.qualityprofile.QProfileExportersTest$XooProfileImporterWithMessages,innerclass,3,3,0,3,3,2,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,4,0,0,0,0,0,0,0,0,13,9,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\sonar-ws\src\main\java\org\sonarqube\ws\client\issues\EditCommentRequest.java,org.sonarqube.ws.client.issues.EditCommentRequest,class,2,4,2,2,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,18,4,0,0,0,0,1,0,2,0,2,0,0,0,0,41,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\sonar-core\src\test\java\org\sonar\core\util\NonNullInputFunctionTest.java,org.sonar.core.util.NonNullInputFunctionTest,class,3,3,0,3,3,2,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,1,0,2,1,1,0,1,1,0,1,0,22,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\server\sonar-webserver-ws\src\main\java\org\sonar\server\ws\ServletResponse.java,org.sonar.server.ws.ServletResponse,class,8,13,5,8,8,1,0,9,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,2,62,7,0,0,0,0,0,1,1,0,1,0,0,1,0,27,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\server\sonar-webserver-webapi\src\main\java\org\sonar\server\permission\ws\template\BulkApplyTemplateAction.java,org.sonar.server.permission.ws.template.BulkApplyTemplateAction$BulkApplyTemplateRequest,innerclass,3,3,0,3,16,1,0,2,104,0.875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,0,0,8,0,0,0,0,2,66,16,0,0,0,0,0,0,10,0,8,0,0,0,0,30,10,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\server\sonar-webserver-auth\src\test\java\org\sonar\server\authentication\ResetPasswordFilterTest.java,org.sonar.server.authentication.ResetPasswordFilterTest,class,13,13,0,13,10,1,0,19,0,0.26,0.0,0.0,10,1,10,0,0,0,10,0,0,0,5,0,0,5,0,0,5,0,0,58,1,0,0,0,0,16,0,5,0,5,0,0,0,0,61,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\server\sonar-server-common\src\test\java\org\sonar\server\es\OneToManyResilientIndexingListenerTest.java,org.sonar.server.es.OneToManyResilientIndexingListenerTest,class,17,18,1,17,6,1,0,36,0,0.72222227,0.0,0.0,6,1,2,4,0,0,2,0,0,0,3,0,3,0,0,0,0,0,14,56,3,0,0,1,0,10,1,22,0,22,1,0,0,0,69,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\sonar-scanner-engine\src\test\java\org\sonar\scanner\mediumtest\issues\IssuesMediumTest.java,org.sonar.scanner.mediumtest.issues.IssuesMediumTest,class,16,17,1,16,15,1,0,50,0,0.2888889,0.0,0.0,15,0,14,1,0,0,14,0,0,0,3,0,3,0,0,0,0,0,21,189,0,0,0,0,0,232,25,88,1,81,0,0,0,0,115,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\server\sonar-server-common\src\main\java\org\sonar\server\es\response\IndicesStats.java,org.sonar.server.es.response.IndicesStats,class,3,7,4,3,7,1,0,3,11,0.7380953,0.0,0.0,7,1,6,1,0,0,6,0,0,0,6,1,0,6,0,0,6,0,0,33,6,0,0,0,0,8,0,6,0,6,0,0,0,0,38,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\sonar-testing-harness\src\main\java\org\sonar\test\JsonAssert.java,org.sonar.test.JsonAssert,class,7,118,111,7,15,1,0,14,28,0.5833333,0.0,0.0,12,4,9,3,0,0,9,0,0,0,2,0,0,2,0,0,2,0,8,57,11,0,0,1,0,3,0,5,1,5,1,0,0,0,87,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\server\sonar-ce-task-projectanalysis\src\test\java\org\sonar\ce\task\projectanalysis\source\SourceLinesRepositoryImplTest.java,org.sonar.ce.task.projectanalysis.source.SourceLinesRepositoryImplTest,class,11,12,1,11,10,1,0,18,0,0.5185185,0.0,0.0,9,2,7,2,0,0,7,0,0,0,6,3,2,4,0,0,3,0,9,56,1,1,0,1,0,22,6,6,0,6,2,0,0,0,88,1,0
D:\trabCKMetrics\repos\SonarSourcesonarqube\sonar-scanner-engine\src\test\resources\org\sonar\scanner\cpd\ManyStatements.java,org.foo.ManyStatements,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,33,33,0,33,0,0,0,0,15,1,0
