file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\playqueue\AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,anonymous,5,5,0,5,8,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,1,0,1,1,0,5,0,0,1,0,0,0,29,-1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\NotificationConstants.java,org.schabi.newpipe.player.NotificationConstants,class,8,11,3,8,19,1,0,5,0,0.4074075,0.0,0.0,3,2,2,1,0,0,2,0,0,0,18,18,18,0,0,0,18,0,5,65,14,1,1,0,0,0,19,21,0,21,1,0,0,0,69,17,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\playqueue\AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,anonymous,5,5,0,5,8,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,1,0,1,1,0,6,0,0,1,0,0,0,31,-1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\local\holder\PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,class,7,9,2,7,5,3,2,7,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,3,0,0,1,4,0,0,32,1,0,2,0,0,0,0,4,0,6,2,0,0,2,29,1025,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\debug\java\org\schabi\newpipe\settings\DebugSettingsFragment.java,org.schabi.newpipe.settings.DebugSettingsFragment,class,5,5,0,5,4,3,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,3,0,0,0,0,3,0,7,1,0,0,3,36,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\local\subscription\SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,class,26,28,2,26,27,3,0,44,42,0.8076923,0.0,0.0,13,1,6,5,2,0,8,0,0,0,8,0,0,7,0,1,1,0,7,114,4,0,8,1,0,3,2,16,0,13,2,0,0,1,83,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\util\ThemeHelper.java,org.schabi.newpipe.util.ThemeHelper,class,12,34,22,12,47,1,0,29,171,0.0,0.0,0.0,19,18,16,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,17,177,25,0,5,1,2,5,6,37,4,29,3,0,0,0,162,17,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\local\holder\LocalStatisticStreamGridItemHolder.java,org.schabi.newpipe.local.holder.LocalStatisticStreamGridItemHolder,class,3,4,1,3,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\mediasource\FailedMediaSource.java,org.schabi.newpipe.player.mediasource.FailedMediaSource$MediaSourceResolutionException,innerclass,1,1,0,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\us\shandian\giga\get\DownloadMissionRecover.java,us.shandian.giga.get.DownloadMissionRecover,class,10,12,2,10,65,2,0,50,1,0.68749994,0.0,0.0,10,0,2,7,0,1,3,0,0,0,8,2,0,7,0,1,5,0,4,220,21,5,18,8,0,9,25,42,5,21,3,0,0,0,86,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\local\subscription\services\ImportExportEventListener.java,org.schabi.newpipe.local.subscription.services.ImportExportEventListener,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\event\PlayerGestureListener.java,org.schabi.newpipe.player.event.PlayerGestureListener,class,16,18,2,16,54,2,0,53,0,0.33333334,0.0,0.0,9,0,7,2,0,0,7,0,0,0,3,2,0,3,0,0,3,0,5,176,1,0,19,0,2,16,29,15,10,14,3,0,0,0,85,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\playback\PlaybackListener.java,org.schabi.newpipe.player.playback.PlaybackListener,interface,5,7,2,5,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\streams\io\StoredDirectoryHelper.java,org.schabi.newpipe.streams.io.StoredDirectoryHelper,class,11,18,7,11,64,1,0,55,29,0.6666666,0.0,0.0,18,5,13,4,0,1,14,0,0,0,5,1,1,4,0,0,2,0,13,201,32,6,20,5,2,9,15,34,3,30,4,0,0,0,166,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\Player.java,org.schabi.newpipe.player.Player,class,118,140,22,118,836,1,0,549,9443,0.96595913,0.0,0.0,226,0,117,104,0,5,122,0,0,0,88,31,25,63,0,0,45,0,101,2756,150,7,227,7,39,209,207,278,139,242,4,10,0,21,720,17,1
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\settings\tabs\ChooseTabsFragment.java,org.schabi.newpipe.settings.tabs.ChooseTabsFragment$SelectedTabsAdapter,innerclass,9,9,0,9,5,2,0,6,8,0.70000005,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,2,0,1,78,2,0,0,0,0,0,0,3,0,3,0,0,1,0,29,2,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\player\event\OnKeyDownListener.java,org.schabi.newpipe.player.event.OnKeyDownListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\settings\SelectChannelFragment.java,org.schabi.newpipe.settings.SelectChannelFragment$SelectChannelAdapter$SelectChannelItemHolder,innerclass,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,1,0,0,2,3,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\streams\WebMReader.java,org.schabi.newpipe.streams.WebMReader$Segment,innerclass,5,5,0,5,6,1,0,3,0,0.2,0.0,0.0,2,0,1,0,0,1,2,0,0,0,5,0,1,2,0,2,1,0,0,27,4,0,2,0,0,0,0,5,0,6,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\fragments\detail\VideoDetailFragment.java,org.schabi.newpipe.fragments.detail.VideoDetailFragment,class,83,90,7,83,408,4,0,414,2355,0.94778866,0.0,0.0,102,2,38,56,5,3,46,0,0,0,43,14,6,29,5,3,18,0,70,1515,58,4,106,4,17,40,76,164,24,135,4,5,0,22,492,17,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\fragments\list\channel\ChannelFragment.java,org.schabi.newpipe.fragments.list.channel.ChannelFragment,class,46,49,3,46,73,6,0,109,274,0.8730159,0.0,0.0,28,1,13,11,4,0,17,0,0,0,9,2,0,9,0,0,3,0,15,308,18,2,13,1,0,23,14,32,10,33,3,0,0,14,155,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\info_list\holder\PlaylistMiniInfoItemHolder.java,org.schabi.newpipe.info_list.holder.PlaylistMiniInfoItemHolder,class,10,14,4,10,6,3,2,16,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,3,1,0,0,4,0,2,40,2,0,2,0,1,0,0,5,0,7,2,0,0,2,27,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\streams\WebMWriter.java,org.schabi.newpipe.streams.WebMWriter$ClusterInfo,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,8,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\org\schabi\newpipe\settings\MainSettingsFragment.java,org.schabi.newpipe.settings.MainSettingsFragment,class,5,6,1,5,2,3,0,10,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,2,11,0,0,0,0,0,0,0,2,0,2,1,0,0,0,24,1,0
D:\trabCKMetrics\repos\TeamNewPipeNewPipe\app\src\main\java\us\shandian\giga\service\DownloadManagerService.java,us.shandian.giga.service.DownloadManagerService,class,39,45,6,39,77,3,0,103,85,0.8864736,0.0,0.0,18,1,8,10,0,0,8,0,0,0,46,21,5,41,0,0,24,0,6,390,17,2,24,3,0,29,23,103,7,75,3,2,1,1,196,1,0
