file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\exception\ConflictException.java,apijson.orm.exception.ConflictException,class,0,3,3,0,3,3,0,0,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\model\SysColumn.java,apijson.orm.model.SysColumn,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\model\TestRecord.java,apijson.orm.model.TestRecord,class,2,5,3,2,16,1,0,1,102,0.8828125,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,1,0,8,0,0,1,0,0,66,14,0,0,0,0,0,1,8,0,8,0,0,0,0,32,1,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\SQLConfig.java,apijson.orm.SQLConfig,interface,6,20,14,6,91,1,0,0,4095,1.0,0.0,0.0,91,0,2,0,0,89,91,0,0,0,13,0,0,0,0,13,0,0,0,106,0,0,0,0,0,10,3,13,0,13,0,0,0,0,128,1,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\OnParseCallback.java,apijson.orm.OnParseCallback,class,2,4,2,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1025,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\StringUtil.java,apijson.StringUtil,class,2,19,17,2,154,1,0,55,2204,0.974715,0.0,0.0,69,68,69,0,0,0,70,0,0,0,47,47,45,2,0,0,46,0,109,454,102,5,35,0,3,81,37,88,17,59,3,0,0,0,128,1,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\JSONRequest.java,apijson.JSONRequest,class,3,5,2,3,18,1,1,9,118,0.9009288,0.0,0.0,17,0,17,0,0,0,18,0,0,0,19,19,18,1,0,0,19,0,2,84,14,0,0,0,0,14,4,19,1,19,0,0,0,0,96,1,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\AbstractObjectParser.java,apijson.orm.AbstractObjectParser,class,27,28,1,27,206,1,0,120,356,0.86624694,0.0,0.0,41,0,41,0,0,0,41,0,0,0,31,1,0,5,26,0,7,0,30,631,40,7,92,4,13,104,44,145,34,101,7,0,0,0,162,1025,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\AbstractParser.java,apijson.orm.AbstractParser$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\TencentAPIJSON\APIJSONORM\src\main\java\apijson\orm\model\SysTable.java,apijson.orm.model.SysTable,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,17,1,0
