file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\TheAlgorithmsJava\strings\Rotation.java,strings.Rotation,class,2,3,1,2,5,1,0,7,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,25,1,1,0,0,0,4,8,4,4,2,1,0,0,0,45,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\TreeTraversal.java,DataStructures.Trees.Node,class,1,3,2,1,18,1,0,8,0,0.11111111,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,66,0,1,10,0,0,4,1,5,4,5,2,0,0,0,49,0,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Heaps\MinHeap.java,DataStructures.Heaps.MinHeap,class,4,5,1,4,32,1,0,19,0,0.1,0.0,0.0,10,0,5,5,0,0,5,0,0,0,1,0,0,1,0,0,1,0,6,75,4,3,2,2,17,6,37,10,32,6,2,0,0,0,57,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Graphs\MatrixGraphs.java,DataStructures.Graphs.MatrixGraphs,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,17,1,0,1,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\DynamicProgramming\LongestValidParentheses.java,DynamicProgramming.LongestValidParentheses,class,3,4,1,3,14,1,0,8,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,39,2,2,6,0,1,2,23,13,10,8,4,0,0,0,37,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Others\LinearCongruentialGenerator.java,Others.LinearCongruentialGenerator,class,1,2,1,1,5,1,0,4,4,0.5,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,22,1,1,0,0,1,0,6,7,3,6,1,0,0,0,50,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Others\Mandelbrot.java,Others.Mandelbrot,class,1,2,1,1,25,1,0,10,10,0.0,0.0,0.0,5,5,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,86,10,3,4,1,9,5,71,26,34,23,2,0,0,0,178,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\LevelOrderTraversalQueue.java,DataStructures.Trees.LevelOrderTraversalQueue$Node,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Sorts\TimSort.java,Sorts.TimSort,class,2,3,1,2,29,1,0,10,0,0.5,0.0,0.0,10,2,9,0,0,1,10,0,0,0,3,0,0,0,0,3,0,0,3,115,0,16,0,0,9,6,47,55,25,32,2,0,0,0,96,0,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Maths\Area.java,Maths.Area,class,1,2,1,1,18,1,0,9,36,0.0,NaN,NaN,9,9,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,37,8,0,9,0,1,0,36,0,11,0,0,0,0,0,42,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Maths\FibonacciNumber.java,Maths.FibonacciNumber,class,1,2,1,1,4,1,0,3,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,16,2,0,1,0,0,0,9,1,5,1,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Maths\PerfectCube.java,Maths.PerfectCube,class,1,2,1,1,3,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,14,1,0,1,0,0,0,8,1,2,1,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Conversions\HexToOct.java,Conversions.HexToOct,class,1,2,1,1,5,1,0,11,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,37,2,2,0,0,2,3,10,17,6,12,1,0,0,0,50,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\Others\LowestBasePalindrome.java,Others.LowestBasePalindrome,class,1,2,1,1,17,1,0,12,6,0.0,0.0,0.0,4,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,74,4,7,1,1,5,8,13,30,15,17,4,0,0,0,74,1,0
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Lists\CircleLinkedList.java,DataStructures.Lists.CircleLinkedList$Node,innerclass,2,2,0,2,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,10,0
