file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\TheAlgorithmsJava\strings\Rotation.java,strings.Rotation,"rotation/2[java.lang.String,int]",false,25,0,1,1,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,9,0,true
D:\trabCKMetrics\repos\TheAlgorithmsJava\strings\Rotation.java,strings.Rotation,"rotation/2[char[],int]",false,36,2,2,1,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,5,0,3,0,0,0,0,20,9,0,true
D:\trabCKMetrics\repos\TheAlgorithmsJava\strings\Rotation.java,strings.Rotation,main/1[java.lang.String[]],false,9,2,2,0,2,1,4,6,0,1,1,4,2,2,0,0,0,0,4,2,1,0,0,0,0,0,5,9,0,false
D:\trabCKMetrics\repos\TheAlgorithmsJava\strings\Rotation.java,strings.Rotation,"reverse/3[char[],int,int]",false,49,1,1,1,0,2,0,9,0,1,3,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,13,9,0,true
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\TreeTraversal.java,DataStructures.Trees.Node,printPreOrder/0,false,77,1,3,2,1,3,2,9,0,0,0,2,1,0,0,2,0,0,1,0,0,1,1,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\TreeTraversal.java,DataStructures.Trees.Node,printLevelOrder/0,false,98,1,1,1,0,4,4,14,0,2,0,4,0,0,1,2,0,0,1,1,2,1,2,0,0,0,18,1,0,true
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\TreeTraversal.java,DataStructures.Trees.Node,insert/1[int],false,51,1,4,2,2,4,1,18,0,0,1,1,1,0,0,2,0,0,0,0,2,0,2,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\TreeTraversal.java,DataStructures.Trees.Node,Node/1[int],true,47,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\TreeTraversal.java,DataStructures.Trees.Node,printInOrder/0,false,67,1,3,2,1,3,2,9,0,0,0,2,1,0,0,2,0,0,1,0,0,1,1,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Trees\TreeTraversal.java,DataStructures.Trees.Node,printPostOrder/0,false,87,1,3,2,1,3,2,9,0,0,0,2,1,0,0,2,0,0,1,0,0,1,1,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Heaps\MinHeap.java,DataStructures.Heaps.MinHeap,insertElement/1[DataStructures.Heaps.HeapElement],false,83,2,2,1,1,1,3,4,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\TheAlgorithmsJava\DataStructures\Heaps\MinHeap.java,DataStructures.Heaps.MinHeap,MinHeap/1[java.util.List<DataStructures.Heaps.HeapElement>],true,16,2,1,0,1,4,3,8,0,0,1,3,1,3,1,2,0,0,2,1,1,0,2,0,0,0,16,1,0,false
