file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\YunaiVonemall\system-service-project\system-service-app\src\main\java\cn\iocoder\mall\systemservice\convert\systemlog\SystemExceptionLogConvert.java,cn.iocoder.mall.systemservice.convert.systemlog.SystemExceptionLogConvert,convert/1[cn.iocoder.mall.systemservice.dal.mysql.dataobject.systemlog.SystemExceptionLogDO],false,28,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\system-service-project\system-service-app\src\main\java\cn\iocoder\mall\systemservice\convert\systemlog\SystemExceptionLogConvert.java,cn.iocoder.mall.systemservice.convert.systemlog.SystemExceptionLogConvert,convert/1[cn.iocoder.mall.systemservice.service.systemlog.bo.SystemExceptionLogCreateBO],false,21,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\system-service-project\system-service-app\src\main\java\cn\iocoder\mall\systemservice\convert\systemlog\SystemExceptionLogConvert.java,cn.iocoder.mall.systemservice.convert.systemlog.SystemExceptionLogConvert,convert/1[cn.iocoder.mall.systemservice.rpc.systemlog.dto.SystemExceptionLogPageDTO],false,32,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\system-service-project\system-service-app\src\main\java\cn\iocoder\mall\systemservice\convert\systemlog\SystemExceptionLogConvert.java,cn.iocoder.mall.systemservice.convert.systemlog.SystemExceptionLogConvert,convert/1[cn.iocoder.mall.systemservice.rpc.systemlog.dto.SystemExceptionLogCreateDTO],false,23,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\system-service-project\system-service-app\src\main\java\cn\iocoder\mall\systemservice\convert\systemlog\SystemExceptionLogConvert.java,cn.iocoder.mall.systemservice.convert.systemlog.SystemExceptionLogConvert,convertPage/1[cn.iocoder.mall.systemservice.convert.systemlog.IPage<cn.iocoder.mall.systemservice.dal.mysql.dataobject.systemlog.SystemExceptionLogDO>],false,25,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\system-service-project\system-service-app\src\main\java\cn\iocoder\mall\systemservice\convert\systemlog\SystemExceptionLogConvert.java,cn.iocoder.mall.systemservice.convert.systemlog.SystemExceptionLogConvert,convert/1[cn.iocoder.mall.systemservice.service.systemlog.bo.SystemExceptionLogBO],false,30,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\system-service-project\system-service-app\src\main\java\cn\iocoder\mall\systemservice\convert\systemlog\SystemExceptionLogConvert.java,cn.iocoder.mall.systemservice.convert.systemlog.SystemExceptionLogConvert,convertPage/1[cn.iocoder.common.framework.vo.PageResult<cn.iocoder.mall.systemservice.service.systemlog.bo.SystemExceptionLogBO>],false,34,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\management-web-app\src\main\java\cn\iocoder\mall\managementweb\convert\pay\transaction\PayTransactionConvert.java,cn.iocoder.mall.managementweb.convert.pay.transaction.PayTransactionConvert,convert/1[cn.iocoder.mall.managementweb.controller.pay.vo.transaction.PayTransactionPageReqVO],false,16,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\management-web-app\src\main\java\cn\iocoder\mall\managementweb\convert\pay\transaction\PayTransactionConvert.java,cn.iocoder.mall.managementweb.convert.pay.transaction.PayTransactionConvert,convertPage/1[cn.iocoder.common.framework.vo.PageResult<cn.iocoder.mall.payservice.rpc.transaction.dto.PayTransactionRespDTO>],false,18,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\YunaiVonemall\moved\order\order-biz-api\src\main\java\cn\iocoder\mall\order\biz\enums\order\OrderExchangeReasonEnum.java,cn.iocoder.mall.order.biz.enums.order.OrderExchangeReasonEnum,"OrderExchangeReasonEnum/2[java.lang.Integer,java.lang.String]",true,21,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,false
