file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\good\MyTest.java,factory.laterchange.abstractFactory.good.MyTest,class,5,5,0,5,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\factory\cpu\CPUFactory.java,factory.laterchange.abstractFactory.bad.factory.cpu.CPUFactory,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\command\good\command\LightOnCommand.java,command.later.good.command.LightOnCommand,class,2,3,1,2,3,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\factory\mainboard\MainBoardFactory.java,factory.laterchange.abstractFactory.bad.factory.mainboard.MainBoardFactory,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\proxy\primary\three\Client.java,proxy.primary.three.Client,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\MyTest.java,factory.laterchange.abstractFactory.bad.MyTest,class,7,7,0,7,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,5,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\proxy\advance\two\My$Proxy0.java,proxy.advance.two.My$Proxy0,class,2,2,0,2,3,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,15,0,0,0,1,0,1,0,2,0,2,1,0,0,0,9,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\product\AmdMainBoard.java,factory.laterchange.abstractFactory.bad.product.AmdMainBoard,class,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\command\good\furniture\TV.java,command.later.good.furniture.TV,class,0,3,3,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\computer\Computer.java,factory.laterchange.abstractFactory.bad.computer.Computer,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
