file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\good\MyTest.java,factory.laterchange.abstractFactory.good.MyTest,main/1[java.lang.String[]],false,11,5,4,0,4,1,2,6,0,4,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,9,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\factory\cpu\CPUFactory.java,factory.laterchange.abstractFactory.bad.factory.cpu.CPUFactory,makeCPU/0,false,7,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\command\good\command\LightOnCommand.java,command.later.good.command.LightOnCommand,undo/0,false,22,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\command\good\command\LightOnCommand.java,command.later.good.command.LightOnCommand,execute/0,false,17,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\command\good\command\LightOnCommand.java,command.later.good.command.LightOnCommand,LightOnCommand/1[command.later.good.furniture.Light],true,12,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\factory\mainboard\MainBoardFactory.java,factory.laterchange.abstractFactory.bad.factory.mainboard.MainBoardFactory,makeMB/0,false,7,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\proxy\primary\three\Client.java,proxy.primary.three.Client,main/1[java.lang.String[]],false,5,2,4,0,4,1,2,4,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\MyTest.java,factory.laterchange.abstractFactory.bad.MyTest,main/1[java.lang.String[]],false,12,7,5,0,5,1,3,8,0,5,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,9,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\proxy\advance\two\My$Proxy0.java,proxy.advance.two.My$Proxy0,My$Proxy0/1[proxy.advance.two.MyInvocationHandler],true,9,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\proxy\advance\two\My$Proxy0.java,proxy.advance.two.My$Proxy0,fly/0,false,17,2,1,0,1,2,3,9,0,1,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\command\good\furniture\TV.java,command.later.good.furniture.TV,on/0,false,5,0,2,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\command\good\furniture\TV.java,command.later.good.furniture.TV,off/0,false,9,0,2,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\factory\bad\computer\Computer.java,factory.laterchange.abstractFactory.bad.computer.Computer,"Computer/2[factory.laterchange.abstractFactory.bad.product.CPU,factory.laterchange.abstractFactory.bad.product.MainBoard]",true,13,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\proxy\primary\two\MyTimeProxyInvocationHandler.java,proxy.primary.two.MyTimeProxyInvocationHandler,"invoke/3[java.lang.Object,java.lang.reflect.Method,java.lang.Object[]]",false,19,0,0,0,0,1,3,9,1,2,3,3,0,0,0,0,0,1,4,1,2,6,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\ZXZxinZXBlog\Other\DesignPatterns\proxy\primary\two\MyTimeProxyInvocationHandler.java,proxy.primary.two.MyTimeProxyInvocationHandler,MyTimeProxyInvocationHandler/1[java.lang.Object],true,11,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
