file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\sample-benchmarkable-library\src\main\java\com\airbnb\deeplinkdispatch\sample\benchmarkable\BenchmarkDeepLinkModule.java,com.airbnb.deeplinkdispatch.sample.benchmarkable.BenchmarkDeepLinkModule,class,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\deeplinkdispatch-base\src\main\java\com\airbnb\deeplinkdispatch\DeepLinkUri.java,com.airbnb.deeplinkdispatch.DeepLinkUri,class,6,10,4,6,129,1,0,55,823,0.93572986,0.0,0.0,51,18,7,4,0,40,47,0,0,0,18,9,0,10,0,8,18,0,30,962,63,14,31,3,7,25,57,93,31,75,4,0,1,0,384,17,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\sample\src\test\java\com\airbnb\deeplinkdispatch\sample\ShadowTaskStackBuilder.java,com.airbnb.deeplinkdispatch.sample.ShadowTaskStackBuilder,class,6,7,1,6,6,1,0,9,0,0.5,0.0,0.0,5,1,5,0,0,0,5,0,0,0,2,0,0,2,0,0,1,0,0,25,4,0,0,0,0,2,2,3,0,3,1,0,0,0,28,1,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\deeplinkdispatch\src\main\java\com\airbnb\deeplinkdispatch\BaseDeepLinkDelegate.java,com.airbnb.deeplinkdispatch.BaseDeepLinkDelegate,class,17,20,3,17,61,1,1,61,47,0.65,0.0,0.0,15,1,11,4,0,0,11,0,0,0,4,1,0,0,4,0,4,0,6,245,20,6,28,2,0,20,18,52,10,27,6,0,0,0,173,1,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\sample\src\main\java\com\airbnb\deeplinkdispatch\sample\MainActivity.java,com.airbnb.deeplinkdispatch.sample.MainActivity,class,12,14,2,12,25,2,0,20,44,0.8214285,0.0,0.0,12,10,9,2,1,0,10,0,0,0,7,7,4,3,0,0,7,0,5,96,10,0,4,0,0,47,0,21,9,15,2,0,1,0,134,1,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\deeplinkdispatch-base\src\main\java\com\airbnb\deeplinkdispatch\DeepLinkUri.java,com.airbnb.deeplinkdispatch.DeepLinkUri$Builder$ParseResult,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\sample\src\main\java\com\airbnb\deeplinkdispatch\sample\SampleApplication.java,com.airbnb.deeplinkdispatch.sample.SampleApplication,class,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\deeplinkdispatch-base\src\main\java\com\airbnb\deeplinkdispatch\base\MatchIndex.java,com.airbnb.deeplinkdispatch.base.MatchIndex,class,11,12,1,11,76,1,0,44,0,0.91406244,0.0,0.0,24,6,6,18,0,0,6,0,0,0,16,15,15,1,0,0,16,0,26,263,48,7,31,1,10,10,64,69,38,56,6,0,0,0,270,1,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\sample\src\main\java\com\airbnb\deeplinkdispatch\sample\MainActivity.java,com.airbnb.deeplinkdispatch.sample.MainActivity$InnerClass,innerclass,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23,9,0
D:\trabCKMetrics\repos\airbnbDeepLinkDispatch\deeplinkdispatch-base\src\main\java\com\airbnb\deeplinkdispatch\DeepLinkUri.java,com.airbnb.deeplinkdispatch.DeepLinkUri$Builder,innerclass,5,5,0,5,230,1,0,70,835,0.88586956,0.0,0.0,46,10,1,18,0,27,28,0,0,0,8,0,0,0,0,8,1,0,55,595,79,17,83,3,16,61,105,131,46,74,5,0,1,0,220,24,0
