file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\alibabaDataX\otsstreamreader\src\main\java\com\alibaba\datax\plugin\reader\otsstreamreader\internal\core\IStreamRecordSender.java,com.alibaba.datax.plugin.reader.otsstreamreader.internal.core.IStreamRecordSender,sendToDatax/1[com.alibaba.datax.plugin.reader.otsstreamreader.internal.core.StreamRecord],false,7,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\alibabaDataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\util\Adb4pgUtil.java,com.alibaba.datax.plugin.writer.adbpgwriter.util.Adb4pgUtil,splitBySchemaName/1[java.util.List<java.lang.String>],false,74,0,0,0,0,3,5,11,1,2,1,5,0,0,1,0,0,0,1,5,2,0,2,0,0,0,9,10,0,false
D:\trabCKMetrics\repos\alibabaDataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\util\Adb4pgUtil.java,com.alibaba.datax.plugin.writer.adbpgwriter.util.Adb4pgUtil,generateJdbcUrl/1[com.alibaba.datax.common.util.Configuration],false,97,1,4,3,1,1,1,7,1,4,1,1,0,0,0,0,0,0,3,0,4,1,0,0,0,0,10,10,0,false
D:\trabCKMetrics\repos\alibabaDataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\util\Adb4pgUtil.java,com.alibaba.datax.plugin.writer.adbpgwriter.util.Adb4pgUtil,prepare/1[com.alibaba.datax.common.util.Configuration],false,105,4,9,1,8,2,9,12,1,4,1,9,2,2,0,1,0,0,0,1,4,0,1,0,0,0,15,9,0,false
D:\trabCKMetrics\repos\alibabaDataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\util\Adb4pgUtil.java,com.alibaba.datax.plugin.writer.adbpgwriter.util.Adb4pgUtil,convertConfiguration/1[com.alibaba.datax.common.util.Configuration],false,43,2,6,2,4,1,15,23,1,9,1,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,19,9,0,false
D:\trabCKMetrics\repos\alibabaDataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\util\Adb4pgUtil.java,com.alibaba.datax.plugin.writer.adbpgwriter.util.Adb4pgUtil,post/1[com.alibaba.datax.common.util.Configuration],false,126,4,9,1,8,2,9,12,1,4,1,9,2,2,0,1,0,0,0,1,4,0,1,0,0,0,13,9,0,false
D:\trabCKMetrics\repos\alibabaDataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\util\Adb4pgUtil.java,com.alibaba.datax.plugin.writer.adbpgwriter.util.Adb4pgUtil,getAdbpgConnect/1[com.alibaba.datax.common.util.Configuration],false,89,3,6,3,3,1,3,5,1,2,1,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,10,9,0,false
D:\trabCKMetrics\repos\alibabaDataX\adbpgwriter\src\main\java\com\alibaba\datax\plugin\writer\adbpgwriter\util\Adb4pgUtil.java,com.alibaba.datax.plugin.writer.adbpgwriter.util.Adb4pgUtil,checkConfig/1[com.alibaba.datax.common.util.Configuration],false,32,5,2,1,1,2,2,9,0,2,1,2,1,1,0,0,1,0,1,0,2,1,1,0,0,0,13,9,0,false
D:\trabCKMetrics\repos\alibabaDataX\plugin-rdbms-util\src\main\java\com\alibaba\datax\plugin\rdbms\reader\util\OriginalConfPretreatmentUtil.java,com.alibaba.datax.plugin.rdbms.reader.util.OriginalConfPretreatmentUtil,simplifyConf/1[com.alibaba.datax.common.util.Configuration],false,55,2,5,1,4,1,4,6,0,1,1,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,20,10,0,true
D:\trabCKMetrics\repos\alibabaDataX\plugin-rdbms-util\src\main\java\com\alibaba\datax\plugin\rdbms\reader\util\OriginalConfPretreatmentUtil.java,com.alibaba.datax.plugin.rdbms.reader.util.OriginalConfPretreatmentUtil,dealColumnConf/1[com.alibaba.datax.common.util.Configuration],false,130,4,10,1,9,14,21,55,0,11,1,21,0,0,1,3,0,0,16,3,12,1,5,0,0,0,26,10,5,false
