file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\analysis\v03\handlers\BoundSheetRecordHandler.java,com.alibaba.excel.analysis.v03.handlers.BoundSheetRecordHandler,class,5,7,2,5,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\read\metadata\ReadWorkbook.java,com.alibaba.excel.read.metadata.ReadWorkbook,class,5,17,12,5,30,3,0,0,405,0.93333334,0.0,0.0,30,0,30,0,0,0,30,0,0,0,15,0,0,15,0,0,0,0,0,107,15,0,0,0,0,0,0,15,0,15,0,0,0,0,122,1,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,class,6,10,4,6,11,2,0,5,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,37,1,0,3,0,0,4,9,4,5,4,1,0,0,0,47,1,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\exception\ExcelAnalysisStopException.java,com.alibaba.excel.exception.ExcelAnalysisStopException,class,1,3,2,1,4,5,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\analysis\v03\handlers\AbstractXlsRecordHandler.java,com.alibaba.excel.analysis.v03.handlers.AbstractXlsRecordHandler,class,2,21,19,2,1,1,19,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\enums\RowTypeEnum.java,com.alibaba.excel.enums.RowTypeEnum,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,class,2,7,5,2,10,4,0,0,3,0.6,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,44,4,0,0,0,0,0,0,12,0,4,0,0,0,0,34,1,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,innerclass,1,1,0,1,3,2,0,3,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,13,2,0,0,0,0,2,0,2,0,2,0,0,0,0,42,26,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\test\java\com\alibaba\easyexcel\test\core\style\StyleData.java,com.alibaba.easyexcel.test.core.style.StyleData,class,2,4,2,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\alibabaeasyexcel\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,class,2,7,5,2,7,1,0,2,0,0.33333334,0.0,0.0,6,1,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,26,4,0,1,0,0,0,0,4,0,2,1,0,0,0,21,1,0
