file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\alibabajstorm\example\sequence-split-merge\src\main\java\org\apache\storm\starter\BasicDRPCTopology.java,org.apache.storm.starter.BasicDRPCTopology$ExclaimBolt,innerclass,7,7,0,7,2,3,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,2,1,1,1,0,0,0,0,15,9,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\storm\trident\spout\PartitionedTridentSpoutExecutor.java,storm.trident.spout.PartitionedTridentSpoutExecutor,class,9,9,0,9,6,1,0,2,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,102,5,0,0,0,0,0,0,1,0,1,0,0,3,0,17,1,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\backtype\storm\generated\MetricSnapshot.java,backtype.storm.generated.MetricSnapshot$MetricSnapshotStandardSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\backtype\storm\generated\Nimbus.java,backtype.storm.generated.Nimbus$getVersion_args$getVersion_argsTupleScheme,innerclass,4,4,0,4,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,10,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\backtype\storm\generated\Nimbus.java,backtype.storm.generated.Nimbus$removeHostOutBlackList_args,innerclass,17,17,0,17,50,3,0,29,142,0.8833334,0.0,0.0,24,0,22,2,0,0,24,0,0,0,5,4,1,4,0,0,4,0,5,265,19,0,8,2,2,7,5,21,0,13,2,0,5,0,133,9,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\com\alibaba\jstorm\common\metric\old\window\Metric.java,com.alibaba.jstorm.common.metric.old.window.Metric,class,13,24,11,13,42,1,0,16,111,0.83939385,0.0,0.0,22,1,22,0,0,0,22,0,0,1,15,3,0,2,13,0,2,0,0,145,14,6,12,0,0,1,6,30,3,24,3,0,0,0,68,1,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\backtype\storm\generated\NimbusStat.java,backtype.storm.generated.NimbusStat$NimbusStatTupleSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\backtype\storm\generated\LocalStateData.java,backtype.storm.generated.LocalStateData,class,22,25,3,22,56,3,0,36,141,0.8769231,0.0,0.0,26,0,24,2,0,0,26,0,0,0,5,4,1,4,0,0,4,0,5,311,20,1,10,2,3,14,6,27,1,18,2,0,5,0,144,1,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\backtype\storm\generated\Nimbus.java,backtype.storm.generated.Nimbus$updateBlobReplication_args,innerclass,18,18,0,18,69,3,0,40,222,0.88122606,0.0,0.0,29,0,27,2,0,0,29,0,0,0,9,6,1,8,0,0,6,0,11,352,27,0,12,2,3,11,12,38,0,20,2,0,5,0,139,9,0
D:\trabCKMetrics\repos\alibabajstorm\jstorm-core\src\main\java\backtype\storm\state\ISynchronizeOutputCollector.java,backtype.storm.state.ISynchronizeOutputCollector,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
