file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\constants\PushConstants.java,com.alibaba.nacos.naming.constants.PushConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,0,0,8,0,0,0,0,0,3,3,6,0,6,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,class,0,5,5,0,14,1,0,0,71,0.8482143,0.0,0.0,14,0,14,0,0,0,14,0,0,0,8,0,0,8,0,0,3,0,0,54,8,0,0,0,0,0,0,8,0,8,0,0,0,0,42,1,0
D:\trabCKMetrics\repos\alibabanacos\api\src\main\java\com\alibaba\nacos\api\naming\pojo\healthcheck\impl\Http.java,com.alibaba.nacos.api.naming.pojo.healthcheck.impl.Http,class,4,11,7,4,19,2,0,14,15,0.7454546,0.0,0.0,11,0,11,0,0,0,11,0,0,0,5,2,1,4,0,0,2,0,8,68,12,1,2,0,1,4,6,12,0,9,2,0,0,0,47,1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\controller\ConfigOpsController.java,com.alibaba.nacos.config.server.controller.ConfigOpsController,class,26,27,1,26,11,1,0,23,8,0.73333335,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,2,1,0,3,0,13,64,9,0,0,1,0,18,0,12,2,14,3,0,0,2,132,1,2
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\cluster\ServerListManager.java,com.alibaba.nacos.naming.cluster.ServerListManager,class,16,19,3,16,15,3,0,29,7,0.8,0.0,0.0,6,0,6,0,0,0,6,0,0,1,5,1,0,5,0,0,4,0,9,134,4,2,3,0,0,8,11,11,1,9,3,0,2,0,82,1,3
D:\trabCKMetrics\repos\alibabanacos\client\src\test\java\com\alibaba\nacos\client\naming\cache\ConcurrentDiskUtilTest.java,com.alibaba.nacos.client.naming.cache.ConcurrentDiskUtilTest,class,2,2,0,2,3,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,25,0,0,0,0,0,10,0,12,0,12,0,0,0,0,27,1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\controller\ClientMetricsController.java,com.alibaba.nacos.config.server.controller.ClientMetricsController$Anonymous2,anonymous,2,2,0,2,4,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14,-1,1
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\controller\ClientMetricsController.java,com.alibaba.nacos.config.server.controller.ClientMetricsController$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\model\ConfigInfoBase.java,com.alibaba.nacos.config.server.model.ConfigInfoBase,class,4,40,36,4,50,1,2,9,12,0.6960785,0.0,0.0,17,0,17,0,0,0,17,0,0,0,6,1,0,5,0,1,1,0,1,171,33,0,29,0,8,6,21,20,10,12,3,0,0,0,60,1,0
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\monitor\PerformanceLoggerThread.java,com.alibaba.nacos.naming.monitor.PerformanceLoggerThread$PerformanceLogTask,innerclass,7,7,0,7,6,1,0,27,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,12,48,0,0,1,1,0,6,11,21,1,15,2,0,0,0,34,0,6
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\core\v2\upgrade\doublewrite\execute\InstanceUpgradeHelper.java,com.alibaba.nacos.naming.core.v2.upgrade.doublewrite.execute.InstanceUpgradeHelper,interface,2,7,5,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\alibabanacos\common\src\main\java\com\alibaba\nacos\common\http\client\InterceptingHttpClientRequest.java,com.alibaba.nacos.common.http.client.InterceptingHttpClientRequest,class,4,5,1,4,5,1,0,6,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,20,2,1,0,0,0,0,0,3,0,3,2,0,0,0,23,1,0
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\consistency\persistent\raft\RaftProxy.java,com.alibaba.nacos.naming.consistency.persistent.raft.RaftProxy,class,6,7,1,6,12,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,45,0,0,0,0,0,7,0,11,10,6,1,0,0,0,39,1,0
D:\trabCKMetrics\repos\alibabanacos\core\src\main\java\com\alibaba\nacos\core\cluster\MemberMetaDataConstants.java,com.alibaba.nacos.core.cluster.MemberMetaDataConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,9,0,0,11,0,0,0,0,0,8,0,9,0,9,0,0,0,0,41,1,0
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\core\v2\pojo\InstancePublishInfo.java,com.alibaba.nacos.naming.core.v2.pojo.InstancePublishInfo,class,1,39,38,1,21,1,1,3,16,0.7058824,0.0,0.0,17,1,17,0,0,0,17,0,0,0,6,1,0,6,0,0,1,0,4,67,12,0,3,0,1,4,2,10,3,7,1,0,0,0,45,1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\exception\NacosConfigException.java,com.alibaba.nacos.config.server.exception.NacosConfigException,class,0,1,1,0,5,4,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\alibabanacos\client\src\test\java\com\alibaba\nacos\client\naming\NacosNamingServiceTest.java,com.alibaba.nacos.client.naming.NacosNamingServiceTest,class,11,11,0,11,54,1,0,91,0,0.27777776,0.0,0.0,54,0,54,0,0,0,54,0,0,0,3,0,0,3,0,0,0,0,17,538,0,0,0,0,0,176,98,168,0,168,0,18,0,0,97,1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\manager\TaskManagerMBean.java,com.alibaba.nacos.config.server.manager.TaskManagerMBean,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\monitor\MetricsMonitor.java,com.alibaba.nacos.naming.monitor.MetricsMonitor,class,5,29,24,5,30,1,0,28,0,0.88624346,0.0,0.0,27,25,25,2,0,0,25,0,0,0,14,1,0,14,0,0,14,0,11,119,15,1,0,1,0,15,11,15,0,16,3,0,0,1,79,1,1
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\remote\InternalConfigChangeNotifier.java,com.alibaba.nacos.config.server.remote.InternalConfigChangeNotifier,class,16,17,1,16,13,2,0,17,4,0.5625,0.0,0.0,4,0,3,1,0,0,3,0,0,0,4,3,0,4,0,0,3,0,8,59,3,0,2,2,0,10,4,12,1,13,2,0,0,0,64,1,3
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\service\capacity\GroupCapacityPersistService.java,com.alibaba.nacos.config.server.service.capacity.GroupCapacityPersistService$Anonymous1,anonymous,2,2,0,2,2,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,8,2,0,2,1,0,0,0,11,-1,0
D:\trabCKMetrics\repos\alibabanacos\core\src\test\java\com\alibaba\nacos\core\remote\ClientConnectionEventListenerRegistryTest.java,com.alibaba.nacos.core.remote.ClientConnectionEventListenerRegistryTest$MockClientConnectionEventListener,innerclass,2,2,0,2,2,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
D:\trabCKMetrics\repos\alibabanacos\api\src\main\java\com\alibaba\nacos\api\remote\request\ConnectionSetupRequest.java,com.alibaba.nacos.api.remote.request.ConnectionSetupRequest,class,2,5,3,2,9,3,0,0,28,0.7777778,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,32,4,0,0,0,0,0,0,5,0,4,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\service\capacity\GroupCapacityPersistService.java,com.alibaba.nacos.config.server.service.capacity.GroupCapacityPersistService$Anonymous2,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,13,-1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\service\capacity\GroupCapacityPersistService.java,com.alibaba.nacos.config.server.service.capacity.GroupCapacityPersistService$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,1,1,0,1,0,0,0,0,20,-1,0
D:\trabCKMetrics\repos\alibabanacos\common\src\main\java\com\alibaba\nacos\common\remote\client\ConnectionEventListener.java,com.alibaba.nacos.common.remote.client.ConnectionEventListener,interface,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\service\repository\embedded\BaseDatabaseOperate.java,com.alibaba.nacos.config.server.service.repository.embedded.BaseDatabaseOperate,interface,13,16,3,13,31,1,0,23,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,8,136,15,0,3,7,0,18,10,6,0,6,3,0,0,2,80,1,15
D:\trabCKMetrics\repos\alibabanacos\client\src\test\java\com\alibaba\nacos\client\naming\utils\GenericPollerTest.java,com.alibaba.nacos.client.naming.utils.GenericPollerTest,class,3,3,0,3,2,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,4,0,7,0,7,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\alibabanacos\naming\src\main\java\com\alibaba\nacos\naming\push\v2\NamingSubscriberServiceV2Impl.java,com.alibaba.nacos.naming.push.v2.NamingSubscriberServiceV2Impl,class,26,29,3,26,13,3,0,32,20,0.75,0.0,0.0,8,0,7,1,0,0,7,0,0,0,5,1,0,5,0,0,5,0,9,63,7,1,0,0,0,0,1,19,0,21,1,0,0,2,59,1,0
D:\trabCKMetrics\repos\alibabanacos\common\src\test\java\com\alibaba\nacos\common\utils\InternetAddressUtilTest.java,com.alibaba.nacos.common.utils.InternetAddressUtilTest,class,3,4,1,3,15,1,0,22,66,0.0,0.0,0.0,12,1,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,69,113,0,1,0,1,0,143,1,4,11,4,2,0,0,0,58,1,0
D:\trabCKMetrics\repos\alibabanacos\config\src\main\java\com\alibaba\nacos\config\server\service\repository\RowMapperManager.java,com.alibaba.nacos.config.server.service.repository.RowMapperManager$ConfigInfoRowMapper,innerclass,3,3,0,3,5,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,4,0,8,0,1,0,1,1,0,0,0,15,25,0
D:\trabCKMetrics\repos\alibabanacos\istio\src\main\java\com\alibaba\nacos\istio\xds\NacosXdsService.java,com.alibaba.nacos.istio.xds.NacosXdsService,class,18,23,5,18,18,2,0,36,5,0.6111111,0.0,0.0,6,0,4,2,0,0,4,0,0,0,3,0,0,1,0,2,1,0,1,107,11,1,5,0,0,10,4,13,0,13,3,1,0,0,73,1,9
