file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\threadpool\agent\transformlet\TtlTransformlet.java,com.alibaba.ttl.threadpool.agent.transformlet.TtlTransformlet,interface,2,12,10,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\threadpool\agent\transformlet\internal\JdkExecutorTtlTransformlet.java,com.alibaba.ttl.threadpool.agent.transformlet.internal.JdkExecutorTtlTransformlet,class,4,6,2,4,2,2,0,3,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,35,17,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCopier.java,com.alibaba.ttl.TtlCopier,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\threadpool\DisableInheritableThreadFactory.java,com.alibaba.ttl.threadpool.DisableInheritableThreadFactory,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\test\java\com\alibaba\support\junit\conditional\ConditionalIgnoreRule.java,com.alibaba.support.junit.conditional.ConditionalIgnoreRule$IgnoreCondition,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\spi\TtlEnhanced.java,com.alibaba.ttl.spi.TtlEnhanced,interface,0,22,22,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,class,10,13,3,10,32,1,0,21,22,0.6911765,0.0,0.0,17,8,16,1,0,0,16,0,0,0,4,0,0,4,0,0,4,0,10,89,22,2,7,1,4,3,0,9,1,9,2,0,0,0,126,17,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\spi\TtlWrapper.java,com.alibaba.ttl.spi.TtlWrapper,interface,3,19,16,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\test\java\com\alibaba\demo\ttl\agent\YourXxxAgent.java,com.alibaba.demo.ttl.agent.YourXxxAgent,class,2,3,1,2,1,1,0,3,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,17,0
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\ttl-integrations\sample-ttl-agent-extension-transformlet\src\main\java\com\alibaba\ttl\agent\extension_transformlet\sample\transformlet\SampleExtensionTransformlet.java,com.alibaba.ttl.agent.extension_transformlet.sample.transformlet.SampleExtensionTransformlet,class,6,7,1,6,2,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,2,1,0,0,3,0,1,14,1,0,0,0,0,6,0,6,1,6,1,0,0,0,58,1,1
