file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\threadpool\agent\transformlet\TtlTransformlet.java,com.alibaba.ttl.threadpool.agent.transformlet.TtlTransformlet,doTransform/1[com.alibaba.ttl.threadpool.agent.transformlet.ClassInfo],false,16,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\threadpool\agent\transformlet\internal\JdkExecutorTtlTransformlet.java,com.alibaba.ttl.threadpool.agent.transformlet.internal.JdkExecutorTtlTransformlet,JdkExecutorTtlTransformlet/0,true,31,2,3,1,2,1,2,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\threadpool\agent\transformlet\internal\JdkExecutorTtlTransformlet.java,com.alibaba.ttl.threadpool.agent.transformlet.internal.JdkExecutorTtlTransformlet,getExecutorClassNames/0,false,22,0,1,1,0,1,1,6,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,21,10,0,false
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCopier.java,com.alibaba.ttl.TtlCopier,copy/1[T],false,14,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\threadpool\DisableInheritableThreadFactory.java,com.alibaba.ttl.threadpool.DisableInheritableThreadFactory,unwrap/0,false,16,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\test\java\com\alibaba\support\junit\conditional\ConditionalIgnoreRule.java,com.alibaba.support.junit.conditional.ConditionalIgnoreRule$IgnoreCondition,isSatisfied/0,false,32,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,"setTtlAttachment/2[java.lang.String,java.lang.Object]",false,249,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,gets/1[java.util.Collection<? extends java.util.concurrent.Callable<T>>],false,165,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,hashCode/0,false,99,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,call/0,false,54,2,2,0,2,4,5,13,1,2,0,5,0,0,0,1,1,0,1,0,2,0,1,0,0,0,24,1,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,getCallable/0,false,72,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,"get/3[java.util.concurrent.Callable<T>,boolean,boolean]",false,147,4,3,2,1,4,0,8,3,0,3,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,46,9,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,equals/1[java.lang.Object],false,89,1,0,0,0,4,2,6,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,"gets/2[java.util.Collection<? extends java.util.concurrent.Callable<T>>,boolean]",false,177,4,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,unwrap/0,false,84,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,"get/2[java.util.concurrent.Callable<T>,boolean]",false,132,3,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,get/1[java.util.concurrent.Callable<T>],false,117,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,unwraps/1[java.util.Collection<? extends java.util.concurrent.Callable<T>>],false,230,4,1,0,1,4,3,9,2,1,1,3,0,0,1,1,0,2,0,0,1,0,2,0,0,0,26,9,0,true
D:\trabCKMetrics\repos\alibabatransmittable-thread-local\src\main\java\com\alibaba\ttl\TtlCallable.java,com.alibaba.ttl.TtlCallable,getTtlAttachment/1[java.lang.String],false,259,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
