file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\alipaySoloPi\src\common\src\main\java\com\alipay\hulu\common\injector\InjectorService.java,com.alipay.hulu.common.injector.InjectorService$Anonymous5,anonymous,4,4,0,4,8,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26,1,1,1,1,0,1,0,4,1,4,4,0,0,0,16,-1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\app\src\main\java\com\alipay\hulu\bean\AdvanceCaseSetting.java,com.alipay.hulu.bean.AdvanceCaseSetting,class,3,16,13,3,13,1,0,0,36,0.75,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,49,6,0,1,0,0,0,0,10,0,5,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\app\src\main\java\com\alipay\hulu\util\FunctionSelectUtil.java,com.alipay.hulu.util.FunctionSelectUtil$Anonymous39$Anonymous40,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\common\src\main\java\com\alipay\hulu\common\injector\InjectorService.java,com.alipay.hulu.common.injector.InjectorService$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\common\src\main\java\com\alipay\hulu\common\injector\InjectorService.java,com.alipay.hulu.common.injector.InjectorService$Anonymous2,anonymous,5,5,0,5,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,17,0,1,0,0,0,3,0,5,3,4,1,0,0,0,9,-1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\shared\src\main\java\com\alipay\hulu\shared\io\db\GreenDaoManager.java,com.alipay.hulu.shared.io.db.GreenDaoManager$SingletonHolder,innerclass,1,1,0,1,2,1,0,0,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,9,1,0,1,0,0,0,0,1,0,1,1,0,0,0,14,10,0
D:\trabCKMetrics\repos\alipaySoloPi\src\shared\src\main\java\com\alipay\hulu\shared\node\tree\capture\CaptureTree.java,com.alipay.hulu.shared.node.tree.capture.CaptureTree$Anonymous1,anonymous,8,8,0,8,3,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,25,0,0,0,1,0,7,2,2,2,2,2,0,0,0,13,-1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\shared\src\main\java\com\alipay\hulu\shared\node\utils\ContentChangeWatcher.java,com.alipay.hulu.shared.node.utils.ContentChangeWatcher,class,8,9,1,8,12,1,0,11,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,1,0,4,0,0,1,0,12,44,0,1,2,0,1,3,10,13,5,10,2,0,0,0,43,1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\app\src\main\java\com\alipay\hulu\screenRecord\RecordService.java,com.alipay.hulu.screenRecord.RecordService$Anonymous12$Anonymous14$Anonymous15,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,-1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\app\src\main\java\com\alipay\hulu\util\FunctionSelectUtil.java,com.alipay.hulu.util.FunctionSelectUtil$Anonymous30$Anonymous31,anonymous,4,4,0,4,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,3,1,0,1,1,0,0,0,6,-1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\app\src\main\java\com\alipay\hulu\screenRecord\Encoder.java,com.alipay.hulu.screenRecord.Encoder,interface,1,4,3,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0
D:\trabCKMetrics\repos\alipaySoloPi\src\app\src\main\java\com\alipay\hulu\ui\linechart\CheckableLineChartRenderer.java,com.alipay.hulu.ui.linechart.CheckableLineChartRenderer,class,10,12,2,10,7,2,0,19,2,0.6,0.0,0.0,5,0,3,1,1,0,4,0,0,0,4,0,0,4,0,0,0,0,0,41,1,0,2,0,0,0,0,11,0,10,1,0,0,0,34,1,0
