file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\ankidroidAnki-Android\api\src\main\java\com\ichi2\anki\FlashCardsContract.java,com.ichi2.anki.FlashCardsContract$ReviewInfo,innerclass,1,1,0,1,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,12,0,0,14,0,0,0,0,0,11,0,12,0,12,0,0,0,0,183,9,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\anki\widgets\DeckDropDownAdapter.java,com.ichi2.anki.widgets.DeckDropDownAdapter$DeckDropDownViewHolder,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,8,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\anki\services\NoteServiceTest.java,com.ichi2.anki.services.NoteServiceTest,class,18,18,0,18,5,2,0,27,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,1,0,0,1,0,0,5,55,0,0,0,2,0,14,12,20,0,19,1,0,0,1,60,1,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\utils\FragmentFactoryUtilsTest.java,com.ichi2.utils.FragmentFactoryUtilsTest,class,7,7,0,7,1,2,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,1,6,0,6,0,0,1,0,20,1,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\ui\TextInputEditField.java,com.ichi2.ui.TextInputEditField$AutoFillListener,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,class,7,10,3,7,27,1,0,13,0,0.35714287,0.0,0.0,7,0,4,3,0,0,4,0,0,0,4,0,0,4,0,0,1,0,1,88,13,0,5,0,0,3,6,21,0,13,2,0,1,0,39,1,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\anki\FieldEditText.java,com.ichi2.anki.FieldEditText$SavedState,innerclass,3,3,0,3,3,2,0,3,1,0.5,0.0,0.0,3,0,1,1,0,1,2,0,0,0,2,1,1,1,0,0,1,0,0,23,0,0,0,0,0,0,0,2,0,2,0,1,0,0,18,8,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\async\TaskDelegate.java,com.ichi2.async.TaskDelegate,class,5,51,46,5,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1025,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\preferences\CustomDialogPreference.java,com.ichi2.preferences.CustomDialogPreference,class,7,7,0,7,6,2,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,3,26,0,0,1,0,0,4,0,4,0,4,2,0,0,0,15,1,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,class,16,18,2,16,8,1,0,26,6,0.625,0.0,0.0,8,2,7,1,0,0,7,0,0,0,5,1,0,5,0,0,1,0,9,57,2,0,0,0,0,0,25,11,0,9,0,0,0,0,77,1,0
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\androidTest\java\com\ichi2\anki\testutil\DatabaseUtils.java,com.ichi2.anki.testutil.DatabaseUtils,class,3,4,1,3,15,1,0,20,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,2,2,0,0,0,3,12,0,7,4,0,0,0,45,1,0
