file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\anki\services\NoteServiceTest.java,com.ichi2.anki.services.NoteServiceTest,before/0,false,49,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\anki\services\NoteServiceTest.java,com.ichi2.anki.services.NoteServiceTest,importImageToDirectoryTest/0,false,118,6,9,0,9,1,12,14,0,5,0,12,0,0,0,0,1,0,3,2,5,0,1,0,0,0,28,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\anki\services\NoteServiceTest.java,com.ichi2.anki.services.NoteServiceTest,updateJsonNoteRuntimeErrorTest/0,false,78,5,3,0,3,1,5,8,0,4,0,5,0,0,0,0,0,0,3,0,5,0,0,0,0,1,27,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\anki\services\NoteServiceTest.java,com.ichi2.anki.services.NoteServiceTest,updateJsonNoteTest/0,false,59,7,9,0,9,1,10,12,0,3,0,10,0,0,0,0,0,0,5,8,3,0,0,0,0,0,18,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\anki\services\NoteServiceTest.java,com.ichi2.anki.services.NoteServiceTest,importAudioClipToDirectoryTest/0,false,92,7,9,0,9,1,12,14,0,5,0,12,0,0,0,0,1,0,3,2,5,0,1,0,0,0,29,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\ichi2\utils\FragmentFactoryUtilsTest.java,com.ichi2.utils.FragmentFactoryUtilsTest,test_instantiate/0,false,34,7,2,0,2,1,13,14,0,6,0,13,0,0,0,0,0,0,0,1,6,0,0,0,0,0,19,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\ui\TextInputEditField.java,com.ichi2.ui.TextInputEditField$AutoFillListener,onAutoFill/1[com.ichi2.ui.AutofillValue],false,65,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,initAsPlusFactor/1[java.lang.String],false,56,1,3,1,2,4,4,13,2,3,1,4,1,1,0,2,0,0,0,3,5,0,2,0,0,0,12,2,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,getValue/0,false,105,3,6,3,3,5,2,13,3,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,initAsPow/1[java.lang.String],false,88,1,3,1,2,3,1,10,2,2,1,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,10,2,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,initAsMinusFactor/1[java.lang.String],false,72,1,3,1,2,4,4,13,2,3,1,4,1,1,0,2,0,0,0,3,5,0,2,0,0,0,12,2,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,getFactorType/0,false,100,1,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,isVariable/0,false,122,3,6,3,3,5,2,12,2,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\wildplot\android\parsing\Factor.java,com.wildplot.android.parsing.Factor,"Factor/2[java.lang.String,com.wildplot.android.parsing.TopLevelParser]",true,36,2,10,6,4,5,4,17,1,1,2,4,3,3,0,0,0,0,0,0,6,0,1,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\anki\FieldEditText.java,com.ichi2.anki.FieldEditText$SavedState,SavedState/1[com.ichi2.anki.Parcel],true,314,1,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\anki\FieldEditText.java,com.ichi2.anki.FieldEditText$SavedState,"writeToParcel/2[com.ichi2.anki.Parcel,int]",false,297,1,0,0,0,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\anki\FieldEditText.java,com.ichi2.anki.FieldEditText$SavedState,SavedState/1[com.ichi2.anki.Parcelable],true,292,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\async\TaskDelegate.java,com.ichi2.async.TaskDelegate,"task/2[com.ichi2.libanki.Collection,com.ichi2.async.ProgressSenderAndCancelListener<Progress>]",false,45,5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1028,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\async\TaskDelegate.java,com.ichi2.async.TaskDelegate,requiresOpenCollection/0,false,48,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\preferences\CustomDialogPreference.java,com.ichi2.preferences.CustomDialogPreference,"CustomDialogPreference/2[com.ichi2.preferences.Context,com.ichi2.preferences.AttributeSet]",true,34,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\main\java\com\ichi2\preferences\CustomDialogPreference.java,com.ichi2.preferences.CustomDialogPreference,"onClick/2[com.ichi2.preferences.DialogInterface,int]",false,40,3,1,0,1,5,8,19,0,3,2,8,0,0,0,1,0,0,3,0,3,0,2,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,paintShouldDrawTwoSectorsWithGivenColors/0,false,87,7,5,0,5,1,11,10,0,1,0,11,2,1,0,0,0,0,0,8,2,0,0,0,0,0,26,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,paintShouldDrawFullRedCircleIfOneValue/0,false,74,7,5,0,5,1,11,8,0,1,0,11,2,1,0,0,0,0,0,5,2,0,0,0,0,0,27,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,constructorShouldThrowIfSizesMismatch/0,false,60,4,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,tearDown/0,false,55,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,paintShouldNotDrawAnythingIfValuesAreZero/0,false,65,4,2,0,2,1,5,5,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,setUp/0,false,42,6,4,0,4,1,12,10,0,1,0,12,0,0,0,0,0,0,0,7,2,0,0,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\ankidroidAnki-Android\AnkiDroid\src\test\java\com\wildplot\android\rendering\PieChartTest.java,com.wildplot.android.rendering.PieChartTest,closeTo/1[double],false,115,1,3,2,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,false
