file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,class,6,8,2,6,62,1,0,19,0,0.71153855,0.0,0.0,13,2,10,3,0,0,10,0,0,0,8,0,0,8,0,0,4,0,9,174,18,6,19,0,4,3,70,44,46,28,4,0,0,0,72,1,0
D:\trabCKMetrics\repos\antlrantlr4\runtime-testsuite\test\org\antlr\v4\test\runtime\descriptors\SemPredEvalParserDescriptors.java,org.antlr.v4.test.runtime.descriptors.SemPredEvalParserDescriptors$PredicateDependentOnArg2,innerclass,2,2,0,2,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,0,0,0,0,0,3,0,5,0,6,0,0,0,0,80,9,0
D:\trabCKMetrics\repos\antlrantlr4\runtime\Java\src\org\antlr\v4\runtime\tree\xpath\XPathLexerErrorListener.java,org.antlr.v4.runtime.tree.xpath.XPathLexerErrorListener,class,3,4,1,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\antlrantlr4\runtime-testsuite\test\org\antlr\v4\test\runtime\StreamVacuum.java,org.antlr.v4.test.runtime.StreamVacuum,class,1,10,9,1,6,1,0,5,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,26,1,0,0,1,0,1,0,3,0,3,1,0,0,0,28,17,0
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\TestPerformance.java,org.antlr.v4.test.tool.TestPerformance,class,44,49,5,44,159,16,0,108,125,0.93442595,0.0,0.0,18,4,5,6,7,0,15,0,0,0,61,59,0,60,0,1,60,0,57,1381,6,48,11,3,11,86,138,306,74,223,7,4,15,0,477,1,0
D:\trabCKMetrics\repos\antlrantlr4\runtime\Java\src\org\antlr\v4\runtime\atn\ArrayPredictionContext.java,org.antlr.v4.runtime.atn.ArrayPredictionContext,class,4,7,3,4,21,2,0,11,0,0.375,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,2,0,0,0,2,0,3,61,10,1,7,0,1,6,5,5,0,5,2,0,0,0,65,1,0
D:\trabCKMetrics\repos\antlrantlr4\runtime-testsuite\test\org\antlr\v4\test\runtime\java\TestLexerErrors.java,org.antlr.v4.test.runtime.java.TestLexerErrors,class,7,7,0,7,2,2,0,1,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\antlrantlr4\runtime\Java\src\org\antlr\v4\runtime\tree\pattern\TextChunk.java,org.antlr.v4.runtime.tree.pattern.TextChunk,class,1,2,1,1,4,2,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,15,2,0,1,0,0,3,0,1,1,1,1,0,0,0,40,0,0
D:\trabCKMetrics\repos\antlrantlr4\tool\src\org\antlr\v4\codegen\model\MatchSet.java,org.antlr.v4.codegen.model.MatchSet,class,13,15,2,13,1,4,1,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,1,5,0,5,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\antlrantlr4\runtime\Java\src\org\antlr\v4\runtime\misc\LogManager.java,org.antlr.v4.runtime.misc.LogManager,class,2,4,2,2,9,1,0,13,13,0.6666667,0.0,0.0,6,1,6,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,1,71,3,1,2,1,0,10,0,11,1,9,1,0,1,0,36,1,0
