file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,isHexDigit/1[int],false,179,0,1,1,0,7,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,JavaUnicodeInputStream/1[org.antlr.v4.runtime.CharStream],true,30,2,2,1,1,2,1,7,0,0,1,1,0,0,0,1,0,0,1,1,2,0,1,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,mark/0,false,150,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,getText/1[org.antlr.v4.runtime.misc.Interval],false,55,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,index/0,false,45,1,4,3,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,LA/1[int],false,91,4,7,1,6,14,6,50,6,10,1,6,2,2,3,5,0,0,1,18,13,12,4,0,0,0,26,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,getSourceName/0,false,50,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,consume/0,false,60,3,7,0,7,6,8,24,1,2,0,8,2,3,1,2,0,0,0,7,7,1,2,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,size/0,false,40,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,"readCharAt/3[int[],int[],int[]]",false,201,3,5,1,4,16,4,35,2,8,3,4,3,1,1,10,0,4,0,37,15,26,4,0,0,0,28,2,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,release/1[int],false,155,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,seek/1[int],false,160,2,4,0,4,4,4,15,0,0,1,4,0,0,1,1,0,0,0,5,4,2,1,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\antlrantlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,hexValue/1[int],false,185,0,1,1,0,7,0,12,3,0,1,0,0,0,0,0,0,0,1,2,0,5,1,0,0,0,6,10,0,false
