file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,class,11,12,1,11,15,2,0,20,12,0.765625,0.0,0.0,8,0,6,2,0,0,6,0,0,0,8,2,0,8,0,0,2,0,4,79,1,0,5,0,3,33,21,28,19,21,1,0,0,0,90,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\location\lib\java\com\android\location\provider\ProviderPropertiesUnbundled.java,com.android.location.provider.ProviderPropertiesUnbundled,class,2,3,1,2,4,1,0,1,0,0.25,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,28,17,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\CallbackFilter.java,android.filterpacks.base.CallbackFilter,class,9,9,0,9,8,2,0,6,4,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,1,51,0,0,1,0,0,7,0,4,0,6,3,0,1,0,42,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\core\tests\coretests\src\android\widget\listview\touch\ListTouchManyTest.java,android.widget.listview.touch.ListTouchManyTest,class,14,14,0,14,18,6,0,34,0,0.35000002,0.0,0.0,10,0,9,0,1,0,10,0,0,0,2,0,0,2,0,0,0,0,32,92,0,2,0,1,8,17,33,22,15,22,3,0,0,0,78,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\packages\SettingsLib\src\com\android\settingslib\core\instrumentation\MetricsFeatureProvider.java,com.android.settingslib.core.instrumentation.MetricsFeatureProvider,class,14,15,1,14,33,1,0,22,33,0.6666667,0.0,0.0,15,0,14,0,1,0,15,0,0,0,2,1,1,0,1,0,1,0,1,90,13,7,8,0,3,3,1,6,1,6,1,0,0,0,111,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\PosterizeFilter.java,android.filterpacks.imageproc.PosterizeFilter,class,10,11,1,10,8,2,0,13,8,0.7,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,1,0,1,39,1,0,2,0,0,20,1,9,3,8,1,0,0,0,60,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\FrameFetch.java,android.filterpacks.base.FrameFetch,class,6,6,0,6,6,2,0,6,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1,23,0,0,2,0,0,6,1,2,0,4,2,0,0,0,25,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\packages\SystemUI\src\com\android\systemui\statusbar\phone\KeyguardDismissUtil.java,com.android.systemui.statusbar.phone.KeyguardDismissUtil,class,5,5,0,5,4,1,0,3,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,1,18,1,0,1,0,0,2,0,3,0,3,1,0,0,0,47,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\packages\SystemUI\plugin\src\com\android\systemui\plugins\VolumeDialogController.java,com.android.systemui.plugins.VolumeDialogController$Callbacks,interface,2,2,0,2,11,1,0,0,55,1.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,1,0,1,0,0,0,0,39,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\packages\SystemUI\tests\src\com\android\systemui\qs\customize\TileAdapterTest.java,com.android.systemui.qs.customize.TileAdapterTest,class,11,11,0,11,2,2,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,0,2,0,2,0,0,0,1,22,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterfw\java\android\filterfw\GraphEnvironment.java,android.filterfw.GraphEnvironment,class,11,12,1,11,14,2,0,12,20,0.78125,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,2,2,2,0,0,2,0,0,77,6,0,1,1,0,5,4,8,4,6,1,0,1,0,149,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\CallbackFilter.java,android.filterpacks.base.CallbackFilter$CallbackRunnable,innerclass,3,3,0,3,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,4,0,0,0,0,14,2,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FillLightFilter.java,android.filterpacks.imageproc.FillLightFilter,class,11,12,1,11,11,2,0,16,9,0.74285716,0.0,0.0,7,0,6,1,0,0,6,0,0,0,5,0,0,5,0,0,1,0,2,56,1,0,3,0,2,31,9,15,12,14,1,0,0,0,82,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\ToRGBFilter.java,android.filterpacks.imageproc.ToRGBFilter,class,9,10,1,9,10,2,0,16,13,0.77777773,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,46,3,0,2,0,0,11,4,9,1,7,1,0,0,0,39,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\text\StringSource.java,android.filterpacks.text.StringSource,class,7,7,0,7,3,2,0,8,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,18,0,0,0,0,0,4,0,2,0,3,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\core\tests\hosttests\test-apps\MultiDexLegacyVersionedTestApp_v3\src\com\android\framework\multidexlegacyversionedtestapp\ClassForMainDex.java,com.android.framework.multidexlegacyversionedtestapp.ClassForMainDex,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\performance\ThroughputFilter.java,android.filterpacks.performance.ThroughputFilter,class,9,9,0,9,7,2,0,13,6,0.64,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,3,44,1,0,1,0,2,8,10,17,3,11,1,0,0,0,32,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\core\tests\coretests\src\android\widget\listview\touch\ListSetSelectionTest.java,android.widget.listview.touch.ListSetSelectionTest,class,14,14,0,14,14,6,0,19,0,0.16666667,0.0,0.0,6,0,5,0,1,0,6,0,0,0,2,0,0,2,0,0,0,0,16,90,0,3,5,0,0,8,11,21,3,17,2,3,0,0,48,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\FrameBranch.java,android.filterpacks.base.FrameBranch,class,5,5,0,5,6,2,0,4,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,21,1,2,0,0,0,6,3,4,2,4,1,0,0,0,26,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\videosrc\CameraSource.java,android.filterpacks.videosrc.CameraSource$Anonymous1,anonymous,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0,1,0,0,1,0,0,0,13,-1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\GLTextureTarget.java,android.filterpacks.base.GLTextureTarget,class,7,7,0,7,3,2,0,11,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,16,0,0,0,0,0,3,0,3,0,4,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\packages\SystemUI\shared\src\com\android\systemui\shared\plugins\PluginEnabler.java,com.android.systemui.shared.plugins.PluginEnabler,interface,3,4,1,3,4,1,0,0,6,0.9,0.0,0.0,4,0,0,0,0,4,4,0,0,0,5,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,5,5,0,5,0,0,0,0,56,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterfw\java\android\filterfw\io\TextGraphReader.java,android.filterfw.io.TextGraphReader$AllocateFilterCommand,innerclass,5,5,0,5,3,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,0,1,0,0,0,5,0,3,1,0,0,0,20,2,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\RotateFilter.java,android.filterpacks.imageproc.RotateFilter,class,12,13,1,12,16,2,0,20,3,0.6666667,0.0,0.0,6,0,5,1,0,0,5,0,0,0,8,0,0,8,0,0,0,0,3,79,0,0,9,0,12,11,34,26,27,20,2,0,0,0,64,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\FrameSource.java,android.filterpacks.base.FrameSource,class,6,6,0,6,5,2,0,3,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,19,0,0,1,0,0,6,0,2,0,3,1,0,0,0,20,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\videoproc\BackDropperFilter.java,android.filterpacks.videoproc.BackDropperFilter$LearningDoneListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\videosrc\CameraSource.java,android.filterpacks.videosrc.CameraSource,class,21,22,1,21,48,2,0,40,6,0.7948718,0.0,0.0,13,0,10,3,0,0,10,0,0,2,21,5,0,21,0,0,6,0,18,183,3,3,5,2,1,38,50,52,14,36,4,1,0,0,157,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\ImageEncoder.java,android.filterpacks.imageproc.ImageEncoder,class,7,7,0,7,3,2,0,5,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,15,0,0,0,0,0,4,1,3,0,4,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\numeric\SinWaveFilter.java,android.filterpacks.numeric.SinWaveFilter,class,7,7,0,7,4,2,0,8,2,0.5833333,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,2,22,0,0,0,0,1,3,5,6,2,4,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterfw\java\android\filterfw\FilterFunctionEnvironment.java,android.filterfw.FilterFunctionEnvironment,class,5,5,0,5,3,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,2,0,2,1,2,0,0,0,0,89,1,0
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\packages\SystemUI\plugin\src\com\android\systemui\plugins\VolumeDialogController.java,com.android.systemui.plugins.VolumeDialogController$StreamState,innerclass,3,3,0,3,1,1,0,0,0,0.1,NaN,NaN,1,0,1,0,0,0,1,0,0,0,10,1,10,0,0,0,1,0,0,25,1,0,0,0,0,0,1,11,0,11,0,0,0,0,25,25,0
