file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,"updateFrameSize/2[int,int]",false,140,1,2,1,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,10,2,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,"fieldPortValueUpdated/2[java.lang.String,android.filterfw.core.FilterContext]",false,134,2,1,0,1,2,1,5,0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,FisheyeFilter/1[java.lang.String],true,74,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,"initProgram/2[android.filterfw.core.FilterContext,int]",false,89,2,3,1,2,2,1,12,0,1,2,1,0,0,0,0,0,0,3,0,3,2,1,0,0,0,19,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,updateProgramParams/0,false,147,2,3,2,1,2,3,23,0,9,0,3,0,0,0,0,0,3,4,17,13,16,1,0,0,0,17,2,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,setupPorts/0,false,79,2,3,0,3,1,3,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,process/1[android.filterfw.core.FilterContext],false,105,7,12,0,12,5,12,14,0,3,1,12,2,2,0,4,0,0,2,0,3,0,1,0,0,0,21,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\imageproc\FisheyeFilter.java,android.filterpacks.imageproc.FisheyeFilter,"getOutputFormat/2[java.lang.String,android.filterfw.core.FrameFormat]",false,85,1,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\location\lib\java\com\android\location\provider\ProviderPropertiesUnbundled.java,com.android.location.provider.ProviderPropertiesUnbundled,"create/9[boolean,boolean,boolean,boolean,boolean,boolean,boolean,int,int]",false,34,2,2,0,2,1,0,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\location\lib\java\com\android\location\provider\ProviderPropertiesUnbundled.java,com.android.location.provider.ProviderPropertiesUnbundled,toString/0,false,50,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\location\lib\java\com\android\location\provider\ProviderPropertiesUnbundled.java,com.android.location.provider.ProviderPropertiesUnbundled,getProviderProperties/0,false,45,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\location\lib\java\com\android\location\provider\ProviderPropertiesUnbundled.java,com.android.location.provider.ProviderPropertiesUnbundled,ProviderPropertiesUnbundled/1[com.android.internal.location.ProviderProperties],true,40,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\CallbackFilter.java,android.filterpacks.base.CallbackFilter,prepare/1[android.filterfw.core.FilterContext],false,74,3,2,0,2,2,1,5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\CallbackFilter.java,android.filterpacks.base.CallbackFilter,process/1[android.filterfw.core.FilterContext],false,80,6,5,0,5,4,4,18,0,2,1,4,0,0,0,1,0,0,3,0,2,0,3,0,0,0,31,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\CallbackFilter.java,android.filterpacks.base.CallbackFilter,setupPorts/0,false,70,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\media\mca\filterpacks\java\android\filterpacks\base\CallbackFilter.java,android.filterpacks.base.CallbackFilter,CallbackFilter/1[java.lang.String],true,65,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\aosp-mirrorplatform_frameworks_base\core\tests\coretests\src\android\widget\listview\touch\ListTouchManyTest.java,android.widget.listview.touch.ListTouchManyTest,testPress/0,false,98,8,14,0,14,5,16,20,0,3,0,16,0,0,1,0,1,3,2,5,3,2,3,0,0,0,16,1,0,false
