file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apachebeam\sdks\java\io\cassandra\src\main\java\org\apache\beam\sdk\io\cassandra\DefaultObjectMapper.java,org.apache.beam.sdk.io.cassandra.DefaultObjectMapper,class,5,6,1,5,4,1,0,4,0,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,1,0,1,0,1,0,0,0,0,38,0,0
D:\trabCKMetrics\repos\apachebeam\sdks\java\io\google-cloud-platform\src\main\java\org\apache\beam\sdk\io\gcp\pubsub\PubsubDlqProvider.java,org.apache.beam.sdk.io.gcp.pubsub.PubsubDlqProvider,class,8,8,0,8,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,1,0,0,0,0,0,0,1,0,8,1,0
D:\trabCKMetrics\repos\apachebeam\runners\samza\src\main\java\org\apache\beam\runners\samza\runtime\SamzaStoreStateInternals.java,org.apache.beam.runners.samza.runtime.SamzaStoreStateInternals$AbstractSamzaState$Anonymous2,anonymous,3,3,0,3,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\apachebeam\sdks\java\extensions\sketching\src\main\java\org\apache\beam\sdk\extensions\sketching\TDigestQuantiles.java,org.apache.beam.sdk.extensions.sketching.TDigestQuantiles$TDigestQuantilesFn,innerclass,9,9,0,9,11,3,0,8,24,0.5555556,0.0,0.0,9,1,8,1,0,0,8,0,0,0,1,0,0,1,0,0,1,0,1,40,7,1,0,0,0,3,1,3,0,3,1,0,0,0,75,9,0
D:\trabCKMetrics\repos\apachebeam\runners\core-construction-java\src\test\java\org\apache\beam\runners\core\construction\CombineTranslationTest.java,org.apache.beam.runners.core.construction.CombineTranslationTest$ValidateCombineWithContextTest,innerclass,27,27,0,27,3,1,0,33,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,16,53,0,0,1,0,0,4,6,14,0,14,0,3,0,0,40,9,0
D:\trabCKMetrics\repos\apachebeam\runners\direct-java\src\test\java\org\apache\beam\runners\direct\DirectTimerInternalsTest.java,org.apache.beam.runners.direct.DirectTimerInternalsTest,class,15,15,0,15,7,1,0,29,0,0.5,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,17,49,0,0,0,0,0,1,22,10,0,11,0,0,0,0,48,1,0
D:\trabCKMetrics\repos\apachebeam\runners\google-cloud-dataflow-java\worker\src\test\java\org\apache\beam\runners\dataflow\worker\util\common\worker\GroupingShuffleRangeTrackerTest.java,org.apache.beam.runners.dataflow.worker.util.common.worker.GroupingShuffleRangeTrackerTest,class,10,11,1,10,12,1,0,9,35,0.54545456,0.0,0.0,11,1,10,1,0,0,10,0,0,0,1,0,1,0,0,0,1,0,67,95,1,1,0,0,0,0,218,14,0,13,1,0,0,0,40,1,0
D:\trabCKMetrics\repos\apachebeam\sdks\java\core\src\main\java\org\apache\beam\sdk\transforms\splittabledofn\HasDefaultWatermarkEstimator.java,org.apache.beam.sdk.transforms.splittabledofn.HasDefaultWatermarkEstimator,interface,3,9,6,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\apachebeam\runners\spark\src\main\java\org\apache\beam\runners\spark\translation\SparkBatchPortablePipelineTranslator.java,org.apache.beam.runners.spark.translation.SparkBatchPortablePipelineTranslator$Anonymous1,anonymous,3,3,0,3,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,-1,0
D:\trabCKMetrics\repos\apachebeam\examples\java\src\main\java\org\apache\beam\examples\complete\datatokenization\transforms\SerializableFunctions.java,org.apache.beam.examples.complete.datatokenization.transforms.SerializableFunctions,class,2,5,3,2,2,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,18,2,0,1,0,0,1,0,4,0,4,1,0,0,1,17,1,0
