file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-common\src\test\java\org\apache\dolphinscheduler\common\utils\StreamUtilsTest.java,org.apache.dolphinscheduler.common.utils.StreamUtilsTest,class,2,2,0,2,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,5,1,2,0,3,0,0,0,1,7,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,innerclass,2,2,0,2,13,1,0,11,56,0.84615386,0.0,0.0,13,0,12,1,0,0,12,0,0,0,11,0,0,11,0,0,0,0,0,74,12,0,0,0,0,0,0,12,0,12,0,0,0,0,21,25,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\utils\BooleanUtils.java,org.apache.dolphinscheduler.common.utils.BooleanUtils,class,1,8,7,1,3,1,0,1,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,3,0,1,0,0,0,0,0,0,0,1,0,0,0,8,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-server\src\main\java\org\apache\dolphinscheduler\server\worker\cache\impl\TaskExecutionContextCacheManagerImpl.java,org.apache.dolphinscheduler.server.worker.cache.impl.TaskExecutionContextCacheManagerImpl,class,3,14,11,3,4,1,0,6,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,2,0,0,0,0,0,0,1,0,3,0,0,0,1,17,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-api\src\test\java\org\apache\dolphinscheduler\api\service\ExecutorServiceTest.java,org.apache.dolphinscheduler.api.service.ExecutorServiceTest,class,8,9,1,8,5,2,0,9,3,0.6666667,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,1,0,2,0,0,1,0,1,22,0,0,1,0,0,0,2,3,0,4,1,0,0,0,25,1,1
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-spi\src\main\java\org\apache\dolphinscheduler\spi\params\base\DataType.java,org.apache.dolphinscheduler.spi.params.base.DataType,enum,0,3,3,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-common\src\test\java\org\apache\dolphinscheduler\common\utils\PreconditionsTest.java,org.apache.dolphinscheduler.common.utils.PreconditionsTest,class,4,5,1,4,5,1,0,10,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,6,32,0,0,0,4,0,8,0,2,0,2,1,0,0,0,17,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\ServerAlertContent.java,org.apache.dolphinscheduler.dao.entity.ServerAlertContent,class,4,6,2,4,2,1,0,0,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,4,0,0,0,0,4,4,0,0,40,1,0,0,0,0,4,0,4,0,4,0,0,1,0,16,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\dto\ScheduleParam.java,org.apache.dolphinscheduler.api.dto.ScheduleParam,class,1,2,1,1,11,1,0,0,13,0.6363636,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,9,0,8,2,4,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\test\java\org\apache\dolphinscheduler\dao\mapper\PluginDefineTest.java,org.apache.dolphinscheduler.dao.mapper.PluginDefineTest,class,10,11,1,10,7,1,0,11,0,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,26,1,0,0,0,0,3,6,6,0,7,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-remote\src\test\java\org\apache\dolphinscheduler\remote\NettyRemotingClientTest.java,org.apache.dolphinscheduler.remote.NettyRemotingClientTest,class,10,10,0,10,4,1,0,13,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,2,0,2,4,13,0,13,1,3,0,0,36,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\enums\RunMode.java,org.apache.dolphinscheduler.common.enums.RunMode,enum,1,4,3,1,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,2,2,2,0,2,0,0,0,0,27,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-server\src\main\java\org\apache\dolphinscheduler\server\master\registry\MasterRegistryClient.java,org.apache.dolphinscheduler.server.master.registry.MasterRegistryClient$MasterRegistryConnectStateListener,innerclass,3,3,0,3,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,2,0,0,0,0,1,0,0,0,7,0,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-server\src\main\java\org\apache\dolphinscheduler\server\worker\task\sqoop\generator\targets\MysqlTargetGenerator.java,org.apache.dolphinscheduler.server.worker.task.sqoop.generator.targets.MysqlTargetGenerator,class,13,15,2,13,13,1,0,27,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,11,44,1,0,3,1,0,2,1,5,0,5,5,0,0,0,32,1,1
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\dto\treeview\TreeViewDto.java,org.apache.dolphinscheduler.api.dto.treeview.TreeViewDto,class,2,4,2,2,8,1,0,0,12,0.6875,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,6,0,4,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\mapper\ProcessTaskRelationLogMapper.java,org.apache.dolphinscheduler.dao.mapper.ProcessTaskRelationLogMapper,interface,3,6,3,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-remote\src\test\java\org\apache\dolphinscheduler\remote\command\future\ResponseFutureTest.java,org.apache.dolphinscheduler.remote.command.future.ResponseFutureTest$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-alert-plugin\dolphinscheduler-alert-script\src\main\java\org\apache\dolphinscheduler\plugin\alert\script\ScriptAlertPlugin.java,org.apache.dolphinscheduler.plugin.alert.script.ScriptAlertPlugin,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-server\src\main\java\org\apache\dolphinscheduler\server\master\dispatch\host\assign\LowerWeightRoundRobin.java,org.apache.dolphinscheduler.server.master.dispatch.host.assign.LowerWeightRoundRobin,class,2,4,2,2,4,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,1,0,0,0,2,6,2,3,2,0,0,0,18,1,0
