file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-common\src\test\java\org\apache\dolphinscheduler\common\utils\StreamUtilsTest.java,org.apache.dolphinscheduler.common.utils.StreamUtilsTest,asStream/0,false,31,2,1,0,1,1,9,5,0,3,0,9,0,0,0,0,0,0,5,1,2,0,0,0,0,1,5,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,build/0,false,298,1,13,1,12,1,11,15,1,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,id/1[int],false,248,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,description/1[java.lang.String],false,268,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,userName/1[java.lang.String],false,258,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,code/1[java.lang.Long],false,243,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,Builder/0,true,240,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,instRunningCount/1[int],false,293,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,perm/1[int],false,283,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,createTime/1[java.util.Date],false,273,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,updateTime/1[java.util.Date],false,278,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,defCount/1[int],false,288,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,userId/1[int],false,253,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\Project.java,org.apache.dolphinscheduler.dao.entity.Project$Builder,name/1[java.lang.String],false,263,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\utils\BooleanUtils.java,org.apache.dolphinscheduler.common.utils.BooleanUtils,isNotTrue/1[java.lang.Boolean],false,30,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
D:\trabCKMetrics\repos\apachedolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\utils\BooleanUtils.java,org.apache.dolphinscheduler.common.utils.BooleanUtils,isTrue/1[java.lang.Boolean],false,22,0,10,10,0,2,0,8,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,9,0,false
