file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,class,12,13,1,12,3,1,0,6,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,15,3,0,0,0,0,14,0,1,3,1,0,0,0,0,18,1,3
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,class,5,14,9,5,21,2,0,28,18,0.6875,0.0,0.0,16,2,16,0,0,0,16,0,0,0,6,1,0,6,0,0,1,0,10,132,13,0,3,0,0,0,1,14,0,10,2,0,1,1,46,17,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\DashboardUserDO.java,org.apache.shenyu.admin.model.entity.DashboardUserDO,class,5,13,8,5,20,2,0,27,22,0.6979167,0.0,0.0,16,2,16,0,0,0,16,0,0,0,6,1,0,6,0,0,1,0,10,139,13,0,1,0,1,0,1,14,0,10,2,0,1,1,48,17,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\MetaData.java,org.apache.shenyu.common.dto.MetaData$Builder,innerclass,2,2,0,2,12,1,0,0,66,0.9166667,0.0,0.0,12,0,11,1,0,0,11,0,0,0,10,0,0,10,0,0,0,0,0,57,11,0,0,0,0,0,0,10,0,10,0,0,0,0,21,25,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\test\java\org\apache\shenyu\admin\model\query\PluginHandleQueryTest.java,org.apache.shenyu.admin.model.query.PluginHandleQueryTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-examples\shenyu-examples-grpc\src\main\java\org\apache\shenyu\examples\grpc\stream\StreamServiceImpl.java,org.apache.shenyu.examples.grpc.stream.StreamServiceImpl,class,7,7,0,7,5,2,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,51,2,1,0,0,0,12,2,3,3,3,1,2,0,0,17,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-plugin\shenyu-plugin-jwt\src\main\java\org\apache\shenyu\plugin\jwt\config\JwtConfig.java,org.apache.shenyu.plugin.jwt.config.JwtConfig,class,0,3,3,0,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-spi\src\test\java\org\apache\shenyu\spi\fixture\HasDefaultSPI.java,org.apache.shenyu.spi.fixture.HasDefaultSPI,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-spring-boot-starter\shenyu-spring-boot-starter-plugin\shenyu-spring-boot-starter-plugin-redirect\src\test\java\org\apache\shenyu\springboot\starter\plugin\redirect\RedirectPluginConfigurationTest.java,org.apache.shenyu.springboot.starter.plugin.redirect.RedirectPluginConfigurationTest,class,5,5,0,5,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1,0,2,1,0,0,1,13,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\config\ShenyuConfig.java,org.apache.shenyu.common.config.ShenyuConfig$FileConfig,innerclass,0,0,0,0,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,1,4,0,2,0,0,0,0,19,9,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-plugin\shenyu-plugin-modify-response\src\main\java\org\apache\shenyu\plugin\modify\response\ModifyResponsePlugin.java,org.apache.shenyu.plugin.modify.response.ModifyResponsePlugin,class,16,18,2,16,12,3,0,30,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,101,4,0,1,0,0,0,1,8,0,10,3,0,1,1,36,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-plugin\shenyu-plugin-global\src\main\java\org\apache\shenyu\plugin\global\DefaultShenyuContextBuilder.java,org.apache.shenyu.plugin.global.DefaultShenyuContextBuilder,class,10,14,4,10,8,1,0,30,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,4,40,2,0,0,0,0,2,0,15,0,14,1,0,0,1,38,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-plugin\shenyu-plugin-apache-dubbo\src\test\java\org\apache\shenyu\plugin\apache\dubbo\proxy\ApacheDubboProxyServiceTest.java,org.apache.shenyu.plugin.apache.dubbo.proxy.ApacheDubboProxyServiceTest$BodyParamResolveServiceImpl,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-plugin\shenyu-plugin-httpclient\src\main\java\org\apache\shenyu\plugin\httpclient\config\HttpClientProperties.java,org.apache.shenyu.plugin.httpclient.config.HttpClientProperties,class,3,5,2,3,16,1,0,0,104,0.875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,0,0,8,0,0,0,0,0,194,8,0,0,0,0,0,2,13,0,8,0,0,3,0,40,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-sync-data-center\shenyu-sync-data-http\src\main\java\org\apache\shenyu\sync\data\http\refresh\SelectorDataRefresh.java,org.apache.shenyu.sync.data.http.refresh.SelectorDataRefresh,class,8,11,3,8,7,2,0,11,13,0.75,0.0,0.0,6,0,2,0,4,0,6,0,0,0,2,1,0,2,0,0,2,0,0,32,4,0,0,0,0,1,0,2,0,2,1,1,0,0,28,1,1
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-plugin\shenyu-plugin-resilience4j\src\main\java\org\apache\shenyu\plugin\resilience4j\handler\Resilience4JHandler.java,org.apache.shenyu.plugin.resilience4j.handler.Resilience4JHandler,class,9,10,1,9,3,1,0,11,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,5,20,1,0,0,0,0,0,0,4,0,6,1,0,0,2,25,1,0
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-plugin\shenyu-plugin-grpc\src\main\java\org\apache\shenyu\plugin\grpc\loadbalance\RoundRobinLoadBalancerProvider.java,org.apache.shenyu.plugin.grpc.loadbalance.RoundRobinLoadBalancerProvider$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
