file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,"testRequestHeader/2[java.lang.String,org.apache.shenyu.examples.http.controller.ServerHttpRequest]",false,45,4,0,0,0,1,3,4,1,0,2,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,7,1,1,false
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,"testRequestCookie/2[java.lang.String,org.apache.shenyu.examples.http.controller.ServerHttpRequest]",false,59,4,0,0,0,1,3,4,1,0,2,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,7,1,1,false
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,"testRequestParameter/2[java.lang.String,org.apache.shenyu.examples.http.controller.ServerHttpRequest]",false,52,4,0,0,0,1,3,4,1,0,2,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,7,1,1,false
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,setParamName/1[java.lang.String],false,139,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,getRuleId/0,false,76,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,builder/0,false,166,1,5,4,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,true
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,buildRuleConditionDO/1[org.apache.shenyu.admin.model.dto.RuleConditionDTO],false,176,5,20,2,18,2,23,15,2,3,1,23,1,1,0,0,0,0,0,0,2,0,2,0,0,1,12,9,0,true
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,getParamValue/0,false,148,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,setOperator/1[java.lang.String],false,121,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,true
D:\trabCKMetrics\repos\apacheincubator-shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,getParamName/0,false,130,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
