file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-ecosystem\elasticjob-tracing\elasticjob-tracing-api\src\main\java\org\apache\shardingsphere\elasticjob\tracing\event\JobStatusTraceEvent.java,org.apache.shardingsphere.elasticjob.tracing.event.JobStatusTraceEvent$State,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-infra\elasticjob-restful\src\main\java\org\apache\shardingsphere\elasticjob\restful\pipeline\FilterChainInboundHandler.java,org.apache.shardingsphere.elasticjob.restful.pipeline.FilterChainInboundHandler,class,10,12,2,10,2,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,2,0,2,0,3,1,0,0,0,17,17,0
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-cloud\elasticjob-cloud-scheduler\src\main\java\org\apache\shardingsphere\elasticjob\cloud\scheduler\producer\ProducerManager.java,org.apache.shardingsphere.elasticjob.cloud.scheduler.producer.ProducerManager,class,18,34,16,18,21,1,0,33,0,0.65000004,0.0,0.0,10,0,10,0,0,0,10,0,0,0,8,0,0,8,0,0,8,0,1,90,1,2,2,0,0,6,0,14,0,14,1,0,0,0,81,17,2
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-cloud\elasticjob-cloud-scheduler\src\main\java\org\apache\shardingsphere\elasticjob\cloud\scheduler\ha\HANode.java,org.apache.shardingsphere.elasticjob.cloud.scheduler.ha.HANode,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,0,0,0,3,0,3,2,3,0,0,0,0,19,17,0
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-infra\elasticjob-registry-center\src\main\java\org\apache\shardingsphere\elasticjob\reg\base\ElectionCandidate.java,org.apache.shardingsphere.elasticjob.reg.base.ElectionCandidate,interface,0,4,4,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-infra\elasticjob-restful\src\main\java\org\apache\shardingsphere\elasticjob\restful\NettyRestfulService.java,org.apache.shardingsphere.elasticjob.restful.NettyRestfulService,class,12,21,9,12,5,1,0,16,0,0.4,0.0,0.0,3,0,2,1,0,0,2,0,0,0,5,1,0,5,0,0,2,0,0,35,0,0,0,0,0,2,2,6,2,7,2,0,0,1,45,17,2
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-lite\elasticjob-lite-core\src\main\java\org\apache\shardingsphere\elasticjob\lite\internal\storage\JobNodeStorage.java,org.apache.shardingsphere.elasticjob.lite.internal.storage.JobNodeStorage,class,15,49,34,15,27,1,0,34,0,0.44444445,0.0,0.0,21,0,19,2,0,0,19,0,0,0,3,0,0,3,0,0,3,0,2,97,8,0,0,2,0,7,0,8,4,8,1,0,0,0,93,17,0
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-lite\elasticjob-lite-spring\elasticjob-lite-spring-namespace\src\main\java\org\apache\shardingsphere\elasticjob\lite\spring\namespace\tracing\tag\TracingBeanDefinitionTag.java,org.apache.shardingsphere.elasticjob.lite.spring.namespace.tracing.tag.TracingBeanDefinitionTag,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21,17,0
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-lite\elasticjob-lite-lifecycle\src\main\java\org\apache\shardingsphere\elasticjob\lite\lifecycle\internal\reg\RegistryCenterFactory.java,org.apache.shardingsphere.elasticjob.lite.lifecycle.internal.reg.RegistryCenterFactory,class,6,8,2,6,4,1,0,9,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,23,3,0,0,0,0,1,0,5,0,6,1,0,0,1,48,17,0
D:\trabCKMetrics\repos\apacheshardingsphere-elasticjob\elasticjob-cloud\elasticjob-cloud-common\src\main\java\org\apache\shardingsphere\elasticjob\cloud\config\CloudJobConfiguration.java,org.apache.shardingsphere.elasticjob.cloud.config.CloudJobConfiguration,class,4,13,9,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,17,0
