file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-features\shardingsphere-sharding\shardingsphere-sharding-core\src\test\java\org\apache\shardingsphere\sharding\merge\dql\pagination\RowNumberDecoratorMergedResultTest.java,org.apache.shardingsphere.sharding.merge.dql.pagination.RowNumberDecoratorMergedResultTest,class,20,21,1,20,6,1,0,25,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,107,1,1,0,0,0,13,30,43,0,43,1,0,0,0,59,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-features\shardingsphere-readwrite-splitting\shardingsphere-readwrite-splitting-distsql\shardingsphere-readwrite-splitting-distsql-parser\src\main\java\org\apache\shardingsphere\readwritesplitting\distsql\parser\facade\ReadwriteSplittingDistSQLStatementParserFacade.java,org.apache.shardingsphere.readwritesplitting.distsql.parser.facade.ReadwriteSplittingDistSQLStatementParserFacade,class,4,4,0,4,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,21,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-jdbc\shardingsphere-jdbc-spring\shardingsphere-jdbc-core-spring\shardingsphere-jdbc-core-spring-namespace\src\main\java\org\apache\shardingsphere\spring\namespace\parser\TransactionTypeScannerBeanDefinitionParser.java,org.apache.shardingsphere.spring.namespace.parser.TransactionTypeScannerBeanDefinitionParser,class,6,7,1,6,2,2,0,2,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,22,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-infra\shardingsphere-infra-rewrite\src\test\java\org\apache\shardingsphere\infra\rewrite\engine\GenericSQLRewriteEngineTest.java,org.apache.shardingsphere.infra.rewrite.engine.GenericSQLRewriteEngineTest,class,6,6,0,6,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,2,0,1,0,1,0,0,0,0,13,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-agent\shardingsphere-agent-core\src\main\java\org\apache\shardingsphere\agent\core\bytebuddy\transformer\ShardingSphereTransformer.java,org.apache.shardingsphere.agent.core.bytebuddy.transformer.ShardingSphereTransformer,class,25,28,3,25,17,1,0,39,0,0.375,NaN,NaN,4,0,1,3,0,0,1,0,0,0,2,1,0,2,0,0,2,0,3,94,14,3,3,3,2,4,6,22,0,27,2,0,0,11,48,17,3
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-test\shardingsphere-parser-test\src\main\java\org\apache\shardingsphere\test\sql\parser\parameterized\asserts\segment\where\WhereClauseAssert.java,org.apache.shardingsphere.test.sql.parser.parameterized.asserts.segment.where.WhereClauseAssert,class,6,11,5,6,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-features\shardingsphere-sharding\shardingsphere-sharding-core\src\main\java\org\apache\shardingsphere\sharding\rewrite\token\generator\impl\OrderByTokenGenerator.java,org.apache.shardingsphere.sharding.rewrite.token.generator.impl.OrderByTokenGenerator,class,11,14,3,11,10,1,0,32,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,44,3,1,0,0,2,0,2,11,1,5,2,0,0,0,33,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-scaling\shardingsphere-scaling-core\src\test\java\org\apache\shardingsphere\scaling\core\common\channel\distribution\ManualBitSetTest.java,org.apache.shardingsphere.scaling.core.common.channel.distribution.ManualBitSetTest,class,4,4,0,4,6,1,0,15,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,2,0,0,2,36,5,2,7,0,0,0,2,22,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-infra\shardingsphere-infra-rewrite\src\main\java\org\apache\shardingsphere\infra\rewrite\sql\token\generator\generic\RemoveTokenGenerator.java,org.apache.shardingsphere.infra.rewrite.sql.token.generator.generic.RemoveTokenGenerator,class,10,12,2,10,12,1,0,21,6,0.0,0.0,0.0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,37,4,1,0,0,5,0,1,7,1,6,2,0,0,1,29,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-sql-parser\shardingsphere-sql-parser-statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\segment\generic\WindowSegment.java,org.apache.shardingsphere.sql.parser.sql.common.segment.generic.WindowSegment,class,3,11,8,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,17,0
D:\trabCKMetrics\repos\apacheshardingsphere\shardingsphere-infra\shardingsphere-infra-binder\src\main\java\org\apache\shardingsphere\infra\binder\type\TableAvailable.java,org.apache.shardingsphere.infra.binder.type.TableAvailable,interface,2,44,42,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\apacheshardingsphere\examples\shardingsphere-jdbc-example\sharding-example\sharding-raw-jdbc-example\src\main\java\org\apache\shardingsphere\example\sharding\raw\jdbc\factory\YamlDataSourceFactory.java,org.apache.shardingsphere.example.sharding.raw.jdbc.factory.YamlDataSourceFactory,class,3,5,2,3,7,1,0,5,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,21,6,0,0,0,0,5,0,0,0,0,1,0,0,0,26,17,0
