file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apacheskywalking\oap-server\oal-rt\src\main\java\org\apache\skywalking\oal\rt\parser\FilterMatchers.java,org.apache.skywalking.oal.rt.parser.FilterMatchers,enum,6,8,2,6,14,1,0,14,0,0.0,0.0,0.0,3,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,50,1,3,6,1,0,5,2,8,1,8,3,0,1,0,48,1,0
D:\trabCKMetrics\repos\apacheskywalking\test\e2e\e2e-test\src\test\java\org\apache\skywalking\e2e\SO11yE2E.java,org.apache.skywalking.e2e.SO11yE2E,class,25,25,0,25,5,2,0,32,1,0.75,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,5,30,0,3,0,0,0,12,1,6,0,8,3,0,0,1,103,1,4
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-storage-plugin\storage-elasticsearch-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\elasticsearch\query\TopNRecordsQueryEsDAO.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.query.TopNRecordsQueryEsDAO,class,16,17,1,16,5,3,0,35,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,25,1,1,0,0,0,0,0,7,0,7,1,0,0,0,39,1,0
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-storage-plugin\storage-elasticsearch-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\elasticsearch\base\ColumnTypeEsMapping.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.ColumnTypeEsMapping,class,6,9,3,6,13,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,0,0,1,8,1,1,1,1,1,0,0,0,14,1,0
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-library\library-elasticsearch-client\src\main\java\org\apache\skywalking\library\elasticsearch\requests\factory\AliasFactory.java,org.apache.skywalking.library.elasticsearch.requests.factory.AliasFactory,interface,1,7,6,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\browser\manual\endpoint\BrowserAppPageTrafficDispatcher.java,org.apache.skywalking.oap.server.core.browser.manual.endpoint.BrowserAppPageTrafficDispatcher,class,6,6,0,6,1,2,0,8,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\query\ProfileTaskQueryService.java,org.apache.skywalking.oap.server.core.query.ProfileTaskQueryService,class,28,35,7,28,20,1,0,83,23,0.83116883,0.0,0.0,11,0,5,6,0,0,5,0,0,0,7,0,0,7,0,0,2,0,8,121,12,1,4,0,0,0,0,20,0,25,3,0,0,6,73,1,0
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-storage-plugin\storage-elasticsearch-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\elasticsearch\base\StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,class,22,24,2,22,34,2,0,63,18,0.6944445,0.0,0.0,9,0,1,3,5,0,6,0,0,0,4,0,0,3,1,0,4,0,5,147,6,2,1,1,0,30,4,37,9,32,5,0,0,0,72,1,5
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-library\library-server\src\main\java\org\apache\skywalking\oap\server\library\server\ssl\AbstractSslContext.java,org.apache.skywalking.oap.server.library.server.ssl.AbstractSslContext,class,6,9,3,6,13,2,2,10,16,0.5769231,0.0,0.0,13,0,9,0,4,0,13,2,8,0,2,0,0,2,0,0,1,0,0,41,8,0,0,0,0,0,2,2,0,4,0,0,0,2,39,1025,0
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-telemetry\telemetry-prometheus\src\main\java\org\apache\skywalking\oap\server\telemetry\prometheus\PrometheusMetricsCreator.java,org.apache.skywalking.oap.server.telemetry.prometheus.PrometheusMetricsCreator,class,10,11,1,10,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
