file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\apacheskywalking\oap-server\oal-rt\src\main\java\org\apache\skywalking\oal\rt\parser\FilterMatchers.java,org.apache.skywalking.oal.rt.parser.FilterMatchers,find/1[java.lang.String],false,82,1,1,1,0,2,2,6,1,0,1,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\apacheskywalking\oap-server\oal-rt\src\main\java\org\apache\skywalking\oal\rt\parser\FilterMatchers.java,org.apache.skywalking.oal.rt.parser.FilterMatchers,FilterMatchers/0,true,36,1,1,0,1,2,1,8,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,false
D:\trabCKMetrics\repos\apacheskywalking\oap-server\oal-rt\src\main\java\org\apache\skywalking\oal\rt\parser\FilterMatchers.java,org.apache.skywalking.oal.rt.parser.FilterMatchers,init/0,false,46,6,4,1,3,10,11,30,0,7,0,11,0,0,3,6,0,0,2,2,7,0,3,0,0,0,32,2,0,false
D:\trabCKMetrics\repos\apacheskywalking\test\e2e\e2e-test\src\test\java\org\apache\skywalking\e2e\SO11yE2E.java,org.apache.skywalking.e2e.SO11yE2E,setUp/0,false,93,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
D:\trabCKMetrics\repos\apacheskywalking\test\e2e\e2e-test\src\test\java\org\apache\skywalking\e2e\SO11yE2E.java,org.apache.skywalking.e2e.SO11yE2E,so11y/0,false,98,17,20,0,20,4,31,23,0,6,0,31,0,0,3,0,0,0,8,0,6,0,3,0,0,1,45,0,4,false
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-storage-plugin\storage-elasticsearch-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\elasticsearch\query\TopNRecordsQueryEsDAO.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.query.TopNRecordsQueryEsDAO,TopNRecordsQueryEsDAO/1[org.apache.skywalking.oap.server.library.client.elasticsearch.ElasticSearchClient],true,45,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-storage-plugin\storage-elasticsearch-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\elasticsearch\query\TopNRecordsQueryEsDAO.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.query.TopNRecordsQueryEsDAO,"readSampledRecords/3[org.apache.skywalking.oap.server.core.query.input.TopNCondition,java.lang.String,org.apache.skywalking.oap.server.core.query.input.Duration]",false,52,14,19,0,19,4,35,20,1,7,3,35,0,0,1,0,0,0,0,0,7,0,1,0,0,0,34,1,0,false
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-storage-plugin\storage-elasticsearch-plugin\src\main\java\org\apache\skywalking\oap\server\storage\plugin\elasticsearch\base\ColumnTypeEsMapping.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.ColumnTypeEsMapping,"transform/2[java.lang.Class<?>,java.lang.reflect.Type]",false,32,5,4,3,1,13,6,30,8,1,2,6,1,0,0,0,0,1,8,1,1,1,1,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-library\library-elasticsearch-client\src\main\java\org\apache\skywalking\library\elasticsearch\requests\factory\AliasFactory.java,org.apache.skywalking.library.elasticsearch.requests.factory.AliasFactory,indices/1[java.lang.String],false,23,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
D:\trabCKMetrics\repos\apacheskywalking\oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\browser\manual\endpoint\BrowserAppPageTrafficDispatcher.java,org.apache.skywalking.oap.server.core.browser.manual.endpoint.BrowserAppPageTrafficDispatcher,dispatchInterval/1[org.apache.skywalking.oap.server.core.browser.source.BrowserAppPageTraffic],false,28,4,4,0,4,1,8,7,0,1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
