file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apachestorm\external\storm-hdfs\src\main\java\org\apache\storm\hdfs\common\HDFSWriter.java,org.apache.storm.hdfs.common.HDFSWriter,class,10,12,2,10,5,2,0,7,0,0.41666666,0.0,0.0,4,0,1,0,3,0,4,0,0,0,3,1,0,3,0,0,1,0,1,27,0,0,0,0,1,2,0,5,0,4,1,0,0,0,35,1,1
D:\trabCKMetrics\repos\apachestorm\sql\storm-sql-external\storm-sql-hdfs\src\test\org\apache\storm\sql\hdfs\TestHdfsDataSourcesProvider.java,org.apache.storm.sql.hdfs.TestHdfsDataSourcesProvider,class,10,10,0,10,4,1,0,16,0,0.5,0.0,0.0,3,0,3,0,0,0,4,0,0,0,4,4,0,4,0,0,2,0,2,31,0,0,0,0,0,15,0,9,1,9,0,0,0,0,44,1,0
D:\trabCKMetrics\repos\apachestorm\storm-core\test\jvm\org\apache\storm\utils\staticmocking\ServerConfigUtilsInstaller.java,org.apache.storm.utils.staticmocking.ServerConfigUtilsInstaller,class,1,1,0,1,3,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,14,0,0,1,0,0,2,0,2,1,2,1,0,0,0,22,1,0
D:\trabCKMetrics\repos\apachestorm\storm-server\src\main\java\org\apache\storm\scheduler\ISchedulingState.java,org.apache.storm.scheduler.ISchedulingState,interface,12,26,14,12,50,1,0,12,1035,0.0,0.0,0.0,46,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,72,2,2,2,0,0,0,0,9,0,12,2,0,0,2,230,1,0
D:\trabCKMetrics\repos\apachestorm\storm-client\src\jvm\org\apache\storm\generated\Nimbus.java,org.apache.storm.generated.Nimbus$beginBlobDownload_args$_Fields,enum,2,2,0,2,10,1,0,5,5,0.6111111,0.0,0.0,6,3,5,0,0,1,7,0,0,0,3,1,0,3,0,0,3,0,2,35,6,1,1,0,0,3,2,4,1,4,1,0,0,0,48,1,0
D:\trabCKMetrics\repos\apachestorm\storm-client\src\jvm\org\apache\storm\generated\WorkerTokenInfo.java,org.apache.storm.generated.WorkerTokenInfo$WorkerTokenInfoStandardSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
D:\trabCKMetrics\repos\apachestorm\storm-client\src\jvm\org\apache\storm\generated\Nimbus.java,org.apache.storm.generated.Nimbus$getTopologySummaries_args$getTopologySummaries_argsTupleSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
D:\trabCKMetrics\repos\apachestorm\storm-client\src\jvm\org\apache\storm\generated\TopologyPageInfo.java,org.apache.storm.generated.TopologyPageInfo$TopologyPageInfoStandardScheme,innerclass,8,8,0,8,130,1,0,112,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,621,0,11,50,0,0,0,43,54,4,20,5,0,0,0,70,10,0
D:\trabCKMetrics\repos\apachestorm\storm-client\src\jvm\org\apache\storm\generated\Nimbus.java,org.apache.storm.generated.Nimbus$uploadChunk_result$uploadChunk_resultTupleSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
D:\trabCKMetrics\repos\apachestorm\storm-client\src\jvm\org\apache\storm\spout\CheckPointState.java,org.apache.storm.spout.CheckPointState$State,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
