file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\foundation\internals\DefaultProviderManager.java,com.ctrip.framework.foundation.internals.DefaultProviderManager,toString/0,false,83,1,0,0,0,3,5,10,1,1,0,5,0,0,1,1,0,0,3,1,1,0,2,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\foundation\internals\DefaultProviderManager.java,com.ctrip.framework.foundation.internals.DefaultProviderManager,register/1[com.ctrip.framework.foundation.spi.provider.Provider],false,52,1,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\foundation\internals\DefaultProviderManager.java,com.ctrip.framework.foundation.internals.DefaultProviderManager,DefaultProviderManager/0,true,34,5,5,0,5,1,2,11,0,3,0,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\foundation\internals\DefaultProviderManager.java,com.ctrip.framework.foundation.internals.DefaultProviderManager,provider/1[java.lang.Class<T>],false,58,2,0,0,0,2,3,8,2,1,1,3,0,0,0,1,0,0,2,0,1,0,1,0,0,0,15,1,1,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\foundation\internals\DefaultProviderManager.java,com.ctrip.framework.foundation.internals.DefaultProviderManager,"getProperty/2[java.lang.String,java.lang.String]",false,70,1,1,0,1,3,2,9,2,1,2,2,0,0,1,1,0,0,0,0,1,0,2,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\apollo\core\internals\LegacyMetaServerProvider.java,com.ctrip.framework.apollo.core.internals.LegacyMetaServerProvider,getMetaServerAddress/1[com.ctrip.framework.apollo.core.enums.Env],false,67,1,2,2,0,2,2,4,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\apollo\core\internals\LegacyMetaServerProvider.java,com.ctrip.framework.apollo.core.internals.LegacyMetaServerProvider,"getMetaServerAddress/3[java.util.Properties,java.lang.String,java.lang.String]",false,52,0,1,1,0,3,5,10,1,1,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,9,2,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\apollo\core\internals\LegacyMetaServerProvider.java,com.ctrip.framework.apollo.core.internals.LegacyMetaServerProvider,initialize/0,false,40,2,3,1,2,1,3,10,0,1,0,3,1,1,0,0,0,0,13,0,2,0,0,0,0,0,3,2,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\apollo\core\internals\LegacyMetaServerProvider.java,com.ctrip.framework.apollo.core.internals.LegacyMetaServerProvider,LegacyMetaServerProvider/0,true,36,1,3,2,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\apollo\core\internals\LegacyMetaServerProvider.java,com.ctrip.framework.apollo.core.internals.LegacyMetaServerProvider,getOrder/0,false,73,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
