file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\main\java\com\auth0\jwt\impl\HeaderDeserializer.java,com.auth0.jwt.impl.HeaderDeserializer$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,class,14,14,0,14,44,1,0,43,0,0.75284094,0.0,0.0,44,0,44,0,0,0,44,0,0,0,8,7,1,7,0,0,7,0,143,400,0,0,0,0,0,137,25,147,0,147,0,0,0,0,519,1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\impl\JsonNodeClaimTest.java,com.auth0.jwt.impl.JsonNodeClaimTest,class,17,18,1,17,43,1,0,59,0,0.6511628,0.0,0.0,43,0,42,1,0,0,42,0,0,0,3,0,1,2,0,0,0,0,7,282,1,0,0,0,2,56,27,91,2,91,0,0,0,0,77,1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\ConcurrentVerifyTest.java,com.auth0.jwt.ConcurrentVerifyTest$VerifyTask,innerclass,3,3,0,3,3,1,0,4,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,3,0,0,3,0,0,3,0,0,22,1,0,0,1,0,0,0,5,0,4,1,0,0,0,16,10,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\NoneAlgorithmTest.java,com.auth0.jwt.algorithms.NoneAlgorithmTest,class,7,7,0,7,5,1,0,12,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,9,32,0,0,0,0,0,6,0,9,0,9,0,0,0,0,57,1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\JWTVerifierTest.java,com.auth0.jwt.JWTVerifierTest,class,15,15,0,15,79,1,0,61,1930,0.72727275,0.0,0.0,77,0,77,0,0,0,77,0,0,0,2,1,1,1,0,0,1,0,176,555,0,0,0,2,0,273,63,189,9,175,1,0,0,0,168,1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\impl\BasicHeaderTest.java,com.auth0.jwt.impl.BasicHeaderTest,class,11,11,0,11,13,1,0,18,0,0.42307693,0.0,0.0,13,0,13,0,0,0,13,0,0,0,2,0,1,1,0,0,0,0,0,81,0,0,0,0,0,20,0,19,0,19,0,0,0,0,44,1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\main\java\com\auth0\jwt\algorithms\CryptoHelper.java,com.auth0.jwt.algorithms.CryptoHelper,class,2,10,8,2,10,1,0,18,39,0.7,0.0,0.0,10,0,0,0,0,10,10,0,0,0,1,1,0,1,0,0,1,0,8,55,10,0,0,0,0,0,1,7,0,7,0,0,0,0,77,0,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\main\java\com\auth0\jwt\algorithms\RSAAlgorithm.java,com.auth0.jwt.algorithms.RSAAlgorithm$Anonymous1,anonymous,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\main\java\com\auth0\jwt\impl\PayloadDeserializer.java,com.auth0.jwt.impl.PayloadDeserializer,class,10,13,3,10,20,2,0,18,9,0.5,0.0,0.0,6,0,1,1,0,4,5,0,0,0,1,0,0,1,0,0,1,0,2,63,8,1,4,1,1,3,2,15,1,15,2,1,0,0,72,0,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\main\java\com\auth0\jwt\TokenUtils.java,com.auth0.jwt.TokenUtils,class,1,4,3,1,4,1,0,3,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,2,0,0,4,4,2,0,1,1,0,0,0,28,1024,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\main\java\com\auth0\jwt\exceptions\TokenExpiredException.java,com.auth0.jwt.exceptions.TokenExpiredException,class,1,3,2,1,1,5,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\main\java\com\auth0\jwt\algorithms\Algorithm.java,com.auth0.jwt.algorithms.Algorithm,class,9,32,23,9,47,1,4,17,587,0.92857146,0.0,0.0,35,27,33,0,1,1,35,2,0,0,2,0,0,2,0,0,2,0,22,122,32,0,0,0,0,27,9,16,2,15,0,0,0,0,118,1025,0
