file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldThrowWhenMacAlgorithmDoesNotExists/0,false,212,8,5,0,5,1,13,13,0,6,0,13,0,0,0,0,0,0,4,0,6,0,0,0,0,0,119,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldDoRSA384SigningWithBothKeys/0,false,350,5,8,0,8,1,8,8,0,3,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,75,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldDoRSA512SigningWithProvidedPrivateKey/0,false,426,7,9,0,9,1,12,11,0,5,0,12,0,0,0,0,0,0,2,0,5,0,0,0,0,0,33,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldBeEqualSignatureMethodResults/0,false,535,4,5,0,5,1,10,12,0,6,0,10,0,0,0,0,0,0,2,6,6,0,0,0,0,0,29,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldPassRSA384VerificationWithProvidedPublicKey/0,false,112,6,5,0,5,1,8,8,0,4,0,8,0,0,0,0,0,0,3,0,4,0,0,0,0,0,76,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldDoRSA256Signing/0,false,273,5,8,0,8,1,8,9,0,4,0,8,0,0,0,0,0,0,3,0,4,0,0,0,0,0,97,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldThrowOnSignWhenSignatureAlgorithmDoesNotExists/0,false,465,7,4,0,4,1,12,12,0,5,0,12,0,0,0,0,0,0,3,2,5,0,0,0,0,0,36,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldThrowWhenTheSignatureIsNotPrepared/0,false,248,8,5,0,5,1,13,13,0,6,0,13,0,0,0,0,0,0,4,0,6,0,0,0,0,0,119,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailOnRSA512SigningWhenProvidedPrivateKeyIsNull/0,false,441,6,3,0,3,1,12,10,0,2,0,12,0,0,0,0,0,0,2,2,2,0,0,0,0,0,32,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldDoRSA512SigningWithBothKeys/0,false,414,5,8,0,8,1,8,8,0,3,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,80,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldPassRSA256VerificationWithBothKeys/0,false,48,4,5,0,5,1,5,5,0,2,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,103,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldPassRSA512Verification/0,false,155,4,4,0,4,1,4,5,0,2,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,43,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailRSA512VerificationWithInvalidPublicKey/0,false,192,5,4,0,4,1,6,7,0,2,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,52,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldPassRSA256VerificationWithProvidedPublicKey/0,false,55,6,5,0,5,1,8,8,0,4,0,8,0,0,0,0,0,0,3,0,4,0,0,0,0,0,107,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailRSA512VerificationWhenProvidedPublicKeyIsNull/0,false,179,6,4,0,4,1,13,11,0,3,0,13,0,0,0,0,0,0,4,0,3,0,0,0,0,0,64,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailOnRSA256SigningWithDeprecatedMethodWhenProvidedPrivateKeyIsNull/0,false,560,6,3,0,3,1,12,10,0,2,0,12,0,0,0,0,0,0,2,1,2,0,0,0,0,0,41,1,0,true
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailRSA256VerificationWhenUsingPrivateKey/0,false,87,5,4,0,4,1,10,9,0,2,0,10,0,0,0,0,0,0,4,0,2,0,0,0,0,0,113,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldDoRSA256SigningWithBothKeys/0,false,286,5,8,0,8,1,8,8,0,3,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,98,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailOnRSA384SigningWhenProvidedPrivateKeyIsNull/0,false,377,6,3,0,3,1,12,10,0,2,0,12,0,0,0,0,0,0,2,2,2,0,0,0,0,0,32,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailRSA512VerificationWhenUsingPrivateKey/0,false,201,5,4,0,4,1,10,9,0,2,0,10,0,0,0,0,0,0,4,0,2,0,0,0,0,0,57,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldDoRSA384Signing/0,false,337,5,8,0,8,1,8,9,0,4,0,8,0,0,0,0,0,0,3,0,4,0,0,0,0,0,74,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailOnRSA512SigningWhenUsingPublicKey/0,false,454,5,3,0,3,1,9,8,0,1,0,9,0,0,0,0,0,0,3,2,1,0,0,0,0,0,30,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldPassRSA512VerificationWithBothKeys/0,false,162,4,5,0,5,1,5,5,0,2,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,47,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailRSA384VerificationWithInvalidPublicKey/0,false,135,5,4,0,4,1,6,7,0,2,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,116,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailRSA384VerificationWhenUsingPrivateKey/0,false,144,5,4,0,4,1,10,9,0,2,0,10,0,0,0,0,0,0,4,0,2,0,0,0,0,0,121,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldDoRSA384SigningWithProvidedPrivateKey/0,false,362,7,9,0,9,1,12,11,0,5,0,12,0,0,0,0,0,0,2,0,5,0,0,0,0,0,33,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldFailOnRSA256SigningWhenUsingPublicKey/0,false,326,5,3,0,3,1,9,8,0,1,0,9,0,0,0,0,0,0,3,2,1,0,0,0,0,0,30,1,0,false
D:\trabCKMetrics\repos\auth0java-jwt\lib\src\test\java\com\auth0\jwt\algorithms\RSAAlgorithmTest.java,com.auth0.jwt.algorithms.RSAAlgorithmTest,shouldReturnNullSigningKeyIdIfCreatedWithDefaultProvider/0,false,516,4,3,0,3,1,6,7,0,4,0,6,0,0,0,0,0,0,2,0,4,0,0,0,0,0,27,1,0,false
