file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\s3\src\main\java\aws\example\s3\CopyObjectSingleOperation.java,CopyObjectSingleOperation,class,4,4,0,4,3,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,3,0,6,0,6,1,0,0,0,36,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\mq\src\test\java\AmazonMQTest.java,AmazonMQTest,class,17,18,1,17,10,1,0,19,0,0.64285713,0.0,0.0,8,1,8,0,0,0,8,0,0,0,7,7,0,7,0,0,0,0,6,63,1,0,1,1,0,19,7,20,0,15,2,0,0,0,45,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\iam\src\main\java\com\example\iam\CreateAccountAlias.java,com.example.iam.CreateAccountAlias,class,4,6,2,4,4,1,0,12,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,1,1,0,7,4,5,2,5,1,0,0,0,50,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\create_spring_stream_app\src\main\java\com\example\VideoStreamService.java,com.example.VideoStreamService,class,17,19,2,17,16,1,0,44,9,0.75,0.0,0.0,7,0,3,4,0,0,3,0,0,0,4,3,3,1,0,0,3,0,5,94,8,4,1,4,0,7,7,32,3,28,3,0,0,0,79,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\iam\src\main\java\aws\example\iam\DetachRolePolicy.java,aws.example.iam.DetachRolePolicy,class,3,3,0,3,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,4,4,6,2,6,1,0,0,0,29,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\ssm\src\main\java\aws\example\ssm\GetSimpleSystemsManagementParas.java,aws.example.ssm.GetSimpleSystemsManagementParas,class,4,4,0,4,3,1,0,13,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,0,0,1,6,0,6,2,0,0,0,28,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\dynamodb\src\main\java\com\amazonaws\codesamples\datamodeling\DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,innerclass,4,4,0,4,8,1,0,0,20,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,5,0,4,0,4,0,0,0,0,16,9,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\dynamodb\src\main\java\com\amazonaws\codesamples\gsg\MoviesCreateTable.java,com.amazonaws.codesamples.gsg.MoviesCreateTable,class,7,7,0,7,2,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,1,0,10,2,4,1,4,1,0,0,0,26,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\redshift\src\main\java\com\example\redshiftdata\RetrieveData.java,com.example.redshiftdata.RetrieveData,class,10,11,1,10,13,1,0,24,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,71,2,3,3,3,0,15,11,20,4,19,4,0,0,0,85,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\lambda_functions\blank-java\src\test\java\example\TestLogger.java,example.TestLogger,class,4,6,2,4,3,1,0,2,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,2
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\s3\src\main\java\aws\example\s3\RestoreArchivedObject.java,RestoreArchivedObject,class,5,5,0,5,4,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,5,1,7,0,7,1,0,0,0,38,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\redshift\src\main\java\com\example\redshift\CreateAndModifyCluster.java,com.example.redshift.CreateAndModifyCluster,class,10,12,2,10,11,1,0,27,6,0.75,0.0,0.0,4,4,4,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,8,66,0,2,1,3,0,17,11,18,4,16,5,0,0,0,80,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\rekognition\src\main\java\com\example\rekognition\DetectModerationLabels.java,com.example.rekognition.DetectModerationLabels,class,8,10,2,8,5,1,0,19,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,32,0,1,0,1,0,10,5,10,2,10,2,0,0,0,63,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\dynamodb\src\main\java\com\amazonaws\codesamples\lowlevel\LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,class,7,8,1,7,21,1,0,36,8,0.375,NaN,NaN,8,8,1,7,0,0,1,0,0,0,2,2,0,0,0,2,0,0,14,90,1,7,7,0,12,36,16,39,15,38,2,0,0,0,101,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\cloudwatch\src\main\java\com\example\cloudwatch\DeleteAlarm.java,com.example.cloudwatch.DeleteAlarm,class,4,6,2,4,4,1,0,13,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1,1,0,6,4,5,1,5,1,0,0,0,52,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\swf\src\main\java\com\example\helloswf\ActivityWorkerWithGracefulShutdown.java,com.example.helloswf.ActivityWorkerWithGracefulShutdown,class,4,5,1,4,7,1,0,26,3,0.6666667,0.0,0.0,3,3,2,1,0,0,2,0,0,0,2,2,0,2,0,0,0,0,4,59,1,1,2,1,0,17,5,12,6,11,3,1,0,0,78,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\creating_first_project\src\main\java\com\example\GreetingApplication.java,com.example.GreetingApplication,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\pinpoint\src\main\java\com\example\pinpoint\CreateEndpoint.java,com.example.pinpoint.CreateEndpoint,class,11,16,2,14,6,1,0,49,3,0.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,62,4,0,1,2,0,27,9,19,4,19,1,0,0,0,74,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\create_spring_stream_app\src\main\java\com\example\Application.java,com.example.Application,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\ssm\src\test\java\AWSSSMIntegrationTest.java,AWSSSMIntegrationTest,class,15,16,1,15,10,1,0,18,0,0.625,0.0,0.0,8,1,8,0,0,0,8,0,0,0,7,7,0,7,0,0,0,0,6,58,1,0,1,1,0,20,7,16,0,10,2,0,0,0,51,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\athena\src\main\java\aws\example\athena\StopQueryExecutionExample.java,aws.example.athena.StopQueryExecutionExample,class,11,13,2,11,3,1,0,16,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,1,0,11,0,11,1,0,0,0,53,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\creating_mongoDB_app\src\main\java\com\example\secureweb\MainController.java,MainController,class,13,13,0,13,11,1,0,18,25,0.76666665,0.0,0.0,10,0,4,1,0,5,9,0,0,0,3,0,0,0,0,3,0,0,0,64,10,0,0,1,0,24,0,17,0,19,1,0,0,0,53,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\s3\src\main\java\aws\example\s3\MakingRequestsWithFederatedTempCredentials.java,MakingRequestsWithFederatedTempCredentials,class,13,13,0,13,3,1,0,21,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,4,1,12,2,12,1,0,0,0,59,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\cognito\src\main\java\com\example\cognito\AddLoginProvider.java,com.example.cognito.AddLoginProvider,class,5,7,2,5,5,1,0,18,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,34,0,1,1,1,0,10,7,11,3,11,2,0,0,0,68,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\kinesis\src\main\java\com\example\kinesis\StockTradeGenerator.java,com.example.kinesis.StockTradeGenerator,class,3,4,1,3,3,1,0,7,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,6,4,0,6,0,0,5,0,1,55,1,0,0,0,2,25,35,13,7,11,1,0,1,0,66,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\cloudwatch\src\main\java\com\example\cloudwatch\PutLogEvents.java,com.example.cloudwatch.PutLogEvents,class,6,8,2,6,4,1,0,23,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,29,0,0,1,1,0,8,6,9,1,9,1,0,0,0,59,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\personalize\src\main\java\com\example\personalize\PutUsers.java,com.example.personalize.PutUsers,class,5,7,2,5,4,1,0,19,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,39,2,0,1,1,0,16,10,17,3,16,1,0,0,0,73,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\quicksight\src\main\java\com\example\quicksight\ListDataSets.java,com.example.quicksight.ListDataSets,class,5,6,1,5,5,1,0,16,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,28,0,1,1,1,0,6,5,6,3,6,2,0,0,0,53,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\comprehend\src\main\java\com\example\comprehend\medical\DetectPHI.java,com.example.comprehend.medical.DetectPHI,class,6,7,1,6,4,1,0,16,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,26,0,1,0,1,0,14,1,8,2,8,2,0,0,0,81,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\elastictranscoder\src\main\java\aws\example\elastictranscoder\model\JobStatusNotification.java,com.amazonaws.services.elastictranscoder.samples.model.JobStatusNotification$JobOutput,innerclass,1,1,0,1,13,1,0,0,42,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,47,7,0,0,0,0,7,0,6,1,6,0,0,0,0,21,9,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\personalize\src\main\java\com\example\personalize\CreateFilter.java,com.example.personalize.CreateFilter,class,4,6,2,4,4,1,0,15,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,28,2,0,1,1,0,8,6,8,2,8,1,0,0,0,35,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\create_amazon_personalize_app\src\main\java\com\amazonaws\personalize\client\demo\movielens\DemoUtils.java,com.amazonaws.personalize.client.demo.movielens.DemoUtils,class,18,20,2,18,20,1,0,42,15,0.8333333,0.0,0.0,6,6,4,2,0,0,4,0,0,0,3,3,1,2,0,0,3,0,11,112,12,2,3,5,0,72,9,25,7,24,3,0,0,0,76,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\secretsmanager\src\main\java\com\example\secrets\GetSecretValue.java,com.example.secrets.GetSecretValue,class,5,7,2,5,4,1,0,13,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,1,1,0,5,4,7,1,7,1,0,0,0,50,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\cloudwatch\src\main\java\aws\example\cloudwatch\PutEvents.java,aws.example.cloudwatch.PutEvents,class,4,4,0,4,2,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0,6,3,7,1,7,1,0,0,0,38,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\dynamodb\src\test\java\DynamoDBTest.java,DynamoDBTest,class,21,22,1,21,17,1,0,31,0,0.6964286,0.0,0.0,14,1,14,0,0,0,14,0,0,0,12,12,0,12,0,0,0,0,17,104,1,0,1,2,0,39,16,28,0,19,2,0,0,0,72,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\lambda\src\main\java\com\example\lambda\ListLambdaFunctions.java,com.example.lambda.ListLambdaFunctions,class,5,7,2,5,4,1,0,11,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,21,0,1,0,1,0,1,1,4,1,4,2,0,0,0,42,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\eventbridge\src\main\java\com\example\eventbridge\PutEvents.java,com.example.eventbridge.PutEvents,class,6,7,1,6,6,1,0,20,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,39,0,1,2,1,0,8,5,10,3,10,3,0,0,0,72,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\creating_scheduled_events\src\main\java\com\aws\example\Employee.java,com.aws.example.Employee,class,3,4,1,3,8,1,0,0,20,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\route53\src\main\java\com\example\route\CreateHealthCheck.java,com.example.route.CreateHealthCheck,class,6,8,2,6,4,1,0,19,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,29,2,0,1,1,0,8,5,9,2,9,1,0,0,0,55,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\dynamodb\src\main\java\com\amazonaws\services\dynamodbv2\client\FaultInjectionRequestHandler.java,com.amazonaws.services.dynamodbv2.client.FaultInjectionRequestHandler,class,11,13,2,11,12,2,0,13,2,0.5833333,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,2,0,3,0,0,2,0,2,49,0,0,2,2,0,10,7,6,1,6,3,0,0,0,40,1,5
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\create_amazon_personalize_app\src\main\java\com\amazonaws\personalize\client\demo\movielens\RecommendationsInterface.java,com.amazonaws.personalize.client.demo.movielens.RecommendationsInterface,interface,2,6,4,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\usecases\creating_sns_sample_app\src\main\java\com\spring\sns\SnsService.java,com.spring.sns.SnsService,class,15,17,2,15,19,1,0,42,16,0.5,0.0,0.0,8,0,4,4,0,0,4,0,0,0,1,0,0,0,0,1,0,0,7,117,10,3,1,7,0,9,6,32,1,31,3,0,0,0,75,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\java\example_code\s3\src\main\java\aws\example\s3\ListObjects.java,aws.example.s3.ListObjects,class,3,3,0,3,3,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,0,0,0,6,3,5,2,5,1,0,0,0,47,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\sns\src\main\java\com\example\sns\ListTags.java,com.example.sns.ListTags,class,4,5,1,4,4,1,0,14,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,1,1,0,6,4,5,1,5,1,0,0,0,52,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\athena\src\main\java\aws\example\athena\ExampleConstants.java,ExampleConstants,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,7,0,0,0,0,0,3,2,5,0,5,0,0,0,0,25,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\s3\src\main\java\com\example\s3\GeneratePresignedUrlAndUploadObject.java,com.example.s3.GeneratePresignedUrlAndUploadObject,class,6,7,1,6,5,1,0,29,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,1,1,0,14,5,12,4,12,1,0,0,0,93,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\transcribe\src\main\java\com\amazonaws\transcribestreaming\TranscribeStreamingDemoFile.java,com.amazonaws.transcribestreaming.TranscribeStreamingDemoFile$SubscriptionImpl,innerclass,5,5,0,5,11,1,0,18,4,0.67999995,0.0,0.0,5,0,2,2,0,1,3,0,0,0,5,1,0,5,0,0,3,0,3,61,2,1,0,2,0,1,11,13,1,10,4,0,0,1,49,9,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\sns\src\main\java\com\example\sns\SNSMessageFilterPolicy.java,com.example.sns.SNSMessageFilterPolicy,class,6,8,2,6,9,1,0,16,0,0.125,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,1,0,1,83,1,1,0,0,0,7,0,3,1,4,1,0,3,1,66,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\forecast\src\main\java\com\example\forecast\DeleteForecast.java,com.example.forecast.DeleteForecast,class,4,6,2,4,4,1,0,12,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1,1,0,8,4,5,1,5,1,0,0,0,48,1,0
D:\trabCKMetrics\repos\awsdocsaws-doc-sdk-examples\javav2\example_code\sns\src\main\java\com\example\sns\SetSMSAttributes.java,com.example.sns.SetSMSAttributes,class,4,5,1,4,3,1,0,14,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,1,0,6,2,4,1,4,1,0,0,0,44,1,0
