file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\OptimizedClassConstants.java,proguard.optimize.gson.OptimizedClassConstants$ReadLocals,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,0,0,0,0,3,3,0,3,0,0,0,0,17,25,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,class,2,3,1,2,7,1,0,6,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,29,3,0,1,0,0,3,0,5,3,3,0,0,0,0,42,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,class,5,8,3,5,18,1,0,7,28,0.83950615,0.0,0.0,9,1,6,0,0,3,9,0,0,0,9,2,0,9,0,0,2,0,2,57,9,0,8,1,0,14,1,4,0,11,1,0,0,0,83,0,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\Finisher.java,proguard.io.Finisher,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\SubclassedClassFilter.java,proguard.SubclassedClassFilter,class,3,3,0,3,5,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,16,0,0,2,0,0,0,0,1,0,1,1,0,0,0,28,16,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\GsonDomainClassFinder.java,proguard.optimize.gson.GsonDomainClassFinder,class,26,28,2,26,18,3,0,16,11,0.7619048,0.0,0.0,6,0,3,3,0,0,3,0,0,0,7,1,0,7,0,0,7,0,7,86,9,0,5,0,1,23,5,13,13,11,3,0,1,0,122,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\util\MatchedStringMatcher.java,proguard.util.MatchedStringMatcher,class,2,4,2,2,6,2,0,4,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,2,0,0,17,2,0,3,0,2,0,0,5,2,5,1,0,0,0,41,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\DirectoryWriter.java,proguard.io.DirectoryWriter,class,3,6,3,3,14,1,0,9,15,0.5714286,0.0,0.0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,34,4,0,1,0,1,9,0,5,3,5,1,0,0,0,46,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\jformatstring\java\edu\umd\cs\findbugs\formatStringChecker\FormatterException.java,edu.umd.cs.findbugs.formatStringChecker.FormatterException,class,0,4,4,0,0,3,4,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,1025,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\MarkedAnnotationDeleter.java,proguard.optimize.gson.MarkedAnnotationDeleter,class,21,23,2,21,18,2,0,6,39,0.7,0.0,0.0,10,0,8,2,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,61,0,3,4,0,0,0,5,15,0,14,3,0,0,0,68,0,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\ZipDataEntry.java,proguard.io.ZipDataEntry,class,2,4,2,2,12,1,0,10,12,0.6666667,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,2,0,0,42,7,0,2,0,0,0,4,8,3,6,1,0,0,0,33,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\GsonSerializationOptimizer.java,proguard.optimize.gson.GsonSerializationOptimizer,class,25,27,2,25,7,3,0,16,0,0.6,0.0,0.0,4,0,3,1,0,0,4,0,0,0,10,2,0,10,0,0,9,0,0,214,0,0,0,0,0,8,2,20,9,18,1,0,1,0,106,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\GsonSerializationOptimizer.java,proguard.optimize.gson.GsonSerializationOptimizer$ToJsonCodeAttributeVisitor,innerclass,21,21,0,21,41,2,0,51,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,150,0,1,6,0,0,0,13,25,3,21,5,0,0,0,70,2,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\util\ClassNameParser.java,proguard.util.ClassNameParser,class,10,13,3,10,28,1,0,20,14,0.625,0.0,0.0,8,1,4,4,0,0,4,0,0,0,2,1,0,2,0,0,1,0,1,111,6,2,9,2,1,20,43,26,18,19,3,0,0,0,130,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\peephole\NopRemover.java,proguard.optimize.peephole.NopRemover,class,8,8,0,8,7,2,0,3,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,21,0,0,2,0,0,0,0,2,0,2,2,0,0,0,42,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\jformatstring\java\edu\umd\cs\findbugs\formatStringChecker\MissingFormatArgumentException.java,edu.umd.cs.findbugs.formatStringChecker.MissingFormatArgumentException,class,1,2,1,1,1,4,0,0,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,1,2,1,0,0,3,0,0,9,0,0,0,0,0,0,1,3,0,3,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\obfuscate\NumericNameFactory.java,proguard.obfuscate.NumericNameFactory,class,1,2,1,1,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\info\InstantiationClassMarker.java,proguard.optimize.info.InstantiationClassMarker,class,14,18,4,14,7,2,0,7,15,0.8333333,0.0,0.0,6,2,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,3,22,1,0,1,0,0,0,0,1,0,1,1,0,0,0,39,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\jformatstring\java\edu\umd\cs\findbugs\formatStringChecker\Conversion.java,edu.umd.cs.findbugs.formatStringChecker.Conversion,class,1,3,2,1,28,1,0,5,15,0.847826,0.0,0.0,6,6,0,0,0,6,6,0,0,0,23,23,0,0,0,23,23,0,5,84,11,0,1,0,1,0,0,23,0,23,1,0,0,0,31,0,0
D:\trabCKMetrics\repos\bazelbuildbazel\src\main\java\net\starlark\java\eval\Mutability.java,net.starlark.java.eval.Mutability$Freezable,interface,2,2,0,2,6,1,0,4,6,0.0,0.0,0.0,4,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,3,0,1,1,1,1,0,0,0,149,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\evaluation\value\TracingValue.java,proguard.evaluation.value.TracingValue,class,10,11,1,10,24,2,0,20,0,0.34210527,0.0,0.0,19,0,19,0,0,0,19,0,5,0,2,0,0,2,0,0,0,0,0,66,19,0,2,0,0,0,0,3,1,3,1,0,0,0,56,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\DuplicateJsonFieldNameChecker.java,proguard.optimize.gson.DuplicateJsonFieldNameChecker,class,9,10,1,9,6,1,0,7,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,26,1,3,0,0,0,0,0,6,0,6,4,0,0,0,43,0,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\util\ArrayUtil.java,proguard.util.ArrayUtil,class,11,20,9,11,152,1,0,39,2701,0.0,0.0,0.0,74,74,74,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,94,555,93,27,33,0,20,0,168,132,76,65,2,0,0,0,90,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\BranchCoverage.java,com.google.devtools.coverageoutputgenerator.BranchCoverage,class,4,16,12,4,20,1,0,13,66,0.0,0.0,0.0,12,6,0,2,0,10,10,5,0,0,0,0,0,0,0,0,0,0,9,34,7,0,2,0,0,8,7,1,1,1,0,0,0,0,98,1024,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\DataEntryWriter.java,proguard.io.DataEntryWriter,interface,1,20,19,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\javatests\com\google\devtools\coverageoutputgenerator\LineCoverageTest.java,com.google.devtools.coverageoutputgenerator.LineCoverageTest,class,8,9,1,8,11,1,0,15,14,0.6944444,0.0,0.0,9,5,4,0,0,5,9,0,0,0,8,8,0,8,0,0,8,0,25,63,7,0,0,2,0,1,6,18,2,18,1,0,0,0,46,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\FilteredDataEntryReader.java,proguard.io.FilteredDataEntryReader,class,3,8,5,3,5,1,3,2,0,0.11111111,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,19,0,0,1,0,0,0,0,4,0,4,1,0,0,0,47,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\info\AccessMethodMarker.java,proguard.optimize.info.AccessMethodMarker,class,21,24,3,21,25,2,0,21,130,0.8235294,0.0,0.0,17,6,14,3,0,0,14,0,0,0,1,0,0,1,0,0,0,0,10,68,3,0,4,0,4,0,4,3,0,3,1,0,0,0,56,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\evaluation\value\ArrayReferenceValueFactory.java,proguard.evaluation.value.ArrayReferenceValueFactory,class,5,6,1,5,2,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,38,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\evaluation\EvaluationShrinker.java,proguard.optimize.evaluation.EvaluationShrinker$MyNonReturningSubroutineFixer,innerclass,9,9,0,9,5,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,2,0,1,2,1,3,0,0,0,42,2,0
D:\trabCKMetrics\repos\bazelbuildbazel\src\main\java\net\starlark\java\eval\NoneType.java,net.starlark.java.eval.NoneType,class,4,5,1,4,5,1,0,1,10,1.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,1,0,0,0,1,1,0,0,17,3,0,0,0,0,4,0,1,0,1,0,0,0,0,22,17,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\ProGuard.java,proguard.ProGuard,class,38,39,1,38,86,1,0,54,0,0.55,0.0,0.0,24,1,3,21,0,0,3,0,0,0,5,1,1,4,0,0,4,0,14,246,2,1,12,5,0,24,8,16,6,12,3,0,0,0,204,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\util\MultiValueMap.java,proguard.util.MultiValueMap,class,3,16,13,3,8,1,0,6,7,0.5833334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,2,30,2,1,1,0,0,0,0,4,0,3,1,0,0,0,40,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\Configuration.java,proguard.Configuration,class,1,18,17,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,52,1,52,0,0,0,1,0,0,54,0,0,0,0,0,1,2,22,0,52,0,0,0,0,270,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\TailRecursionSimplifier.java,proguard.optimize.TailRecursionSimplifier,class,22,24,2,22,46,3,0,28,6,0.76785713,0.0,0.0,8,0,7,1,0,0,7,0,0,0,7,1,0,7,0,0,5,0,3,143,1,2,7,0,5,3,15,28,7,22,6,0,1,0,105,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\OptimizedTypeAdapterInitializer.java,proguard.optimize.gson.OptimizedTypeAdapterInitializer$LocalVariableTypeRenamer,innerclass,12,12,0,12,4,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,2,0,1,1,0,0,0,26,2,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\info\ClassOptimizationInfo.java,proguard.optimize.info.ClassOptimizationInfo,class,3,19,16,3,18,1,1,2,133,0.7222222,0.0,0.0,18,2,18,0,0,0,18,0,0,0,1,0,0,0,1,0,0,0,0,57,16,0,0,0,0,0,0,2,0,1,0,0,0,0,48,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\GsonDeserializationOptimizer.java,proguard.optimize.gson.GsonDeserializationOptimizer$FromJsonFieldCodeAttributeVisitor,innerclass,24,24,0,24,30,2,0,66,6,0.6,0.0,0.0,5,0,2,2,0,1,3,0,0,0,2,0,0,2,0,0,0,0,5,148,0,4,4,0,1,0,7,34,1,27,3,0,0,0,96,2,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\util\ListParser.java,proguard.util.ListParser,class,9,19,10,9,15,1,0,15,13,0.6666667,0.0,0.0,6,1,4,2,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,39,4,2,3,1,0,5,8,10,4,9,2,0,0,0,86,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\util\PrintWriterUtil.java,proguard.util.PrintWriterUtil,class,1,6,5,1,12,1,0,7,28,0.0,0.0,0.0,8,7,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,40,8,0,3,1,0,2,0,0,0,0,2,0,0,0,44,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\obfuscate\MemberObfuscator.java,proguard.obfuscate.MemberObfuscator$MyFixedName,innerclass,1,1,0,1,3,1,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,23,10,0
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\javatests\com\google\devtools\coverageoutputgenerator\CoverageTest.java,com.google.devtools.coverageoutputgenerator.CoverageTest,class,14,15,1,14,17,1,0,25,10,0.3125,0.0,0.0,16,0,15,1,0,0,15,0,0,0,1,0,0,1,0,0,0,0,46,118,1,1,0,0,0,33,7,31,0,31,1,0,0,0,61,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\info\CaughtClassMarker.java,proguard.optimize.info.CaughtClassMarker,class,7,10,3,7,4,1,0,5,6,0.0,0.0,0.0,4,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\gson\TypeParameterClassChecker.java,proguard.optimize.gson.TypeParameterClassChecker,class,9,10,1,9,4,2,0,4,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,14,0,0,0,0,0,6,0,2,0,2,0,0,0,0,36,0,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\RenamedDataEntry.java,proguard.io.RenamedDataEntry,class,2,10,8,2,3,2,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,0,1,0,1,1,1,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\evaluation\value\BasicValueFactory.java,proguard.evaluation.value.BasicValueFactory,class,15,25,10,15,25,1,3,10,103,0.91999996,0.0,0.0,15,0,15,0,0,0,15,0,0,0,5,5,0,0,0,5,5,0,2,69,20,0,0,0,0,0,1,5,0,5,1,0,0,0,46,1,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\evaluation\value\IdentifiedArrayReferenceValue.java,proguard.evaluation.value.IdentifiedArrayReferenceValue,class,7,12,5,7,12,6,1,9,16,0.5625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,37,9,0,2,0,0,0,0,3,1,3,1,0,0,0,46,0,0
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\evaluation\value\ParticularDoubleValue.java,proguard.evaluation.value.ParticularDoubleValue,class,9,15,6,9,34,5,0,14,93,0.36666667,0.0,0.0,30,0,30,0,0,0,30,0,0,0,1,0,0,1,0,0,1,0,5,93,29,0,3,0,1,1,0,1,9,1,0,0,0,0,37,16,0
