file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,close/0,false,88,1,1,0,1,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,"println/2[java.io.PrintWriter,java.lang.String]",false,98,1,1,0,1,1,2,5,0,0,2,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,"CascadingDataEntryWriter/2[proguard.io.DataEntryWriter,proguard.io.DataEntryWriter]",true,47,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,1,0,true
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,createDirectory/1[proguard.io.DataEntry],false,56,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,createOutputStream/1[proguard.io.DataEntry],false,74,2,1,0,1,2,1,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\CascadingDataEntryWriter.java,proguard.io.CascadingDataEntryWriter,"sameOutputStream/2[proguard.io.DataEntry,proguard.io.DataEntry]",false,67,2,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,outputFile/0,false,64,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,sourcesToReplaceFile/0,false,80,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,parseParallelism/0,false,88,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,reportsFile/0,false,72,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,parseFlags/1[java.lang.String[]],false,92,2,16,11,5,7,4,22,1,2,1,4,0,0,0,5,1,0,4,0,2,0,1,0,0,0,32,8,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,hasSourceFileManifest/0,false,84,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,filterSources/0,false,68,1,6,5,1,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,sourceFileManifest/0,false,76,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\tools\test\CoverageOutputGenerator\java\com\google\devtools\coverageoutputgenerator\LcovMergerFlags.java,com.google.devtools.coverageoutputgenerator.LcovMergerFlags,coverageDir/0,false,60,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\io\Finisher.java,proguard.io.Finisher,finish/0,false,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\SubclassedClassFilter.java,proguard.SubclassedClassFilter,SubclassedClassFilter/1[proguard.classfile.visitor.ClassVisitor],true,39,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\bazelbuildbazel\third_party\java\proguard\proguard6.2.2\src\proguard\SubclassedClassFilter.java,proguard.SubclassedClassFilter,visitLibraryClass/1[proguard.classfile.LibraryClass],false,56,2,1,0,1,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
