file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\ben-manescaffeine\guava\src\test\java\com\github\benmanes\caffeine\guava\compatability\TestingRemovalListeners.java,com.github.benmanes.caffeine.guava.compatability.TestingRemovalListeners$CountingRemovalListener,getCount/0,false,86,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\guava\src\test\java\com\github\benmanes\caffeine\guava\compatability\TestingRemovalListeners.java,com.github.benmanes.caffeine.guava.compatability.TestingRemovalListeners$CountingRemovalListener,"onRemoval/3[K,V,com.github.benmanes.caffeine.cache.RemovalCause]",false,80,3,0,0,0,1,4,4,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\guava\src\test\java\com\github\benmanes\caffeine\guava\compatability\TestingRemovalListeners.java,com.github.benmanes.caffeine.guava.compatability.TestingRemovalListeners$CountingRemovalListener,getLastEvictedKey/0,false,90,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\guava\src\test\java\com\github\benmanes\caffeine\guava\compatability\TestingRemovalListeners.java,com.github.benmanes.caffeine.guava.compatability.TestingRemovalListeners$CountingRemovalListener,getLastEvictedValue/0,false,94,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\guava\src\test\java\com\github\benmanes\caffeine\guava\compatability\TestingRemovalListeners.java,com.github.benmanes.caffeine.guava.compatability.TestingRemovalListeners$CountingRemovalListener,getLastNotification/0,false,98,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\test\java\com\github\benmanes\caffeine\cache\stats\PackageSanityTests.java,com.github.benmanes.caffeine.cache.stats.PackageSanityTests,PackageSanityTests/0,true,27,0,0,0,0,1,3,3,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\simulator\src\main\java\com\github\benmanes\caffeine\cache\simulator\policy\sketch\climbing\gradient\Adam.java,com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.Adam,resetSample/1[double],false,54,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\simulator\src\main\java\com\github\benmanes\caffeine\cache\simulator\policy\sketch\climbing\gradient\Adam.java,com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.Adam,Adam/1[com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.Config],true,42,3,7,0,7,1,7,10,0,2,1,7,0,0,0,0,0,2,0,1,8,2,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\simulator\src\main\java\com\github\benmanes\caffeine\cache\simulator\policy\sketch\climbing\gradient\Adam.java,com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.Adam,adjust/1[double],false,60,0,0,0,0,1,2,10,1,5,1,2,0,0,0,0,0,13,0,6,7,19,0,0,0,0,16,4,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,coldestWeighted/1[long],false,3638,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,hottest/1[int],false,3642,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,weightOf/1[K],false,3594,5,4,0,4,4,9,13,3,1,1,9,0,0,0,1,0,1,0,0,1,0,1,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,setMaximum/1[long],false,3626,1,2,0,2,1,4,10,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,coldest/1[int],false,3635,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,isWeighted/0,false,3591,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,getMaximum/0,false,3618,1,1,0,1,1,3,9,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,hottestWeighted/1[long],false,3645,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\main\java\com\github\benmanes\caffeine\cache\BoundedLocalCache.java,com.github.benmanes.caffeine.cache.BoundedLocalCache$BoundedPolicy$BoundedEviction,weightedSize/0,false,3607,2,3,0,3,3,8,12,2,0,0,8,0,0,0,0,1,0,0,1,0,0,2,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\test\java\com\github\benmanes\caffeine\jsr166\JSR166TestCase.java,com.github.benmanes.caffeine.jsr166.JSR166TestCase$CheckedBarrier,await/0,false,1352,1,0,0,0,3,2,13,1,1,0,2,0,0,0,0,1,0,2,1,1,2,1,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\caffeine\src\test\java\com\github\benmanes\caffeine\jsr166\JSR166TestCase.java,com.github.benmanes.caffeine.jsr166.JSR166TestCase$CheckedBarrier,CheckedBarrier/1[int],true,1349,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\ben-manescaffeine\jcache\src\test\java\com\github\benmanes\caffeine\jcache\AbstractJCacheTest.java,com.github.benmanes.caffeine.jcache.AbstractJCacheTest$Anonymous1,load/1[java.lang.Integer],false,119,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
