file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,innerclass,29,29,0,29,255,2,0,125,2569,0.95128524,0.0,0.0,79,17,73,3,3,0,77,0,3,0,33,17,15,18,0,0,17,0,16,2433,116,16,64,1,107,5,217,166,60,73,4,1,2,0,273,25,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\crypto\LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,class,7,12,5,7,41,1,0,36,533,0.8897059,0.0,0.0,34,0,33,1,0,0,33,0,0,0,4,0,0,4,0,0,3,0,5,118,36,0,7,0,1,0,0,8,0,4,1,0,0,0,99,1,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\test\java\org\bitcoinj\utils\BtcFixedFormatThrowsIllegalStateExceptionTest.java,org.bitcoinj.utils.BtcFixedFormatThrowsIllegalStateExceptionTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,2,1,0,1,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Wallet.java,org.bitcoinj.wallet.Wallet$SendResult,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,40,9,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\core\VerificationException.java,org.bitcoinj.core.VerificationException$CoinbaseHeightMismatch,innerclass,1,1,0,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\crypto\KeyCrypterException.java,org.bitcoinj.crypto.KeyCrypterException,class,1,10,9,1,2,12,4,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,25,0,0,0,0,0,0,1,1,0,1,0,0,2,0,52,1,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\net\NioClient.java,org.bitcoinj.net.NioClient$Handler,innerclass,4,4,0,4,10,2,0,10,0,0.60714287,0.0,0.0,7,0,5,0,1,1,7,0,0,4,4,0,0,4,0,0,1,0,0,39,2,0,0,0,0,0,0,6,0,4,2,0,0,0,35,0,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Script$Anonymous7,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Key,innerclass,24,24,0,24,220,2,0,95,1454,0.9440476,0.0,0.0,60,17,54,3,3,0,58,0,3,0,28,14,12,16,0,0,14,0,12,1468,90,4,69,1,97,6,180,135,48,57,4,1,3,0,262,25,0
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\test\java\org\bitcoinj\core\BitcoindComparisonTool.java,org.bitcoinj.core.BitcoindComparisonTool$Anonymous3,anonymous,11,11,0,11,23,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,80,5,5,5,1,5,10,1,12,4,7,7,0,0,0,68,-1,9
