file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,getTransactionOrBuilderList/0,false,18228,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,newBuilderForType/0,false,18914,2,1,0,1,1,1,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,getKeyCount/0,false,18195,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,parseFrom/1[com.google.protobuf.CodedInputStream],false,18901,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,getExtensionOrBuilderList/0,false,18384,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,parseFrom/1[java.nio.ByteBuffer],false,18845,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,toBuilder/0,false,18922,1,5,3,2,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,getTagsCount/0,false,18522,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,hashCode/0,false,18774,2,29,0,29,16,37,66,2,1,0,37,28,1,0,1,0,30,0,37,32,60,1,0,0,0,54,1,0,false
D:\trabCKMetrics\repos\bitcoinjbitcoinj\core\src\main\java\org\bitcoinj\wallet\Protos.java,org.bitcoinj.wallet.Protos$Wallet,parser/0,false,21312,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
