file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,class,8,12,4,8,9,1,0,7,7,0.7142857,0.0,0.0,7,0,5,0,2,0,7,0,0,0,3,1,1,0,1,1,1,0,0,65,3,2,0,0,0,0,2,8,0,6,1,4,0,0,37,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-unit-test\src\test\java\org\mengyun\tcctransaction\unittest\TransferServiceTest.java,org.mengyun.tcctransaction.unittest.TransferServiceTest,class,8,8,0,8,17,2,0,14,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,0,1,0,0,8,95,0,0,8,5,0,3,60,14,0,14,1,0,0,0,43,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,class,13,16,3,13,12,1,0,18,27,0.76,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,2,56,4,0,2,0,0,5,0,11,0,9,1,0,0,0,29,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\repository\helper\RedisCommands.java,org.mengyun.tcctransaction.repository.helper.RedisCommands,interface,2,12,10,2,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-ha\tcc-transaction-ha-core\src\main\java\org\mengyun\tcctransaction\ha\registry\RegistryException.java,org.mengyun.tcctransaction.ha.registry.RegistryException,class,0,1,1,0,4,4,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\repository\helper\JedisCommands.java,org.mengyun.tcctransaction.repository.helper.JedisCommands,class,6,7,1,6,10,1,0,10,0,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,34,4,0,1,0,0,0,0,3,0,2,1,0,0,0,30,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\utils\StringUtils.java,org.mengyun.tcctransaction.utils.StringUtils,class,0,1,1,0,3,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,1,0,0,0,0,1,0,0,0,13,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-tutorial-sample\tcc-transaction-http-sample\tcc-transaction-http-redpacket\src\main\java\org\mengyun\tcctransaction\sample\http\redpacket\service\RedPacketTradeOrderServiceImpl.java,org.mengyun.tcctransaction.sample.http.redpacket.service.RedPacketTradeOrderServiceImpl,class,10,10,0,10,12,1,0,20,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,6,60,1,0,3,4,0,11,3,7,3,9,2,0,0,0,39,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-tutorial-sample\tcc-transaction-sample-domain\tcc-transaction-sample-order\src\main\java\org\mengyun\tcctransaction\sample\order\infrastructure\dao\OrderDao.java,org.mengyun.tcctransaction.sample.order.infrastructure.dao.OrderDao,interface,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\repository\helper\JedisCallback.java,org.mengyun.tcctransaction.repository.helper.JedisCallback,interface,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
