file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,KryoPoolSerializer/1[int],true,31,1,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,deserialize/1[byte[]],false,83,3,0,0,0,1,1,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,serialize/1[T],false,67,3,0,0,0,1,1,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,init/0,false,37,3,0,0,0,3,5,21,0,3,0,5,0,0,2,0,0,0,0,1,4,0,1,1,0,0,19,4,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,KryoPoolSerializer/0,true,27,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,clone/1[T],false,96,2,0,0,0,1,1,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\serializer\KryoPoolSerializer.java,org.mengyun.tcctransaction.serializer.KryoPoolSerializer,initHook/1[org.mengyun.tcctransaction.serializer.Kryo],false,104,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-unit-test\src\test\java\org\mengyun\tcctransaction\unittest\TransferServiceTest.java,org.mengyun.tcctransaction.unittest.TransferServiceTest,testTransferWithTryFailedByException/0,false,138,5,4,0,4,4,9,20,0,3,0,9,0,0,0,2,1,0,1,14,3,0,1,0,0,0,23,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-unit-test\src\test\java\org\mengyun\tcctransaction\unittest\TransferServiceTest.java,org.mengyun.tcctransaction.unittest.TransferServiceTest,testTransferWithTryFailedByTimeout/0,false,55,5,4,0,4,5,11,28,0,3,0,11,0,0,0,2,2,0,1,16,4,0,1,0,0,0,26,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-unit-test\src\test\java\org\mengyun\tcctransaction\unittest\TransferServiceTest.java,org.mengyun.tcctransaction.unittest.TransferServiceTest,testTransfer/0,false,28,5,4,0,4,3,8,15,0,3,0,8,0,0,0,2,0,0,0,14,3,0,0,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-unit-test\src\test\java\org\mengyun\tcctransaction\unittest\TransferServiceTest.java,org.mengyun.tcctransaction.unittest.TransferServiceTest,testTransferWithTimeoutAndCancelBeforeBranchTransactionStart/0,false,97,5,4,0,4,5,11,28,0,3,0,11,0,0,0,2,2,0,1,16,4,0,1,0,0,0,29,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,getRecoverFrequency/0,false,80,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,close/0,false,59,1,0,0,0,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,setTransactionRepository/1[org.mengyun.tcctransaction.repository.TransactionRepository],false,75,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,setRecoveryLock/1[org.mengyun.tcctransaction.recovery.RecoveryLock],false,93,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,setRecoverFrequency/1[org.mengyun.tcctransaction.recovery.RecoverFrequency],false,84,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,getTransactionManager/0,false,66,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,RecoverConfiguration/0,true,26,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,getTransactionRepository/0,false,71,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,init/0,false,30,8,15,0,15,2,17,21,0,4,0,17,1,1,0,1,0,0,5,0,6,0,1,0,0,0,20,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\recovery\RecoverConfiguration.java,org.mengyun.tcctransaction.recovery.RecoverConfiguration,getRecoveryLock/0,false,89,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\repository\helper\RedisCommands.java,org.mengyun.tcctransaction.repository.helper.RedisCommands,del/1[byte[]],false,11,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\changmingxietcc-transaction\tcc-transaction-core\src\main\java\org\mengyun\tcctransaction\repository\helper\RedisCommands.java,org.mengyun.tcctransaction.repository.helper.RedisCommands,"hdel/2[byte[],byte[]]",false,17,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
