file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.QMatrix,class,2,5,3,2,3,1,1,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1024,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm_problem.java,libsvm.svm_problem,class,2,8,6,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Cache$head_t,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,18,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm_print_interface.java,libsvm.svm_print_interface,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm_model.java,libsvm.svm_model,class,4,8,4,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.SVC_Q,class,7,8,1,7,9,3,0,5,0,0.25,0.0,0.0,4,0,0,0,0,4,4,0,0,0,3,0,0,3,0,0,3,0,0,39,2,4,0,0,4,0,6,15,3,9,2,0,0,0,25,0,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict,class,7,8,1,7,31,1,0,26,13,0.77777773,0.0,0.0,6,6,1,4,0,1,2,0,0,0,3,3,0,3,0,0,0,0,28,136,2,5,15,1,9,28,31,43,49,29,3,2,0,0,99,0,5
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Kernel,class,6,11,5,6,35,2,3,5,8,0.5833333,0.0,0.0,8,3,0,1,0,7,7,2,0,0,6,0,0,6,0,0,5,0,14,120,14,8,5,0,3,0,17,38,22,23,4,0,0,0,35,1024,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Solver,class,8,11,3,8,126,1,1,21,0,0.71929824,0.0,0.0,12,0,0,1,0,11,11,0,0,0,18,4,0,0,0,18,4,0,13,414,13,33,19,0,15,8,90,191,63,90,5,0,1,0,92,0,6
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.svm$decision_function,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,8,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,svm_toy$point,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_train.java,svm_train$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,svm_toy$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.svm$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,svm_toy$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_scale.java,svm_scale,class,2,3,1,2,55,1,0,27,15,0.7362638,NaN,NaN,7,2,1,6,0,0,1,0,0,0,13,0,0,13,0,0,0,0,40,249,3,15,22,4,15,32,33,97,25,44,4,0,0,0,79,0,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,svm_toy$Anonymous4,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm_parameter.java,libsvm.svm_parameter,class,2,10,8,2,2,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,25,10,25,0,0,0,10,0,0,35,2,0,0,1,0,0,10,10,0,25,1,0,0,0,45,1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,svm_toy$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,svm_toy$Anonymous6,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.SVR_Q,class,8,9,1,8,11,3,0,2,0,0.39285713,0.0,0.0,4,0,0,0,0,4,4,0,0,0,7,0,0,7,0,0,5,0,0,62,2,6,0,0,2,0,17,32,11,16,2,0,0,0,32,0,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.svm,class,18,23,5,18,336,1,0,52,518,0.9444445,0.0,0.0,33,33,17,14,0,2,19,0,0,0,6,6,2,2,0,2,4,0,99,1016,42,133,101,1,64,102,462,641,307,290,9,1,1,0,218,1,12
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,svm_toy$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_toy.java,AppletFrame,class,0,1,1,0,1,5,0,7,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm_node.java,libsvm.svm_node,class,0,7,7,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0
